s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,12.823442,0.02,0,0.0871565342
4e-05,2e-05,12.7605496,0.02,0,0.189035892
6e-05,3e-05,12.613588,0.02,0,0.283991814
8e-05,4e-05,12.5630881,0.02,0,0.56038022
0.0001,5e-05,12.636772,0.02,0,0.881381512
0.00012,6e-05,12.7856445,0.04,0,1.01972437
0.00016,8e-05,13.0761213,0.04,0,1.21886611
0.0002,0.0001,13.3667301,0.04,0,1.31778336
0.00024,0.00012,13.6422436,0.04,0,1.41916084
0.00028,0.00014,13.9063474,0.04,0,1.52486086
0.00032,0.00016,14.1560355,0.04,0,1.63939142
0.00036,0.00018,14.4090113,0.08,0,1.73522186
0.00044,0.00022,14.8666145,0.08,0,1.88965249
0.00052,0.00026,15.3217671,0.08,0,2.02796769
0.0006,0.0003,15.7551509,0.08,0,2.18034029
0.00068,0.00034,16.1809121,0.08,0,2.30636501
0.00076,0.00038,16.5956224,0.08,0,2.44679189
0.00084,0.00042,16.9992602,0.16,0,2.58351803
0.001,0.0005,17.8095595,0.16,0,2.82668924
0.00116,0.00058,18.6140289,0.16,0,3.08737016
0.00132,0.00066,19.3858216,0.16,0,3.38635874
0.00148,0.00074,20.1466957,0.16,0,3.66432118
0.00164,0.00082,20.8955306,0.16,0,3.94233322
0.0018,0.0009,21.6338461,0.2,0,4.26759934
0.002,0.001,22.545546,0.2,0,4.59073663
0.0022,0.0011,23.437807,0.2,0,4.89973617
0.0024,0.0012,24.3181579,0.2,0,5.19433618
0.0026,0.0013,25.1835526,0.2,0,5.48464251
0.0028,0.0014,26.0419372,0.2,0,5.77626967
0.003,0.0015,26.8884707,0.2,0,6.06748819
0.0032,0.0016,27.7183412,0.2,0,6.41510749
0.0034,0.0017,28.5473256,0.2,0,6.72639728
0.0036,0.0018,29.3737545,0.2,0,7.05034304
0.0038,0.0019,30.1932488,0.2,0,7.40153241
0.004,0.002,31.0075823,0.2,0,7.71886349
0.0042,0.0021,31.8088753,0.2,0,8.01981878
0.0044,0.0022,32.6056762,0.2,0,8.3120892
0.0046,0.0023,33.4062102,0.2,0,8.60358429
0.0048,0.0024,34.1968955,0.2,0,8.88962221
0.005,0.0025,34.9859996,0.2,0,9.18049026
0.0052,0.0026,35.782145,0.2,0,9.54538918
0.0054,0.0027,36.5587007,0.2,0,9.8773756
0.0056,0.0028,37.3423067,0.2,0,10.1947989
0.0058,0.0029,38.1145874,0.2,0,10.531369
0.006,0.003,38.8851784,0.2,0,10.858068
0.0062,0.0031,39.6495605,0.2,0,11.1486535
0.0064,0.0032,40.4166692,0.2,0,11.4459312
0.0066,0.0033,41.1859188,0.2,0,11.7372239
0.0068,0.0034,41.9451943,0.2,0,12.0373049
0.007,0.0035,42.692401,0.2,0,12.3488908
0.0072,0.0036,43.4530012,0.2,0,12.6983414
0.0074,0.0037,44.211864,0.2,0,13.0614882
0.0076,0.0038,44.9554325,0.2,0,13.3562725
0.0078,0.0039,45.7125281,0.2,0,13.6468785
0.008,0.004,46.4540326,0.2,0,13.9350057
0.0082,0.0041,47.2066467,0.2,0,14.2215769
0.0084,0.0042,47.9485693,0.2,0,14.5074818
0.0086,0.0043,48.6900711,0.2,0,14.7971487
0.0088,0.0044,49.4325168,0.2,0,15.1011236
0.009,0.0045,50.1679482,0.2,0,15.4077632
0.0092,0.0046,50.906993,0.2,0,15.7673624
0.0094,0.0047,51.6429989,0.2,0,16.0971363
0.0096,0.0048,52.3910084,0.2,0,16.391952
0.0098,0.0049,53.1151481,0.2,0,16.6822195
0.01,0.005,53.8544138,0.2,0,16.9778068
0.0102,0.0051,54.5883522,0.2,0,17.2705047
0.0104,0.0052,55.3203601,0.2,0,17.5568419
0.0106,0.0053,56.0484379,0.2,0,17.8516665
0.0108,0.0054,56.7792655,0.2,0,18.1647272
0.011,0.0055,57.5087109,0.2,0,18.5187607
0.0112,0.0056,58.2386373,0.2,0,18.8833673
0.0114,0.0057,58.97414,0.2,0,19.2389748
0.0116,0.0058,59.7022007,0.2,0,19.5512917
0.0118,0.0059,60.4198907,0.2,0,19.8384078
0.012,0.006,61.146687,0.2,0,20.2569838
0.0122,0.0061,61.8684097,0.2,0,20.5543087
0.0124,0.0062,62.5967014,0.2,0,20.8405271
0.0126,0.0063,63.319149,0.2,0,21.1253483
0.0128,0.0064,64.0325976,0.2,0,21.4331269
0.013,0.0065,64.7526362,0.2,0,21.7301939
0.0132,0.0066,65.476725,0.2,0,22.0910766
0.0134,0.0067,66.1961076,0.2,0,22.4367268
0.0136,0.0068,66.9236393,0.2,0,22.7612083
0.0138,0.0069,67.637725,0.2,0,23.0518246
0.014,0.007,68.3590136,0.2,0,23.3414633
0.0142,0.0071,69.0699763,0.2,0,23.6251638
0.0144,0.0072,69.7882158,0.2,0,23.9079585
0.0146,0.0073,70.5022454,0.2,0,24.1886687
