s_over_B,q_kPa,n_seen,n_tension,n_nan,first_nan_ele,first_nan_gp,I1_min,I1_max,substeps_max,n_cap_hit,implex_total,implex_d2,implex_control,implex_companion
0.00014,13.9063,1600,0,0,,,-23.3465,-18.9163,28,0,0,0,0,0
0.00058,18.614,1600,0,0,,,-30.1039,-18.5296,111,0,0,0,0,0
0.0015,26.8885,1600,0,0,,,-41.3855,-17.8848,108,0,0,0,0,0
0.0025,34.986,1600,0,0,,,-53.2949,-17.2911,95,0,0,0,0,0
0.0035,42.6924,1600,0,0,,,-64.4368,-16.7625,89,0,0,0,0,0
0.0045,50.1679,1600,0,0,,,-74.9001,-16.236,83,0,0,0,0,0
0.0055,57.5087,1600,0,0,,,-84.7622,-15.7088,80,0,0,0,0,0
0.0065,64.7526,1600,0,0,,,-94.2204,-15.1473,78,0,0,0,0,0
0.0075,71.9367,1600,0,0,,,-103.436,-14.5612,77,0,0,0,0,0
0.0085,79.0771,1600,0,0,,,-112.327,-13.9313,77,0,0,0,0,0
0.0095,86.1977,1600,0,0,,,-121.008,-13.2474,78,0,0,0,0,0
0.0105,93.3022,1600,0,0,,,-129.57,-12.5164,77,0,0,0,0,0
0.0115,100.409,1600,0,0,,,-137.972,-11.753,75,0,0,0,0,0
0.0125,107.507,1600,0,0,,,-146.254,-10.9496,74,0,0,0,0,0
0.0135,114.612,1600,0,0,,,-154.357,-10.1191,72,0,0,0,0,0
0.0145,121.747,1600,0,0,,,-162.483,-9.28193,73,0,0,0,0,0
0.0155,128.901,1600,0,0,,,-170.519,-8.4557,79,0,0,0,0,0
0.0165,136.055,1600,0,0,,,-178.537,-7.65125,87,0,0,0,0,0
0.0175,143.242,1600,0,0,,,-186.579,-6.89052,102,0,0,0,0,0
0.0185,150.458,1600,0,0,,,-194.528,-6.18703,117,0,0,0,0,0
0.0195,157.677,1600,0,0,,,-202.553,-5.54474,132,0,0,0,0,0
0.0205,164.945,1600,0,0,,,-210.632,-4.96738,146,0,0,0,0,0
0.0215,172.218,1600,0,0,,,-218.826,-4.44855,158,0,0,0,0,0
0.0225,179.496,1600,0,0,,,-226.889,-3.96937,176,0,0,0,0,0
0.0235,186.781,1600,0,0,,,-235.347,-3.51623,195,0,0,0,0,0
0.0245,194.058,1600,0,0,,,-244.747,-3.09566,214,0,0,0,0,0
0.0255,201.364,1600,0,0,,,-254.288,-2.68115,248,0,0,0,0,0
0.0265,208.647,1600,0,0,,,-263.745,-2.25118,294,0,0,0,0,0
0.0275,215.847,1600,0,0,,,-273.316,-1.76613,390,0,0,0,0,0
0.0285,222.966,1600,0,0,,,-282.964,-1.24244,545,0,0,0,0,0
0.0295,229.853,1600,0,0,,,-293.951,-0.762866,845,0,0,0,0,0
0.0305,236.435,1600,0,0,,,-306.995,-0.346283,1001,1,5,0,0,5
0.0315,242.263,1600,0,0,,,-322.776,-0.303,1001,1,6,0,0,6
0.0325,246.614,1600,0,0,,,-331.628,-0.303,286,0,9,0,0,9
0.0335,248.991,1600,0,0,,,-360.303,-0.303,1001,1,11,0,0,11
0.0345,249.036,1600,0,0,,,-383.492,-0.303,1001,1,14,0,0,14
0.0355,248.231,1600,0,0,,,-405.863,-0.490502,1001,1,18,0,0,18
0.0365,247.242,1600,0,0,,,-421.569,-0.303,1001,1,26,0,0,26
0.0375,249.035,1600,0,0,,,-448.373,-2.19406,135,0,28,0,0,28
0.0385,254.38,1600,0,0,,,-450.839,-0.303,1001,1,32,0,0,32
0.0395,260.617,1600,0,0,,,-465.188,-0.531989,141,0,33,0,0,33
0.0405,267.021,1600,0,0,,,-459.605,-0.303,126,0,33,0,0,33
0.0415,272.328,1600,0,0,,,-465.645,-0.303,271,0,35,0,0,35
0.0425,277.999,1600,0,0,,,-465.584,-0.303,252,0,35,0,0,35
0.0435,284.083,1600,0,0,,,-463.219,-0.303,239,0,35,0,0,35
0.0445,289.963,1600,0,0,,,-464.899,-0.303,452,0,36,0,0,36
0.0455,295.894,1600,0,0,,,-462.318,-0.303,1000,0,36,0,0,36
0.0465,300.863,1600,0,0,,,-464.758,-0.303,635,0,43,0,0,43
0.0475,304.027,1600,0,0,,,-491.681,-0.303,384,0,44,0,0,44
0.0485,307.217,1600,0,0,,,-522.391,-0.303,481,0,44,0,0,44
0.0495,303.226,1600,0,0,,,-531.237,-0.303,1001,1,45,0,0,45
0.0505,301.133,1600,0,0,,,-523.263,-0.303,833,0,47,0,0,47
0.0515,310.912,1600,0,0,,,-547.34,-0.303,421,0,49,0,0,49
0.0525,323.086,1600,0,0,,,-554.517,-0.303,1001,2,60,0,0,60
0.0535,329.978,1600,0,0,,,-560.48,-0.303,265,0,70,0,0,70
0.0545,344.891,1600,0,0,,,-585.829,-0.303,366,0,70,0,0,70
0.0555,352.532,1600,0,0,,,-610.568,-0.303,409,0,70,0,0,70
0.0565,365.287,1600,0,0,,,-636.781,-0.303,580,0,70,0,0,70
0.0575,381.333,1600,0,0,,,-659.044,-0.303,1001,3,81,0,0,81
0.0585,396.351,1600,0,0,,,-689.782,-0.303,300,0,109,0,0,109
0.0595,408.924,1600,0,0,,,-718.408,-0.303,334,0,110,0,0,110
0.0605,416.776,1600,0,0,,,-731.209,-0.303,335,0,110,0,0,110
0.0615,422.506,1600,0,0,,,-758.782,-0.343792,349,0,110,0,0,110
0.0625,426.584,1600,0,0,,,-772.402,-0.354711,894,0,110,0,0,110
0.0635,422.337,1600,0,0,,,-747.009,-0.303,1001,4,136,0,0,136
0.0645,437.207,1600,0,0,,,-771.136,-0.303,1001,3,166,0,0,166
0.0655,459.069,1600,0,0,,,-798.63,-0.303,1001,4,206,0,0,206
0.0665,480.996,1600,0,0,,,-847.904,-0.303,1001,2,233,0,0,233
0.0675,504.356,1600,0,0,,,-897.312,-0.303,1001,4,260,0,0,260
0.0685,505.537,1600,0,0,,,-871.337,-0.303,1001,2,290,0,0,290
0.0695,507.406,1600,0,0,,,-879.903,-0.303,276,0,301,0,0,301
0.0705,528.705,1600,0,0,,,-955.176,-0.303,1001,1,307,0,0,307
0.0715,534.348,1600,0,0,,,-936.607,-0.303,1001,1,317,0,0,317
0.0725,555.844,1600,0,0,,,-987.525,-0.303,1001,2,331,0,0,331
0.0735,591.184,1600,0,0,,,-1031.65,-0.303,361,0,334,0,0,334
0.0745,628.299,1600,0,0,,,-1078.18,-0.303,335,0,334,0,0,334
0.0755,658.075,1600,0,0,,,-1123.07,-0.303,1001,2,346,0,0,346
0.0765,679.941,1600,0,0,,,-1156.3,-0.303,1001,2,366,0,0,366
0.0775,703.126,1600,0,0,,,-1194.3,-0.303,1001,2,386,0,0,386
0.0785,707.033,1600,0,0,,,-1236.83,-0.303,1001,2,406,0,0,406
0.0795,662.926,1600,0,0,,,-1155.41,-0.303,1001,3,436,0,0,436
0.0805,674.069,1600,0,0,,,-1178.98,-1.12881,296,0,448,0,0,448
0.0815,733.494,1600,0,0,,,-1263.11,-0.566406,696,0,449,0,0,449
0.0825,778.676,1600,0,0,,,-1333.13,-0.303,1001,1,466,0,0,466
0.0835,813.021,1600,0,0,,,-1345.14,-0.303,597,0,470,0,0,470
0.0845,851.097,1600,0,0,,,-1415.24,-0.303,1001,2,482,0,0,482
0.0855,870.259,1600,0,0,,,-1452.15,-0.303,664,0,487,0,0,487
0.0865,851.682,1600,0,0,,,-1400.25,-0.303,1001,2,506,0,0,506
0.0875,848.841,1600,0,0,,,-1428.49,-1.76401,627,0,513,0,0,513
0.0885,858.447,1600,0,0,,,-1433.27,-0.303,1001,3,518,0,0,518
0.0895,887.239,1600,0,0,,,-1464.74,-0.303,1001,1,539,0,0,539
0.0905,910.045,1600,0,0,,,-1516.04,-0.303,1001,2,545,0,0,545
0.0915,909.055,1600,0,0,,,-1555.05,-0.303,1001,3,576,0,0,576
0.0925,932.915,1600,0,0,,,-1614.09,-0.303,1001,2,603,0,0,603
0.0935,922.53,1600,0,0,,,-1618.73,-0.303,1001,5,646,0,0,646
0.0945,939.854,1600,0,0,,,-1674.87,-0.303,1001,2,663,0,0,663
0.0955,999.194,1600,0,0,,,-1758.35,-0.303,682,0,680,0,0,680
0.0965,1058.58,1600,0,0,,,-1843.85,-0.701083,194,0,681,0,0,681
0.0975,1098.18,1600,0,0,,,-1913.32,-0.303,455,0,682,0,0,682
0.0985,1133.58,1600,0,0,,,-1987.76,-0.303,1001,1,685,0,0,685
0.0995,1164.83,1600,0,0,,,-2025.8,-0.308207,747,0,693,0,0,693
0.1005,1203.46,1600,0,0,,,-2114.86,-0.303,595,0,693,0,0,693
0.1015,1225.09,1600,0,0,,,-2188.34,-0.303,1001,2,701,0,0,701
0.1025,1250.95,1600,0,0,,,-2253.05,-0.303,470,0,710,0,0,710
0.1035,1260.41,1600,0,0,,,-2388.7,-0.303,1001,1,718,0,0,718
0.1045,1255.16,1600,0,0,,,-2348.11,-0.303,1001,3,731,0,0,731
0.1055,1229.41,1600,0,0,,,-2205.73,-0.303,1001,5,771,0,0,771
0.1065,1288.99,1600,0,0,,,-2320.53,-0.303,1001,3,806,0,0,806
0.1075,1319.62,1600,0,0,,,-2324.12,-0.303,1001,3,833,0,0,833
0.1085,1328.08,1600,0,0,,,-2397.11,-0.303,1001,6,867,0,0,867
0.1095,1357.66,1600,0,0,,,-2405.19,-0.303,1001,1,890,0,0,890
0.1105,1366.4,1600,0,0,,,-2419.47,-0.303,1001,3,919,0,0,919
0.1115,1417.84,1600,0,0,,,-2512.68,-0.366137,427,0,936,0,0,936
0.1125,1466.57,1600,0,0,,,-2582.35,-0.303,1001,2,966,0,0,966
0.1135,1492.77,1600,0,0,,,-2633.53,-0.303,468,0,975,0,0,975
0.1145,1454.67,1600,0,0,,,-2631.11,-0.303,962,0,979,0,0,979
0.1155,1454.1,1600,0,0,,,-2670.73,-0.303,1001,2,998,0,0,998
0.1165,1454.32,1600,0,0,,,-2662.32,-0.303,1001,3,1010,0,0,1010
0.1175,1508.41,1600,0,0,,,-2791.86,-0.303,1001,3,1029,0,0,1029
0.1185,1525.44,1600,0,0,,,-2844.98,-0.303,1001,2,1056,0,0,1056
0.1195,1571.89,1600,0,0,,,-2912.87,-0.303,1001,3,1076,0,0,1076
0.1205,1609.6,1600,0,0,,,-2953.87,-0.303,1001,3,1096,0,0,1096
0.1215,1590.17,1600,0,0,,,-2892.78,-0.303,1001,3,1135,0,0,1135
0.1225,1605.57,1600,0,0,,,-2926.64,-0.303,1001,1,1157,0,0,1157
0.1235,1653.1,1600,0,0,,,-2988.82,-0.303,488,0,1160,0,0,1160
0.1245,1684.03,1600,0,0,,,-3148.21,-0.303,643,0,1161,0,0,1161
0.1255,1688.71,1600,0,0,,,-3151.97,-0.303,304,0,1166,0,0,1166
0.1265,1720.2,1600,0,0,,,-3198.53,-0.303,1001,1,1176,0,0,1176
0.1275,1787.47,1600,0,0,,,-3262.39,-0.303,1001,2,1196,0,0,1196
0.1285,1855.52,1600,0,0,,,-3358.65,-0.303,1001,1,1210,0,0,1210
0.1295,1837.72,1600,0,0,,,-3385.53,-0.303,1001,5,1243,0,0,1243
0.1305,1806.84,1600,0,0,,,-3378.9,-0.303,1001,1,1257,0,0,1257
0.1315,1846.78,1600,0,0,,,-3482.1,-0.303,1001,2,1262,0,0,1262
0.1325,1872,1600,0,0,,,-3564.72,-0.303,1001,2,1286,0,0,1286
0.1335,1903.47,1600,0,0,,,-3672.35,-0.303,1001,2,1314,0,0,1314
0.1345,1948.44,1600,0,0,,,-3727.65,-0.303,1001,8,1358,0,0,1358
0.1355,1855.43,1600,0,0,,,-3514.22,-0.303,1001,3,1410,0,0,1410
0.1365,1794.85,1600,0,0,,,-3511.74,-0.303,1001,3,1426,0,0,1426
0.1375,1845.97,1600,0,0,,,-3601.85,-0.303,653,0,1449,0,0,1449
0.1385,1894.89,1600,0,0,,,-3659.75,-0.303,677,0,1460,0,0,1460
0.1395,1931.12,1600,0,0,,,-3677.78,-0.303,1001,1,1466,0,0,1466
0.1405,1926.59,1600,0,0,,,-3604.76,-0.303,290,0,1472,0,0,1472
0.1415,1907.96,1600,0,0,,,-3617.99,-0.303,1001,3,1499,0,0,1499
0.1425,1941.23,1600,0,0,,,-3667.83,-0.303,157,0,1515,0,0,1515
0.1435,2021.35,1600,0,0,,,-3784.68,-0.303,1001,1,1524,0,0,1524
