s_over_B,q_kPa,n_seen,n_tension,n_nan,first_nan_ele,first_nan_gp,I1_min,I1_max,substeps_max,n_cap_hit,implex_total,implex_d2,implex_control,implex_companion
1.75e-05,12.0708,1600,0,0,,,-19.8793,-19.0652,4,0,0,0,0,0
7.25e-05,12.754,1600,0,0,,,-21.3945,-19.0241,16,0,0,0,0,0
0.0002325,14.4565,1600,0,0,,,-24.4954,-18.8635,28,0,0,0,0,0
0.0007925,19.5553,1600,0,0,,,-32.1837,-18.4133,90,0,0,0,0,0
0.0017525,27.1859,1600,0,0,,,-43.1572,-17.8251,90,0,0,0,0,0
0.0027525,34.5384,1600,0,0,,,-54.946,-17.3401,86,0,0,0,0,0
0.0034525,39.4976,1600,0,0,,,-62.8264,-17.0391,40,0,0,0,0,0
0.0043025,45.391,1600,0,0,,,-71.9825,-16.713,40,0,0,0,0,0
0.0047525,48.4614,1600,0,0,,,-76.7233,-16.5563,23,0,0,0,0,0
0.004965,49.9072,1600,0,0,,,-78.9213,-16.4829,15,0,0,0,0,0
0.005165,51.2547,1600,0,0,,,-80.8252,-16.4106,16,0,0,0,0,0
0.0052525,51.8977,1600,0,0,,,-81.7342,-16.3688,6,0,0,0,0,0
0.0054275,53.1843,1600,0,0,,,-83.7336,-16.2661,25,0,0,0,0,0
0.00562125,54.6847,1600,0,0,,,-86.0085,-16.1473,7,0,0,0,0,0
0.00574,55.5386,1600,0,0,,,-87.2034,-16.0262,24,0,0,0,0,0
0.0060025,57.5252,1600,0,0,,,-89.9173,-15.7752,19,0,0,0,0,0
0.00610875,58.3218,1600,0,0,,,-91.0191,-15.6805,18,0,0,0,0,0
0.006265,59.5138,1600,0,0,,,-92.5814,-15.5216,25,0,0,0,0,0
0.0064775,61.1811,1600,0,0,,,-94.7232,-15.3208,8,0,0,0,0,0
0.0065775,61.898,1600,0,0,,,-95.6414,-15.2209,14,0,0,0,0,0
0.0067025,62.8435,1600,0,0,,,-96.8599,-15.101,19,0,0,0,0,0
0.00678375,63.5142,1600,0,0,,,-97.7198,-15.0283,6,0,0,0,0,0
0.00694,64.7021,1600,0,0,,,-99.243,-14.8851,28,0,0,0,0,0
0.00710875,66.0579,1600,0,0,,,-101.182,-14.7383,6,0,0,0,0,0
0.0072025,66.778,1600,0,0,,,-102.169,-14.6395,17,0,0,0,0,0
0.00744,68.6618,1600,0,0,,,-104.805,-14.4137,30,0,0,0,0,0
0.0075025,69.2039,1600,0,0,,,-105.712,-14.3542,9,0,0,0,0,0
0.00764,70.316,1600,0,0,,,-107.161,-14.2361,28,0,0,0,0,0
0.00804,73.5979,1600,0,0,,,-111.467,-13.9472,53,0,0,0,0,0
0.0082525,75.3209,1600,0,0,,,-113.752,-13.8135,16,0,0,0,0,0
0.0084025,76.5219,1600,0,0,,,-115.347,-13.7256,17,0,0,0,0,0
0.00849,77.2359,1600,0,0,,,-116.273,-13.6696,17,0,0,0,0,0
