s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
3.125e-06,1.5625e-06,15.1673553,0.003125,0,213.372662
6.25e-06,3.125e-06,15.2010602,0.003125,0,213.529312
9.375e-06,4.6875e-06,15.2278807,0.003125,0,213.665513
1.25e-05,6.25e-06,15.252742,0.003125,0,213.79867
1.5625e-05,7.8125e-06,15.2767097,0.003125,0,213.930233
1.875e-05,9.375e-06,15.2998908,0.00625,0,214.07392
2.5e-05,1.25e-05,15.3443249,0.00625,0,214.317404
3.125e-05,1.5625e-05,15.3874637,0.00625,0,214.579229
3.75e-05,1.875e-05,15.4287489,0.00625,0,214.89532
4.375e-05,2.1875e-05,15.4707485,0.00625,0,215.154082
5e-05,2.5e-05,15.511506,0.00625,0,215.492149
5.625e-05,2.8125e-05,15.5516673,0.0125,0,215.763561
6.875e-05,3.4375e-05,15.6439642,0.0125,1,218.59757
8.125e-05,4.0625e-05,15.7114197,0.0125,0,220.778949
9.375e-05,4.6875e-05,15.7901549,0.0125,0,221.156119
0.00010625,5.3125e-05,15.8669576,0.0125,0,221.537401
0.00011875,5.9375e-05,15.9637439,0.0125,1,225.003131
0.00013125,6.5625e-05,16.0177578,0.025,0,225.457277
0.00015625,7.8125e-05,16.1664828,0.025,0,226.200481
0.00018125,9.0625e-05,16.3127586,0.025,0,226.936849
0.00020625,0.000103125,16.4571762,0.025,0,227.735527
0.00023125,0.000115625,16.6001565,0.025,0,228.515261
0.00025625,0.000128125,16.7415133,0.025,0,229.236746
0.00028125,0.000140625,16.8813035,0.05,0,230.036162
0.00033125,0.000165625,17.1570331,0.05,0,231.583746
0.00038125,0.000190625,17.4280135,0.05,0,233.252744
0.00043125,0.000215625,17.6946416,0.05,0,234.827929
0.00048125,0.000240625,17.9576815,0.05,0,236.375849
0.00053125,0.000265625,18.2172695,0.05,0,237.987537
0.00058125,0.000290625,18.4738264,0.1,0,239.616104
0.00068125,0.000340625,18.9772243,0.1,0,244.950525
0.00078125,0.000390625,19.4722045,0.1,0,250.170508
0.00088125,0.000440625,19.9625239,0.1,0,255.584058
0.00098125,0.000490625,20.4348677,0.1,0,260.850854
0.00108125,0.000540625,20.9082536,0.1,0,266.442391
