s_over_B,q_kPa,n_seen,n_tension,n_nan,first_nan_ele,first_nan_gp,I1_min,I1_max,substeps_max,n_cap_hit,implex_total,implex_d2,implex_control,implex_companion
2.1875e-05,15.4707,1600,0,0,,,-19.5919,-19.0978,5,0,0,0,0,0
9.0625e-05,16.3128,1600,0,0,,,-20.6277,-19.0432,16,0,0,0,0,0
0.000290625,18.4738,1600,0,0,,,-22.9724,-18.9068,31,0,0,0,0,0
0.000990625,24.8836,1600,0,0,,,-30.2978,-18.5354,101,0,0,0,0,0
0.003190625,41.8366,1600,0,0,,,-51.5263,-17.6201,302,0,0,0,0,0
0.007790625,73.9266,1600,0,0,,,-93.8759,-16.3041,298,0,0,0,0,0
0.012790625,108.047,1600,0,0,,,-140.408,-15.102,255,0,0,0,0,0
0.017790625,142.427,1600,0,0,,,-188.231,-14.0852,231,0,0,0,0,0
0.020665625,162.426,1600,0,0,,,-216.381,-13.557,58,0,0,0,0,0
0.022290625,173.788,1600,0,0,,,-232.499,-13.2763,109,0,0,0,0,0
0.023415625,181.692,1600,0,0,,,-243.746,-13.0878,30,0,0,0,0,0
0.024290625,187.846,1600,0,0,,,-252.582,-12.9467,33,0,0,0,0,0
0.024978125,192.682,1600,0,0,,,-259.472,-12.8354,31,0,0,0,0,0
0.025415625,195.73,1600,0,0,,,-263.605,-12.7526,33,0,0,0,0,0
0.025853125,198.81,1600,0,0,,,-267.73,-12.6681,32,0,0,0,0,0
0.026290625,201.885,1600,0,0,,,-271.839,-12.5542,35,0,0,0,0,0
0.026821875,205.61,1600,0,0,,,-276.882,-12.4167,16,0,0,0,0,0
0.027415625,209.986,1600,0,0,,,-282.458,-12.3544,64,0,0,0,0,0
0.027978125,214.091,1600,0,0,,,-287.88,-12.2098,17,0,0,0,0,0
0.028353125,216.851,1600,0,0,,,-291.97,-12.1182,28,0,0,0,0,0
0.028790625,220.198,1600,0,0,,,-296.76,-12.0128,35,0,0,0,0,0
0.029009375,222.107,1600,0,0,,,-299.729,-11.9101,34,0,0,0,0,0
0.029415625,225.888,1600,0,0,,,-305.824,-11.7215,36,0,0,0,0,0
0.030134375,232.47,1600,0,0,,,-316.599,-11.4543,67,0,0,0,0,0
0.0304,234.865,1600,0,0,,,-320.472,-11.3773,16,0,0,0,0,0
0.030790625,238.289,1600,0,0,,,-326.68,-11.2579,75,0,0,0,0,0
0.031603125,245.365,1600,0,0,,,-338.955,-11.0351,78,0,0,0,0,0
