s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,13.6614742,0.02,0,0.166110039
4e-05,2e-05,13.989615,0.02,0,0.343903065
6e-05,3e-05,14.3177558,0.02,0,0.519520521
8e-05,4e-05,14.6458965,0.02,0,0.697912931
0.0001,5e-05,14.9740373,0.02,0,0.874839783
0.00012,6e-05,15.3021781,0.04,0,1.05146742
0.00016,8e-05,15.9584597,0.04,0,1.24824381
0.0002,0.0001,16.6147413,0.04,0,1.44120884
0.00024,0.00012,17.2710229,0.04,0,1.6313765
0.00028,0.00014,17.9273044,0.04,0,1.80569077
0.00032,0.00016,18.583586,0.04,0,1.98502636
0.00036,0.00018,19.2398676,0.08,0,2.15838695
0.00044,0.00022,20.5527313,0.08,0,2.39793897
0.00052,0.00026,21.8657036,0.08,0,2.7444644
0.0006,0.0003,23.1777693,0.08,0,3.13388419
0.00068,0.00034,24.4904572,0.08,0,3.36194658
0.00076,0.00038,25.8031576,0.08,0,3.6609149
0.00084,0.00042,27.1158506,0.16,0,4.01742077
0.001,0.0005,29.7390925,0.16,0,4.60970521
0.00116,0.00058,32.351103,0.16,0,5.15127778
0.00132,0.00066,34.9468599,0.16,0,5.71624732
0.00148,0.00074,37.4966514,0.16,0,6.15441442
0.00164,0.00082,40.0031235,0.16,0,6.63615775
0.0018,0.0009,42.3965565,0.2,0,7.12696552
0.002,0.001,45.0723488,0.2,0,7.59064102
0.0022,0.0011,47.3300655,0.2,0,74.667419
0.0024,0.0012,49.3048553,0.2,0,78.1695178
0.0026,0.0013,51.1055615,0.2,0,81.138545
0.0028,0.0014,52.7699831,0.2,0,83.4849246
0.003,0.0015,54.3231507,0.2,0,88.357089
0.0032,0.0016,55.7871797,0.2,1,121.932572
0.0033,0.00165,56.4911651,0.1,1,194.316926
0.00335,0.001675,56.8339629,0.05,1,279.966024
0.0033625,0.00168125,56.9351307,0.0125,1,382.319221
