# ladrunoBranch census, one row per sampling station (tet10 family, ADR-95 P3). SAME column layout as quad_path_diag.py's qpd_<tag>_branch.csv.
# station = cadence (every 50 converged steps once ds < 5 mm).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
0.0035,75.7159008,0.000342356589,31590.9368,0.000305588748,4800,0,4427,369,0,4,0,-0.0741076514,193,-204.020319,4.42897312e-08,2.23545272e-09,1156,2,-0.0741076514,2.31926714,-0.25,1154,2,-0.0688051589,2.63853423,-0.5,1097,1,-0.0618443441,1.50000002,-1.5,1097,3,-0.0613649953,1.50000002,-1.5,482,1,-0.0597297444,-1.49999999,-1.5,534,3,-2.31926708,-0.25,536,1,-1.49999999,-0.5,1150,3,1.25000001,-0.25,1151,3,1.50000002,-0.5,nan,nan,nan,nan
0.0085,108.704755,0.000292381295,37414.0797,-0.0155349843,4800,0,3682,1107,0,11,0,-0.0794186708,887,-337.113423,9.79074218e-09,7.95187748e-10,534,1,-0.0794186708,-2.31926708,-0.25,483,3,-0.0656539449,-1.25,-1.75,428,1,-0.0631481267,-1.49999999,-2.5,539,4,-0.0616296896,-1.49999999,-0.5,989,1,-0.059741964,1.50000002,-3.50000001,482,1,-1.49999999,-1.5,486,4,-1.25,-1.25,533,4,-2.63853417,-0.5,534,2,-2.31926708,-0.25,534,3,-2.31926708,-0.25
0.0135,129.683914,0.000303469744,35957.9285,-0.0128909094,4800,0,3869,916,0,15,0,-0.0721081397,827,-460.214271,4.65629371e-08,1.02667719e-08,534,1,-0.0721081397,-2.31926708,-0.25,432,4,-0.065998275,-1.25,-2.25,654,4,-0.0629632372,-0.25,-0.25,428,1,-0.0626280385,-1.49999999,-2.5,534,2,-0.0598427261,-2.31926708,-0.25,426,4,-2.31926708,-2.25,482,2,-1.49999999,-1.5,486,4,-1.25,-1.25,533,4,-2.63853417,-0.5,536,1,-1.49999999,-0.5
0.0185,144.277379,0.000304008086,35728.9486,-0.00784879307,4800,0,4076,704,0,20,0,-0.0788735888,611,-560.570776,4.40955478e-08,8.58427352e-09,1152,2,-0.0788735888,1.75000003,-0.25,534,1,-0.0770018996,-2.31926708,-0.25,432,4,-0.0678783165,-1.25,-2.25,533,4,-0.065899004,-2.63853417,-0.5,539,4,-0.0622356802,-1.49999999,-0.5,475,4,-2.95780126,-1.75,479,1,-2.63853417,-1.5,482,2,-1.49999999,-1.5,486,4,-1.25,-1.25,536,1,-1.49999999,-0.5
0.0235,153.919154,0.00029329414,37603.713,-0.00293427225,4800,0,3621,1161,0,18,0,-0.0731396041,969,-635.419522,1.41838163e-07,1.11901303e-08,1152,2,-0.0731396041,1.75000003,-0.25,539,4,-0.0702368195,-1.49999999,-0.5,1148,3,-0.0650652002,1.50000002,-0.5,366,4,-0.0605142725,-3.68479425,-3.25,638,2,-0.0603666839,-0.5,-1.5,475,4,-2.95780126,-1.75,479,1,-2.63853417,-1.5,480,4,-2.31926708,-1.25,486,4,-1.25,-1.25,529,4,-2.95780126,-0.75
0.0285,158.650718,0.000227634481,48565.5651,-0.0164007716,4800,0,3195,1583,0,22,0,-0.0743951605,1380,-698.729195,2.29571753e-07,9.83885414e-08,538,1,-0.0743951605,-1.74999999,-0.25,533,4,-0.0740462491,-2.63853417,-0.5,534,1,-0.0687342526,-2.31926708,-0.25,1152,2,-0.0668494789,1.75000003,-0.25,1148,3,-0.0650460087,1.50000002,-0.5,426,4,-2.31926708,-2.25,476,2,-2.63853417,-1.5,479,1,-2.63853417,-1.5,480,4,-2.31926708,-1.25,529,4,-2.95780126,-0.75
0.0335,160.412219,0.000258426802,42635.6737,-0.00787393575,4800,0,3433,1335,0,32,0,-0.0658446142,1190,-738.199653,3.66699624e-07,9.94981008e-08,1148,3,-0.0658446142,1.50000002,-0.5,1152,2,-0.0649383271,1.75000003,-0.25,637,1,-0.062328107,-0.75,-1.75,536,3,-0.062226431,-1.49999999,-0.5,534,2,-0.0617428783,-2.31926708,-0.25,375,3,-1.25,-3.75000001,426,4,-2.31926708,-2.25,428,1,-1.49999999,-2.5,429,3,-1.25,-2.75,475,4,-2.95780126,-1.75
0.0385,161.356439,0.000315292214,34504.5787,-0.00582826568,4800,0,4169,600,0,31,0,-0.0732675124,583,-761.156199,6.75467647e-10,1.51296687e-10,538,1,-0.0732675124,-1.74999999,-0.25,539,4,-0.0723562176,-1.49999999,-0.5,528,3,-0.0714752955,-3.68479425,-0.25,1148,3,-0.0689815946,1.50000002,-0.5,1152,2,-0.0664212069,1.75000003,-0.25,376,3,-1.74999999,-3.25,426,4,-2.31926708,-2.25,475,4,-2.95780126,-1.75,476,2,-2.63853417,-1.5,480,4,-2.31926708,-1.25
0.0435,161.939993,0.000328576612,33144.9697,-0.00490734699,4800,0,4222,547,0,31,0,-0.076220177,515,-776.097866,1.23554955e-09,3.32064229e-10,432,4,-0.076220177,-1.25,-2.25,538,1,-0.0738881305,-1.74999999,-0.25,528,3,-0.0732202818,-3.68479425,-0.25,1148,3,-0.0704258635,1.50000002,-0.5,1152,2,-0.0678945653,1.75000003,-0.25,376,3,-1.74999999,-3.25,426,4,-2.31926708,-2.25,475,4,-2.95780126,-1.75,476,2,-2.63853417,-1.5,480,4,-2.31926708,-1.25
0.0485,162.343332,0.000215628171,51598.2936,-0.0162104197,4800,0,3023,1736,0,41,0,-0.075460623,1575,-786.016083,4.86907136e-07,9.31518473e-09,432,4,-0.075460623,-1.25,-2.25,538,1,-0.0737999272,-1.74999999,-0.25,528,3,-0.0732500751,-3.68479425,-0.25,1152,2,-0.0694634397,1.75000003,-0.25,1009,1,-0.0644116336,7.65570899,-3.75000001,322,3,-1.74999999,-4.32225845,375,3,-1.25,-3.75000001,376,3,-1.74999999,-3.25,426,4,-2.31926708,-2.25,428,1,-1.49999999,-2.5
