s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,13.6546798,0.02,0,0.211342812
4e-05,2e-05,13.9760263,0.02,0,0.407844543
6e-05,3e-05,14.2973727,0.02,0,0.576071739
8e-05,4e-05,14.6187192,0.02,0,0.737825871
0.0001,5e-05,14.9400656,0.02,0,0.906744003
0.00012,6e-05,15.2614121,0.04,0,1.07941771
0.00016,8e-05,15.904105,0.04,0,1.22524643
0.0002,0.0001,16.5467979,0.04,0,1.35751557
0.00024,0.00012,17.1894907,0.04,0,1.54824662
0.00028,0.00014,17.8321836,0.04,0,1.76679611
0.00032,0.00016,18.4748765,0.04,0,1.99044132
0.00036,0.00018,19.1175694,0.08,0,2.21517205
0.00044,0.00022,20.4029465,0.08,0,2.46790767
0.00052,0.00026,21.6883688,0.08,0,2.65320945
0.0006,0.0003,22.973839,0.08,0,2.80465102
0.00068,0.00034,24.2593559,0.08,0,2.96077085
0.00076,0.00038,25.5449168,0.08,0,3.12478662
0.00084,0.00042,26.8299692,0.16,0,3.29178905
0.001,0.0005,29.3991499,0.16,0,3.5959506
0.00116,0.00058,31.9560108,0.16,0,3.86458898
0.00132,0.00066,34.488007,0.16,0,4.11928487
0.00148,0.00074,36.9790869,0.16,0,4.49667478
0.00164,0.00082,39.37683,0.16,0,5.09310865
0.0018,0.0009,41.5948729,0.2,0,5.65609431
0.002,0.001,43.9989971,0.2,0,6.19869852
0.0022,0.0011,46.1113215,0.2,0,40.1955616
0.0024,0.0012,48.0032281,0.2,0,40.8106937
0.0026,0.0013,49.7532259,0.2,0,41.4492702
0.0028,0.0014,51.3749605,0.2,0,41.7364619
0.003,0.0015,52.8512875,0.2,0,42.040242
0.0032,0.0016,54.2211902,0.2,0,42.5911856
0.0034,0.0017,55.5330614,0.2,0,43.1580164
0.0036,0.0018,56.7606472,0.2,0,43.6570582
0.0038,0.0019,57.921665,0.2,0,44.1242824
0.004,0.002,59.0379415,0.2,0,44.7775757
0.0042,0.0021,60.1047328,0.2,0,45.3002553
0.0044,0.0022,61.1310065,0.2,0,45.8012609
0.0046,0.0023,62.1144103,0.2,0,46.2787752
0.0048,0.0024,63.0648549,0.2,0,46.7538996
0.005,0.0025,63.9904639,0.2,0,47.2296991
0.0052,0.0026,64.8979641,0.2,0,47.6493416
0.0054,0.0027,65.7885484,0.2,0,48.2083201
0.0056,0.0028,66.6599415,0.2,0,48.7087519
0.0058,0.0029,67.5089691,0.2,0,49.1128407
0.006,0.003,68.3375034,0.2,0,49.4898241
0.0062,0.0031,69.1552585,0.2,0,49.9291964
0.0064,0.0032,69.9566069,0.2,0,50.4203143
0.0066,0.0033,70.7481762,0.2,0,50.8666801
0.0068,0.0034,71.5298449,0.2,0,51.4229755
0.007,0.0035,72.2973898,0.2,0,51.985249
0.0072,0.0036,73.0490289,0.2,0,86.6265628
0.0074,0.0037,73.7893131,0.2,0,87.102865
0.0076,0.0038,74.5212677,0.2,0,87.4779
0.0078,0.0039,75.2490176,0.2,0,87.9953489
0.008,0.004,75.9663419,0.2,0,88.4852467
0.0082,0.0041,76.6705465,0.2,0,88.8713815
0.0084,0.0042,77.3671764,0.2,0,89.1920433
0.0086,0.0043,78.0568276,0.2,0,89.532383
0.0088,0.0044,78.7405799,0.2,0,89.9328494
0.009,0.0045,79.4176905,0.2,0,90.3266239
0.0092,0.0046,80.0913824,0.2,0,90.7298357
0.0094,0.0047,80.7590817,0.2,0,91.0556662
0.0096,0.0048,81.4197294,0.2,0,91.6466165
0.0098,0.0049,82.0751819,0.2,0,92.1925206
0.01,0.005,82.7252322,0.2,0,92.7550793
0.0102,0.0051,83.3700427,0.2,0,93.3045447
0.0104,0.0052,84.0088227,0.2,0,93.8440752
0.0106,0.0053,84.6431866,0.2,0,94.288801
0.0108,0.0054,85.2694876,0.2,0,94.7317805
0.011,0.0055,85.8878767,0.2,0,95.1096768
0.0112,0.0056,86.4974647,0.2,0,95.408716
0.0114,0.0057,87.0983536,0.2,0,95.9955053
0.0116,0.0058,87.6906844,0.2,0,96.5214918
0.0118,0.0059,88.2744738,0.2,0,96.874918
0.012,0.006,88.8495197,0.2,0,97.2712276
0.0122,0.0061,89.4160045,0.2,0,132.017784
0.0124,0.0062,89.9776388,0.2,0,132.415608
0.0126,0.0063,90.5318731,0.2,0,132.867314
0.0128,0.0064,91.0786449,0.2,0,133.270399
0.013,0.0065,91.6192598,0.2,0,133.799944
0.0132,0.0066,92.1539173,0.2,0,134.288451
0.0134,0.0067,92.6811484,0.2,0,134.628735
0.0136,0.0068,93.2025274,0.2,0,135.010366
0.0138,0.0069,93.7165364,0.2,0,135.363379
0.014,0.007,94.2237444,0.2,0,135.771577
0.0142,0.0071,94.7231769,0.2,0,136.217112
0.0144,0.0072,95.2167494,0.2,0,136.630831
0.0146,0.0073,95.7049145,0.2,0,137.091792
