# ladrunoBranch census, one row per sampling station (tet10 family, ADR-95 P3). SAME column layout as quad_path_diag.py's qpd_<tag>_branch.csv.
# station = cadence (every 50 converged steps once ds < 5 mm).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
0.0035,72.2969806,0.000396109046,31520.0838,-0.000130509571,4800,0,4405,395,0,0,0,-0.0705123851,255,-160.655206,5.71191431e-08,0,482,2,-0.0705123851,-1.49999999,-1.5,1150,3,-0.0668548209,1.25000001,-0.25,985,4,-0.0665970806,1.25000001,-3.75000001,481,4,-0.0661356632,-1.74999999,-1.75,482,1,-0.0657229504,-1.49999999,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0085,101.234694,0.000387117249,32309.8363,-0.00405626756,4800,0,4243,557,0,0,0,-0.0764208238,528,-220.341227,2.91738805e-07,0,1097,1,-0.0764208238,1.50000002,-1.5,539,2,-0.0760667503,-1.49999999,-0.5,1094,3,-0.0749511133,1.50000002,-1.5,648,3,-0.0737083193,0.75,-1.25,985,4,-0.0734915145,1.25000001,-3.75000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0135,119.583471,0.000390442119,31961.852,-0.00457312357,4800,0,4479,321,0,0,0,-0.078871938,274,-272.7028,4.34583936e-10,0,1152,4,-0.078871938,1.75000003,-0.25,1151,4,-0.0783303182,1.50000002,-0.5,1094,3,-0.0781272155,1.50000002,-1.5,1093,4,-0.0774707308,1.25000001,-1.75,482,2,-0.0757724419,-1.49999999,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0185,132.210756,0.00038401024,32536.7434,-0.00647004521,4800,0,4381,419,0,0,0,-0.0794362904,360,-309.587928,5.00392476e-10,0,532,4,-0.0794362904,-2.95780126,-0.25,1093,4,-0.0781866734,1.25000001,-1.75,537,3,-0.077974877,-1.25,-0.75,1158,4,-0.0777058196,2.95780132,-0.25,1152,4,-0.0775374874,1.75000003,-0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0235,140.236195,0.000370792452,33695.8433,-0.00759234896,4800,0,4339,461,0,0,0,-0.0794812941,415,-333.861092,1.1706506e-08,0,537,3,-0.0794812941,-1.25,-0.75,1093,4,-0.0783583496,1.25000001,-1.75,1094,3,-0.0780063311,1.50000002,-1.5,1148,4,-0.0773350698,1.50000002,-0.5,654,4,-0.0763298736,-0.25,-0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0285,142.889074,0.000338408959,37208.0612,-0.00728445343,4800,0,3793,1007,0,0,0,-0.0781968541,910,-336.006439,7.46241257e-08,0,482,2,-0.0781968541,-1.49999999,-1.5,530,4,-0.0772892236,-2.63853417,-0.5,654,4,-0.0765745765,-0.25,-0.25,537,3,-0.0763496035,-1.25,-0.75,1156,4,-0.0760756435,2.31926714,-0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0335,143.596707,0.000251616017,50529.3756,-0.0120309192,4800,0,3091,1709,0,0,0,-0.0786980693,1467,-335.257395,4.72976828e-08,0,1043,1,-0.0786980693,1.50000002,-2.5,530,4,-0.0770344672,-2.63853417,-0.5,654,4,-0.07546391,-0.25,-0.25,474,3,-0.074695326,-3.68479425,-1.25,660,1,-0.074091905,0.75,-0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0385,143.892545,0.000251224025,50535.5079,-0.0122153072,4800,0,3195,1605,0,0,0,-0.0774931709,1424,-334.716177,6.62796158e-08,0,1156,4,-0.0774931709,2.31926714,-0.25,530,4,-0.0767395471,-2.63853417,-0.5,1157,2,-0.0749833527,2.63853423,-0.5,654,4,-0.0748385296,-0.25,-0.25,474,3,-0.0748082898,-3.68479425,-1.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0435,144.040805,0.000252399512,50160.6366,-0.0109101943,4800,0,3354,1446,0,0,0,-0.0775173972,1304,-334.481677,4.87797221e-08,0,1156,4,-0.0775173972,2.31926714,-0.25,530,4,-0.076600693,-2.63853417,-0.5,474,3,-0.0748559931,-3.68479425,-1.25,1157,2,-0.0747587618,2.63853423,-0.5,654,4,-0.0745167142,-0.25,-0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0485,144.132383,0.000255197462,49642.4927,-0.0137598016,4800,0,3346,1454,0,0,0,-0.0775071758,1289,-334.381678,6.17297368e-08,0,1156,4,-0.0775071758,2.31926714,-0.25,537,3,-0.0756181023,-1.25,-0.75,474,3,-0.0748697674,-3.68479425,-1.25,1157,2,-0.0745775367,2.63853423,-0.5,660,1,-0.0743703004,0.75,-0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0535,144.195771,0.000264925487,47809.9916,-0.0134228288,4800,0,3366,1434,0,0,0,-0.0774850183,1276,-334.382453,6.45556504e-08,0,1156,4,-0.0774850183,2.31926714,-0.25,474,3,-0.0748613801,-3.68479425,-1.25,660,1,-0.0743948666,0.75,-0.25,1157,2,-0.0743837459,2.63853423,-0.5,1045,4,-0.0743798193,2.31926714,-2.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0585,144.243923,0.000265411769,47698.547,-0.0131618325,4800,0,3406,1394,0,0,0,-0.0774631862,1254,-334.409653,4.18578166e-08,0,1156,4,-0.0774631862,2.31926714,-0.25,1008,1,-0.0755279339,6.47005351,-3.25,474,3,-0.0748512936,-3.68479425,-1.25,1045,4,-0.0744812078,2.31926714,-2.75,660,1,-0.0744099087,0.75,-0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0635,144.281425,0.000341987178,36607.2868,-0.00941783768,4800,0,4086,714,0,0,0,-0.0777655051,671,-334.461194,2.31321957e-08,0,482,2,-0.0777655051,-1.49999999,-1.5,1043,1,-0.0771015166,1.50000002,-2.5,530,4,-0.0764767882,-2.63853417,-0.5,537,3,-0.0757426894,-1.25,-0.75,1149,4,-0.0749865216,1.75000003,-0.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0685,144.313282,0.000272958186,46309.8166,-0.0122474325,4800,0,3567,1233,0,0,0,-0.0774122493,1120,-334.511056,5.30423636e-08,0,1156,4,-0.0774122493,2.31926714,-0.25,1008,1,-0.0772479906,6.47005351,-3.25,530,4,-0.0764744296,-2.63853417,-0.5,474,3,-0.074823139,-3.68479425,-1.25,1045,4,-0.0746100765,2.31926714,-2.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
