s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,11.9948075,0.02,0,0.221084118
4e-05,2e-05,12.3229483,0.02,0,0.442768335
6e-05,3e-05,12.6510891,0.02,0,0.639303207
8e-05,4e-05,12.9792299,0.02,0,0.858807564
0.0001,5e-05,13.3073706,0.02,0,1.06511641
0.00012,6e-05,13.6355114,0.04,0,1.23579097
0.00016,8e-05,14.291793,0.04,0,1.42285895
0.0002,0.0001,14.9480746,0.04,0,1.62750864
0.00024,0.00012,15.6043562,0.04,0,2.03710461
0.00028,0.00014,16.2606378,0.04,0,2.34923482
0.00032,0.00016,16.9169193,0.04,0,2.57837462
0.00036,0.00018,17.5732009,0.08,0,2.79053664
0.00044,0.00022,18.8857641,0.08,0,3.18596005
0.00052,0.00026,20.1983272,0.08,0,3.62212682
0.0006,0.0003,21.5108904,0.08,0,3.99287558
0.00068,0.00034,22.8234536,0.08,0,4.48585939
0.00076,0.00038,24.1360167,0.08,0,4.9978888
0.00084,0.00042,25.4485799,0.16,0,5.51113677
0.00092,0.00046,26.761143,0.08,0,17.0804477
0.001,0.0005,28.0724589,0.08,0,17.4947634
0.00108,0.00054,29.3807225,0.08,0,17.9351618
0.00116,0.00058,30.6846987,0.08,0,18.4364674
0.00124,0.00062,31.9838996,0.08,0,19.1476042
0.00132,0.00066,33.2800901,0.16,0,19.8952019
0.0014,0.0007,34.5633806,0.08,0,31.5707567
0.00148,0.00074,35.8305009,0.08,0,70.0024712
0.00152,0.00076,36.4616308,0.04,0,83.1200156
0.00156,0.00078,37.0900783,0.04,0,83.581825
0.0016,0.0008,37.7166155,0.04,0,83.9674435
0.00164,0.00082,38.3375102,0.04,0,84.4065676
0.00168,0.00084,38.9509511,0.04,0,84.8276551
0.00172,0.00086,39.5566167,0.08,0,85.4859395
0.00176,0.00088,40.149389,0.04,0,99.7112398
0.0018,0.0009,40.7313681,0.04,0,100.143647
0.00184,0.00092,41.2961232,0.04,0,100.748193
0.00188,0.00094,41.8456478,0.04,0,101.302039
0.00192,0.00096,42.3803214,0.04,0,101.997906
0.00196,0.00098,42.905248,0.08,0,102.479993
0.002,0.001,43.4089041,0.04,0,115.568558
0.00204,0.00102,43.8964631,0.04,0,116.01732
0.00208,0.00104,44.3714337,0.04,0,116.465928
0.00212,0.00106,44.8224309,0.04,0,116.987437
0.00216,0.00108,45.255478,0.04,0,117.761018
0.0022,0.0011,45.6716922,0.08,0,118.120116
0.00224,0.00112,46.0815267,0.04,0,131.429984
0.00228,0.00114,46.4840339,0.04,0,131.964104
0.00232,0.00116,46.8800063,0.04,0,132.486867
0.00236,0.00118,47.2690056,0.04,0,132.95613
0.0024,0.0012,47.650018,0.04,0,133.535111
0.00244,0.00122,48.0243301,0.08,0,134.126909
0.00248,0.00124,48.3932464,0.04,0,179.60729
0.00252,0.00126,48.754676,0.04,0,180.214471
0.00256,0.00128,49.1086751,0.04,0,180.791564
0.0026,0.0013,49.4557008,0.04,0,181.393196
0.00264,0.00132,49.7992909,0.04,0,181.975634
0.00268,0.00134,50.1385541,0.08,0,182.461707
0.00272,0.00136,50.472131,0.04,0,195.182009
0.00276,0.00138,50.7994552,0.04,0,195.57745
0.0028,0.0014,51.1215905,0.04,0,196.195961
0.00284,0.00142,51.4397396,0.04,0,198.235393
0.00288,0.00144,51.755415,0.04,0,198.775687
0.00292,0.00146,52.0671645,0.08,0,199.367005
0.00294,0.00147,52.2206198,0.02,0,233.176568
0.00296,0.00148,52.3729764,0.02,0,233.756928
0.00298,0.00149,52.5245507,0.02,0,234.14041
0.003,0.0015,52.6749397,0.02,0,235.140401
0.00302,0.00151,52.8245933,0.02,0,236.054364
0.00304,0.00152,52.9734855,0.04,0,236.711383
0.00306,0.00153,53.121543,0.02,0,255.645768
0.00308,0.00154,53.2689956,0.02,0,256.176627
0.0031,0.00155,53.415919,0.02,0,256.597354
0.00312,0.00156,53.5621913,0.02,0,257.082626
0.00314,0.00157,53.7073011,0.02,0,257.752962
0.00316,0.00158,53.8515564,0.04,0,258.337352
0.00318,0.00159,53.9951158,0.02,1,317.760687
0.0032,0.0016,54.1382305,0.02,1,413.371569
0.00322,0.00161,54.2813543,0.02,1,433.753132
