# ladrunoBranch census, one row per sampling station (tet10 family, ADR-95 P3). SAME column layout as quad_path_diag.py's qpd_<tag>_branch.csv.
# station = cadence (every 50 converged steps once ds < 5 mm).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
0.0035,74.0494106,0.000102815523,94608.7991,-0.00642356543,4800,0,4374,422,0,4,0,-0.0741122526,325,-204.028895,1.47208385e-08,6.30796037e-10,1156,2,-0.0741122526,2.31926714,-0.25,1154,2,-0.0688038814,2.63853423,-0.5,537,3,-0.0642525562,-1.25,-0.75,1151,1,-0.0619857599,1.50000002,-0.5,534,2,-0.060346282,-2.31926708,-0.25,536,1,-1.49999999,-0.5,1150,3,1.25000001,-0.25,1151,3,1.50000002,-0.5,1152,3,1.75000003,-0.25,nan,nan,nan,nan
0.0085,107.038037,8.96563048e-05,109258.047,-0.0105155005,4800,0,3731,1059,0,10,0,-0.0741741716,932,-337.114746,1.54600936e-09,5.18256628e-10,1154,2,-0.0741741716,2.63853423,-0.5,538,1,-0.0702932625,-1.74999999,-0.25,1158,3,-0.0697109114,2.95780132,-0.25,1152,2,-0.0696671055,1.75000003,-0.25,532,4,-0.066139011,-2.95780126,-0.25,482,1,-1.49999999,-1.5,533,4,-2.63853417,-0.5,534,3,-2.31926708,-0.25,536,1,-1.49999999,-0.5,536,2,-1.49999999,-0.5
0.0135,128.016793,9.92154366e-05,98991.8271,-0.00717908939,4800,0,3972,811,0,17,0,-0.0659927036,728,-460.21184,5.74155967e-10,7.29297008e-11,432,4,-0.0659927036,-1.25,-2.25,475,4,-0.0646879007,-2.95780126,-1.75,428,1,-0.0626282054,-1.49999999,-2.5,476,1,-0.059348635,-2.63853417,-1.5,375,3,-0.059172849,-1.25,-3.75000001,532,2,-2.95780126,-0.25,534,3,-2.31926708,-0.25,536,2,-1.49999999,-0.5,539,3,-1.49999999,-0.5,1039,4,1.25000001,-2.75
0.0185,142.610225,9.65441413e-05,101101.422,-0.00078877048,4800,0,4286,485,0,29,0,-0.0619547525,338,-560.568671,3.79958768e-08,2.31572918e-09,480,2,-0.0619547525,-2.31926708,-1.25,533,4,-0.061320989,-2.63853417,-0.5,638,2,-0.0600876346,-0.5,-1.5,538,1,-0.0586836573,-1.74999999,-0.25,486,3,-0.0579154544,-1.25,-1.25,426,4,-2.31926708,-2.25,428,1,-1.49999999,-2.5,429,3,-1.25,-2.75,475,4,-2.95780126,-1.75,479,1,-2.63853417,-1.5
0.0235,152.25113,6.82910439e-05,144621.745,-0.011018896,4800,0,3361,1428,0,11,0,-0.0758433221,1276,-635.414698,5.15569466e-08,2.12939004e-09,538,1,-0.0758433221,-1.74999999,-0.25,1152,2,-0.0731339258,1.75000003,-0.25,534,1,-0.0730406528,-2.31926708,-0.25,539,4,-0.0702408884,-1.49999999,-0.5,1148,3,-0.065082216,1.50000002,-0.5,375,3,-1.25,-3.75000001,426,4,-2.31926708,-2.25,475,4,-2.95780126,-1.75,479,1,-2.63853417,-1.5,530,4,-2.63853417,-0.5
0.0285,156.983684,5.43822837e-05,184014.256,-0.0124444938,4800,0,2659,2126,0,15,0,-0.0740532416,1831,-698.738928,1.47133941e-07,6.36469854e-08,533,4,-0.0740532416,-2.63853417,-0.5,432,4,-0.0718852014,-1.25,-2.25,534,1,-0.0687855606,-2.31926708,-0.25,1152,2,-0.066838302,1.75000003,-0.25,536,3,-0.0638460294,-1.49999999,-0.5,480,4,-2.31926708,-1.25,529,4,-2.95780126,-0.75,533,1,-2.63853417,-0.5,648,3,0.75,-1.25,649,4,-0.75,-0.75
0.0335,158.745504,8.00301899e-05,123865.006,-0.00446178224,4800,0,3396,1376,0,28,0,-0.0729838265,1158,-738.198564,7.27281244e-08,1.82474637e-08,374,1,-0.0729838265,-1.49999999,-3.50000001,538,1,-0.0724572401,-1.74999999,-0.25,534,1,-0.0693532263,-2.31926708,-0.25,1148,3,-0.065842871,1.50000002,-0.5,1152,2,-0.064941506,1.75000003,-0.25,375,3,-1.25,-3.75000001,428,1,-1.49999999,-2.5,429,3,-1.25,-2.75,475,4,-2.95780126,-1.75,476,2,-2.63853417,-1.5
0.0385,159.689737,7.30554393e-05,136147.402,-0.00458331631,4800,0,3177,1591,0,32,0,-0.0714743926,1370,-761.160289,1.59161393e-07,4.34408227e-08,528,3,-0.0714743926,-3.68479425,-0.25,1148,3,-0.0689807558,1.50000002,-0.5,1152,2,-0.066417417,1.75000003,-0.25,640,1,-0.0647016527,-0.75,-1.25,637,1,-0.062477155,-0.75,-1.75,322,3,-1.74999999,-4.32225845,374,1,-1.49999999,-3.50000001,375,3,-1.25,-3.75000001,376,3,-1.74999999,-3.25,426,4,-2.31926708,-2.25
0.0435,160.273311,9.70927121e-05,100959.986,-0.0013896943,4800,0,4040,728,0,32,0,-0.073888196,704,-776.100412,8.83704418e-10,3.40541003e-10,538,1,-0.073888196,-1.74999999,-0.25,528,3,-0.0732191831,-3.68479425,-0.25,1148,3,-0.0704255838,1.50000002,-0.5,1152,2,-0.0678940582,1.75000003,-0.25,539,4,-0.0665153116,-1.49999999,-0.5,322,3,-1.74999999,-4.32225845,376,3,-1.74999999,-3.25,426,4,-2.31926708,-2.25,476,2,-2.63853417,-1.5,480,4,-2.31926708,-1.25
0.0485,160.676668,8.67178678e-05,114074.896,-0.00745697331,4800,0,3625,1133,0,42,0,-0.0754597186,1024,-786.017296,8.58995973e-08,3.70615551e-08,432,4,-0.0754597186,-1.25,-2.25,538,1,-0.0737992762,-1.74999999,-0.25,1148,3,-0.0707663877,1.50000002,-0.5,1152,2,-0.0694616009,1.75000003,-0.25,1009,1,-0.0644116731,7.65570899,-3.75000001,321,3,-1.25,-4.96677532,322,3,-1.74999999,-4.32225845,374,1,-1.49999999,-3.50000001,375,3,-1.25,-3.75000001,376,3,-1.74999999,-3.25
