# ADR90 WP-A2 tau=0 band, build cc4aa6db01c7ae86155b425182021722ab55db50 (expected any), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res,guard_ctlf,substeps_tot,substeps_max,substeps_max_ele,substeps_ring_tot,substeps_ring_max,wall_step_s
2e-05,1e-05,1.30230445,-1.19305287,0.02,0,0.155860662,0,0,0,0,0,0,0,1348,37,100,336,30,0.155860662
4e-05,2e-05,1.89827057,-1.68531581,0.02,0,0.252103806,0,0,0,0,0,0,0,1052,15,90,264,15,0.0962431431
6e-05,3e-05,2.3416689,-2.17952618,0.02,0,0.347448111,0,0,0,0,0,0,0,1028,13,90,266,13,0.095344305
8e-05,4e-05,2.81192835,-2.6490629,0.02,0,0.439101696,0,0,0,0,0,0,0,984,13,90,234,13,0.0916535854
0.0001,5e-05,3.22675044,-3.08727718,0.02,0,0.536087751,0,0,0,0,0,0,0,1024,14,90,214,14,0.0969860554
0.00012,6e-05,3.65781037,-3.51081969,0.04,0,0.629944801,0,0,0,0,0,0,0,1024,14,90,208,14,0.0938570499
0.00016,8e-05,4.39797057,-4.28941094,0.04,0,0.816469193,0,0,0,0,0,0,0,1992,29,90,470,29,0.186524391
0.0002,0.0001,5.18601582,-5.01437665,0.04,0,0.96352005,0,0,0,0,0,0,0,2116,30,90,510,30,0.147050858
0.00024,0.00012,5.87873552,-5.71952132,0.04,0,1.10528159,0,0,0,0,0,0,0,2176,31,90,500,31,0.141761541
0.00028,0.00014,6.49673927,-6.41184223,0.04,0,1.29286432,0,0,0,0,0,0,0,2194,32,90,494,31,0.187582731
0.00032,0.00016,7.19957638,-7.08577418,0.04,0,1.49306226,0,0,0,0,0,0,0,2249,31,90,499,31,0.200197935
0.00036,0.00018,7.85372943,-7.75009227,0.08,0,1.68362379,0,0,0,0,0,0,0,2298,32,90,489,32,0.190561533
0.00044,0.00022,9.16287221,-9.04416003,0.08,0,1.98576307,0,0,0,0,0,0,0,4074,62,90,954,61,0.302139282
0.00052,0.00026,10.4221287,-10.3147965,0.08,0,2.36637068,0,0,0,0,0,0,0,4111,62,90,969,62,0.380607605
0.0006,0.0003,11.6683716,-11.5634831,0.08,0,2.80299282,0,0,0,0,0,0,0,4128,62,90,993,62,0.436622143
0.00068,0.00034,12.8972372,-12.7910972,0.08,0,3.24390912,0,0,0,0,0,0,0,4218,62,90,998,62,0.4409163
0.00076,0.00038,14.1048224,-14.0014899,0.08,0,3.68839264,0,0,0,0,0,0,0,4242,60,90,985,60,0.444483519
0.00084,0.00042,15.3012398,-15.1928609,0.16,0,4.1355505,0,0,0,0,0,0,0,4359,61,90,990,61,0.44715786
0.001,0.0005,17.5858456,-17.5391976,0.16,0,4.9698844,0,0,0,0,0,0,0,7656,116,90,1885,115,0.834333897
0.00116,0.00058,19.8502147,-19.8550176,0.16,0,6.27892661,0,0,0,0,0,0,0,7610,115,90,1885,115,1.30904222
0.00132,0.00066,22.1887539,-22.1506163,0.16,0,7.11945987,0,0,0,0,0,0,0,7651,113,90,1903,112,0.840533257
0.00148,0.00074,24.4367479,-24.3959882,0.16,0,7.96346712,0,0,0,0,0,0,0,7721,111,90,1907,110,0.844007254
0.00164,0.00082,29.7911671,-28.5452424,0.16,1,16.5498629,0,0,0,0,0,0,0,6394,92,120,1441,92,8.58639574
0.0018,0.0009,28.9502855,-28.9535654,0.32,0,18.3241746,0,0,0,0,0,0,0,10581,130,120,2520,130,1.77431178
0.00212,0.00106,33.5535635,-33.5607569,0.32,0,20.2918785,0,0,0,0,0,0,0,14081,214,90,3679,212,1.96770382
0.00244,0.00122,38.0427346,-38.0548361,0.32,0,22.4042928,0,0,0,0,0,0,0,13916,206,90,3642,206,2.11241436
0.00276,0.00138,42.469657,-42.4779594,0.32,0,24.6873775,0,0,0,0,0,0,0,14019,201,90,3645,201,2.28308463
0.00308,0.00154,46.834122,-46.8586264,0.32,0,26.9815586,0,0,0,0,0,0,0,14038,198,120,3625,198,2.29418111
0.0034,0.0017,51.1558516,-51.1713484,0.32,0,29.4354553,0,0,0,0,0,0,0,14148,192,90,3631,191,2.45389676
0.00372,0.00186,55.430933,-55.4506663,0.64,0,31.9213223,0,0,0,0,0,0,0,14063,189,120,3625,189,2.48586702
0.00436,0.00218,63.8638818,-63.8708217,0.64,0,38.446384,0,0,0,0,0,0,0,26525,361,120,6985,361,6.52506161
0.005,0.0025,72.1811846,-72.1861116,0.64,0,45.2342145,0,0,0,0,0,0,0,26363,348,90,6935,348,6.78783059
0.00564,0.00282,80.4610069,-80.4054162,0.64,0,55.2373714,0,0,0,0,0,0,0,26333,335,90,6853,335,10.0031569
0.00628,0.00314,88.4106537,-88.4887068,0.64,0,64.1850169,0,0,0,0,0,0,0,26437,330,90,6841,330,8.94764543
0.00692,0.00346,96.4927004,-96.5345658,0.64,0,73.0421555,0,0,0,0,0,0,0,26272,321,120,6760,321,8.85713863
0.00756,0.00378,104.502939,-104.59305,1.28,0,81.9501171,0,0,0,0,0,0,0,26183,312,90,6688,310,8.90796161
0.00884,0.00442,120.539976,-120.507673,1.28,0,99.2964721,0,0,0,0,0,0,0,49823,591,120,12861,591,17.346355
0.01012,0.00506,136.206205,-136.173503,1.28,0,117.839691,0,0,0,0,0,0,0,49563,571,120,12701,571,18.5432193
0.0114,0.0057,151.848726,-151.819339,1.28,0,135.991178,0,0,0,0,0,0,0,49129,547,90,12437,545,18.1514864
0.01268,0.00634,167.256256,-167.243018,1.28,0,154.237414,0,0,0,0,0,0,0,48961,531,90,12285,530,18.2462361
0.01396,0.00698,182.751003,-182.724157,1.28,0,171.646338,0,0,0,0,0,0,0,48426,508,90,12074,507,17.4089236
0.01524,0.00762,198.492623,-198.695194,2.56,1,201.336026,0,0,0,0,0,0,0,47951,459,120,11320,459,29.6896889
0.0178,0.0089,228.482218,-228.425214,2.56,0,236.618036,0,0,0,0,0,0,0,92979,987,90,23588,980,35.2820096
0.02036,0.01018,258.801495,-258.718083,2.56,0,282.938718,0,0,0,0,0,0,0,91097,891,90,22329,891,46.3206823
0.02292,0.01146,288.925614,-288.941032,2.56,0,330.712031,0,0,0,0,0,0,0,90147,848,90,21796,848,47.773313
0.02548,0.01274,318.99476,-318.94685,2.56,0,376.549384,0,0,0,0,0,0,0,89306,814,90,21341,813,45.8373525
0.02804,0.01402,348.906638,-348.877424,2.56,0,413.862917,0,0,0,0,0,0,0,88411,781,120,20974,781,37.3135333
0.0306,0.0153,379.921972,-380.015059,5,1,445.243151,0,0,0,0,0,0,0,87831,725,120,19869,725,31.3802338
0.0356,0.0178,437.984258,-438.475682,5,1,498.060205,0,0,0,0,0,0,0,165051,1387,120,38592,1387,52.817054
0.0406,0.0203,495.119354,-495.614315,5,1,600.607555,0,0,0,0,0,0,0,161538,1314,90,37708,1298,102.54735
0.0456,0.0228,552.541377,-553.150863,5,1,697.235237,0,0,0,0,0,0,0,159054,1243,120,36478,1243,96.6276827
0.0506,0.0253,609.666637,-609.716816,5,0,770.940471,0,0,0,0,0,0,0,156078,1210,90,35998,1199,73.7052341
0.0556,0.0278,668.215175,-668.564478,5,1,861.179022,0,0,0,0,0,0,0,156404,1093,120,33993,1093,90.2385502
0.0606,0.0303,724.997429,-725.012862,5,1,936.251924,0,0,0,0,0,0,0,153637,1132,90,34951,1127,75.0729022
0.0656,0.0328,782.184819,-781.986872,5,1,1003.72565,0,0,0,0,0,0,0,151823,1056,120,33428,1056,67.4737298
0.0706,0.0353,839.005623,-839.084194,5,1,1111.75725,0,0,0,0,0,0,0,149803,1039,90,33073,1025,108.031599
0.0756,0.0378,895.827337,-896.080136,5,1,1179.89214,0,0,0,0,0,0,0,148676,996,90,32427,984,68.1348872
