# ADR90 WP-A2 tau=0 band, build cc4aa6db01c7ae86155b425182021722ab55db50 (expected any), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res,guard_ctlf,substeps_tot,substeps_max,substeps_max_ele,substeps_ring_tot,substeps_ring_max,wall_step_s
2e-05,1e-05,1.20829922,-1.17098422,0.02,0,0.197574854,0,0,0,0,0,0,0,1328,38,100,374,28,0.197574854
4e-05,2e-05,1.8133506,-1.70718832,0.02,0,0.299974918,0,0,0,0,0,0,0,1164,14,90,304,14,0.102400064
6e-05,3e-05,2.36055952,-2.1883028,0.02,0,0.420594215,0,0,0,0,0,0,0,1072,15,90,290,15,0.120619297
8e-05,4e-05,2.80323856,-2.65088035,0.02,0,0.524176598,0,0,0,0,0,0,0,1008,15,90,236,15,0.103582382
0.0001,5e-05,3.25116322,-3.08759572,0.02,0,0.635983229,0,0,0,0,0,0,0,1036,15,90,224,15,0.111806631
0.00012,6e-05,3.67831948,-3.52035546,0.04,0,0.737039804,0,0,0,0,0,0,0,1080,15,90,222,15,0.101056576
0.00016,8e-05,4.52389983,-4.33605283,0.04,0,0.889952898,0,0,0,0,0,0,0,1984,29,90,454,29,0.152913094
0.0002,0.0001,5.29192188,-5.12144098,0.04,0,1.04460573,0,0,0,0,0,0,0,2048,28,90,434,28,0.154652834
0.00024,0.00012,6.02727364,-5.88795751,0.04,0,1.22874999,0,0,0,0,0,0,0,2092,28,90,442,28,0.184144258
0.00028,0.00014,6.78657569,-6.63759948,0.04,0,1.39098382,0,0,0,0,0,0,0,2132,29,90,474,29,0.162233829
0.00032,0.00016,7.54973741,-7.36331693,0.04,0,1.55563188,0,0,0,0,0,0,0,2166,28,90,444,28,0.164648056
0.00036,0.00018,8.23249044,-8.08758137,0.08,0,1.72509027,0,0,0,0,0,0,0,2276,27,90,462,27,0.169458389
0.00044,0.00022,9.62433852,-9.50176215,0.08,0,2.04307699,0,0,0,0,0,0,0,3885,51,90,847,51,0.317986727
0.00052,0.00026,11.0032505,-10.8907815,0.08,0,2.67374539,0,0,0,0,0,0,0,3912,50,90,883,50,0.630668402
0.0006,0.0003,12.3771749,-12.2638271,0.08,0,3.32019281,0,0,0,0,0,0,0,4010,50,90,892,50,0.64644742
0.00068,0.00034,13.7362849,-13.6076395,0.08,0,3.96397042,0,0,0,0,0,0,0,4098,49,120,882,49,0.643777609
0.00076,0.00038,15.0337254,-14.932081,0.08,0,4.66198397,0,0,0,0,0,0,0,4160,47,90,905,47,0.698013544
0.00084,0.00042,16.3531819,-16.2370139,0.16,0,5.34020066,0,0,0,0,0,0,0,4221,46,90,913,46,0.678216696
0.001,0.0005,18.8371914,-18.8213189,0.16,0,6.94352865,0,0,0,0,0,0,0,7455,86,90,1704,85,1.60332799
0.00116,0.00058,21.3711928,-21.3728682,0.16,0,9.35850358,0,0,0,0,0,0,0,7319,83,90,1720,83,2.41497493
