# ADR90 WP-A2 tau=0 band, build dee04dbe39117d16835f7caa52a6b71aab72f1ba (expected dee04dbe39117d16835f7caa52a6b71aab72f1ba), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res,guard_ctlf,substeps_tot,substeps_max,substeps_max_ele,substeps_ring_tot,substeps_ring_max,wall_step_s
2e-05,1e-05,1.21195238,-1.24226881,0.02,0,0.0455312729,0,0,0,0,0,0,0,784,34,90,286,34,0.0455312729
4e-05,2e-05,1.91620152,-1.90446531,0.02,0,0.075056076,0,0,0,0,0,0,0,620,16,90,186,16,0.0295248032
6e-05,3e-05,2.59153551,-2.57671797,0.02,0,0.10557127,0,0,0,0,0,0,0,600,14,90,170,14,0.0305151939
8e-05,4e-05,3.25662513,-3.24268475,0.02,0,0.135165691,0,0,0,0,0,0,0,636,14,90,154,14,0.0295944214
0.0001,5e-05,3.89875637,-3.90048349,0.02,0,0.16735673,0,0,0,0,0,0,0,672,14,90,154,14,0.0321910381
0.00012,6e-05,4.51591847,-4.52323771,0.04,0,0.199368954,0,0,0,0,0,0,0,864,20,90,236,20,0.0320122242
0.00016,8e-05,5.6732855,-5.69692456,0.04,0,0.259981155,0,0,0,0,0,0,0,1404,32,90,394,32,0.0606122017
0.0002,0.0001,6.85385973,-6.8848377,0.04,0,0.322098017,0,0,0,0,0,0,0,1416,33,90,384,33,0.0621168613
0.00024,0.00012,8.01594887,-8.05553319,0.04,0,0.383538485,0,0,0,0,0,0,0,1512,32,90,384,32,0.0614404678
0.00028,0.00014,9.16045078,-9.20854619,0.04,0,0.444094419,0,0,0,0,0,0,0,1648,33,90,420,33,0.0605559349
0.00032,0.00016,10.2888346,-10.3451121,0.04,0,0.508919477,0,0,0,0,0,0,0,1684,33,90,422,33,0.064825058
0.00036,0.00018,11.4025077,-11.4666911,0.08,0,0.584021807,0,0,0,0,0,0,0,1776,33,90,452,33,0.0751023293
0.00044,0.00022,13.5510203,-13.6243406,0.08,0,0.695595741,0,0,0,0,0,0,0,2928,63,90,840,63,0.111573935
0.00052,0.00026,15.6834596,-15.7707499,0.08,0,0.812529325,0,0,0,0,0,0,0,3048,62,90,856,62,0.116933584
0.0006,0.0003,17.778387,-17.8800373,0.08,0,0.936247349,0,0,0,0,0,0,0,3248,62,90,894,62,0.123718023
0.00068,0.00034,19.7562858,-19.8300942,0.08,0,1.09610629,0,0,0,0,0,0,0,3612,63,90,974,63,0.159858942
0.00076,0.00038,21.7675108,-21.8446637,0.08,0,1.26039958,0,0,0,0,0,0,0,3488,62,90,944,62,0.164293289
0.00084,0.00042,23.7565288,-23.8407769,0.16,0,1.43059564,0,0,0,0,0,0,0,3608,60,90,958,60,0.170196056
0.001,0.0005,27.6046737,-27.6829692,0.16,0,1.78032303,0,0,0,0,0,0,0,6542,117,90,1828,117,0.349727392
0.00116,0.00058,31.4134453,-31.5043646,0.16,0,2.13230443,0,0,0,0,0,0,0,6665,114,90,1844,114,0.351981401
0.00132,0.00066,35.1555145,-35.2597844,0.16,0,2.48575163,0,0,0,0,0,0,0,6873,111,90,1859,111,0.353447199
0.00148,0.00074,38.7768969,-38.864434,0.16,0,2.92259002,0,0,0,0,0,0,0,7122,111,90,1914,111,0.436838388
0.00164,0.00082,42.3941944,-42.4880405,0.16,0,3.34756422,0,0,0,0,0,0,0,7090,108,90,1895,108,0.424974203
0.0018,0.0009,45.9696509,-46.0718979,0.32,0,3.7809453,0,0,0,0,0,0,0,7186,106,90,1905,106,0.433381081
0.00212,0.00106,52.9274464,-53.0274331,0.32,0,4.74393415,0,0,0,0,0,0,0,12964,203,90,3652,203,0.962988853
0.00244,0.00122,59.7561574,-59.8512703,0.32,0,5.82175612,0,0,0,0,0,0,0,13086,198,90,3681,198,1.07782197
0.00276,0.00138,66.4724166,-66.5619988,0.32,0,6.9883647,0,0,0,0,0,0,0,13177,193,90,3677,193,1.16660857
0.00308,0.00154,73.1312322,-73.2309644,0.32,0,8.15166473,0,0,0,0,0,0,0,13132,185,90,3629,185,1.16330004
0.0034,0.0017,79.6695254,-79.7636137,0.32,0,9.45055604,0,0,0,0,0,0,0,13286,182,90,3645,182,1.29889131
0.00372,0.00186,86.1710502,-86.2730349,0.64,0,10.718545,0,0,0,0,0,0,0,13249,176,90,3609,176,1.26798892
0.00436,0.00218,98.9043292,-99.0064085,0.64,0,13.7870381,0,0,0,0,0,0,0,24821,335,90,6942,335,3.06849313
0.005,0.0025,111.427123,-111.521259,0.64,0,17.2171524,0,0,0,0,0,0,0,24872,323,90,6883,323,3.43011427
0.00564,0.00282,123.810442,-123.906315,0.64,0,20.8613336,0,0,0,0,0,0,0,24773,310,90,6785,310,3.64418125
0.00628,0.00314,136.03063,-136.120864,0.64,0,24.8378758,0,0,0,0,0,0,0,24778,300,90,6714,300,3.97654223
0.00692,0.00346,148.145478,-148.235269,0.64,0,28.9905877,0,0,0,0,0,0,0,24762,289,90,6616,289,4.15271187
