# ADR90 WP-A2 plastic field at CHECKPOINT s/B=0.005 (actual 0.005060), build dee04dbe39117d16835f7caa52a6b71aab72f1ba (expected dee04dbe39117d16835f7caa52a6b71aab72f1ba), leg h1.0_e0.6944, q_foot=207.2532 kPa
ele,xc,zc,hx,hz,vol,eps_q_p,eta_grav
1,-26.4626081,-17.706199,7.07478378,4.58760194,16.2281459,1.44198099e-07,0.855053698
2,-26.4626081,-13.6329249,7.07478378,3.55894634,12.5893879,9.40343418e-07,0.855053698
3,-26.4626081,-10.4729811,7.07478378,2.76094116,9.76653089,1.96048616e-06,0.855053698
4,-26.4626081,-8.02157615,7.07478378,2.1418688,7.57662931,2.86919906e-06,0.855053698
5,-26.4626081,-6.11983775,7.07478378,1.66160801,5.87775869,3.64120828e-06,0.855053698
6,-26.4626081,-4.64451687,7.07478378,1.28903375,4.55981753,4.32316406e-06,0.855053698
7,-26.4626081,-3.5,7.07478378,1,3.53739189,5.63428874e-06,0.855053698
8,-26.4626081,-2.5,7.07478378,1,3.53739189,5.692636e-06,0.855053698
9,-26.4626081,-1.5,7.07478378,1,3.53739189,6.80577471e-06,0.855053698
10,-26.4626081,-0.5,7.07478378,1,3.53739189,9.24650536e-06,0.855053698
11,-20.1552847,-17.706199,5.539863,4.58760194,12.7073431,9.15091404e-07,0.855053698
12,-20.1552847,-13.6329249,5.539863,3.55894634,9.85803758,1.84583093e-06,0.855053698
13,-20.1552847,-10.4729811,5.539863,2.76094116,7.64761791,2.98197476e-06,0.855053698
14,-20.1552847,-8.02157615,5.539863,2.1418688,5.93282985,4.00713496e-06,0.855053698
15,-20.1552847,-6.11983775,5.539863,1.66160801,4.60254036,4.85964026e-06,0.855053698
16,-20.1552847,-4.64451687,5.539863,1.28903375,3.57053519,5.94376387e-06,0.855053698
17,-20.1552847,-3.5,5.539863,1,2.7699315,6.21907843e-06,0.855053698
18,-20.1552847,-2.5,5.539863,1,2.7699315,6.91489468e-06,0.855053698
19,-20.1552847,-1.5,5.539863,1,2.7699315,7.98291299e-06,0.855053698
20,-20.1552847,-0.5,5.539863,1,2.7699315,1.04626718e-05,0.855053698
21,-15.2163765,-17.706199,4.33795336,4.58760194,9.95040164,2.34593462e-06,0.855053698
22,-15.2163765,-13.6329249,4.33795336,3.55894634,7.71927162,3.52477598e-06,0.855053698
23,-15.2163765,-10.4729811,4.33795336,2.76094116,5.98841701,5.36124386e-06,0.855053698
24,-15.2163765,-8.02157615,4.33795336,2.1418688,4.64566348,7.0542523e-06,0.855053698
25,-15.2163765,-6.11983775,4.33795336,1.66160801,3.60398902,8.31147132e-06,0.855053698
26,-15.2163765,-4.64451687,4.33795336,1.28903375,2.79588414,9.17555098e-06,0.855053698
27,-15.2163765,-3.5,4.33795336,1,2.16897668,9.80874242e-06,0.855053698
28,-15.2163765,-2.5,4.33795336,1,2.16897668,1.04040765e-05,0.855053698
29,-15.2163765,-1.5,4.33795336,1,2.16897668,1.18706431e-05,0.855053698
30,-15.2163765,-0.5,4.33795336,1,2.16897668,1.32491364e-05,0.855053698
31,-11.3489969,-17.706199,3.39680591,4.58760194,7.79159669,3.7992244e-06,0.855053698
32,-11.3489969,-13.6329249,3.39680591,3.55894634,6.04452498,6.19082952e-06,0.855053698
33,-11.3489969,-10.4729811,3.39680591,2.76094116,4.68919063,1.05736304e-05,0.855053698
34,-11.3489969,-8.02157615,3.39680591,2.1418688,3.63775629,1.46814359e-05,0.855053698
35,-11.3489969,-6.11983775,3.39680591,1.66160801,2.82207995,1.74293039e-05,0.855053698
36,-11.3489969,-4.64451687,3.39680591,1.28903375,2.18929873,1.87276128e-05,0.855053698
37,-11.3489969,-3.5,3.39680591,1,1.69840295,1.92507996e-05,0.855053698
38,-11.3489969,-2.5,3.39680591,1,1.69840295,1.91460599e-05,0.855053698
39,-11.3489969,-1.5,3.39680591,1,1.69840295,1.92916223e-05,0.855053698
40,-11.3489969,-0.5,3.39680591,1,1.69840295,2.35438557e-05,0.855053698
41,-8.32067065,-17.706199,2.65984657,4.58760194,6.10115865,4.60728274e-06,0.855053698
42,-8.32067065,-13.6329249,2.65984657,3.55894634,4.73312561,1.02582126e-05,0.855053698
43,-8.32067065,-10.4729811,2.65984657,2.76094116,3.67183995,2.05308039e-05,0.855053698
44,-8.32067065,-8.02157615,2.65984657,2.1418688,2.84852119,3.22294744e-05,0.855053698
45,-8.32067065,-6.11983775,2.65984657,1.66160801,2.20981118,4.09590886e-05,0.855053698
