# ADR90 WP-A2 tau=0 band, build dee04dbe39117d16835f7caa52a6b71aab72f1ba (expected dee04dbe39117d16835f7caa52a6b71aab72f1ba), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res,guard_ctlf,substeps_tot,substeps_max,substeps_max_ele,substeps_ring_tot,substeps_ring_max,wall_step_s
2e-05,1e-05,1.33696317,-1.20170854,0.02,0,0.0830967426,0,0,0,0,0,0,0,844,39,90,300,39,0.0830967426
4e-05,2e-05,1.93914025,-1.88003218,0.02,0,0.153811455,0,0,0,0,0,0,0,732,17,90,234,17,0.0707147121
6e-05,3e-05,2.6178063,-2.5165304,0.02,0,0.204627037,0,0,0,0,0,0,0,664,15,90,196,15,0.0508155823
8e-05,4e-05,3.21582855,-3.14515235,0.02,0,0.28125906,0,0,0,0,0,0,0,756,17,90,212,17,0.0766320229
0.0001,5e-05,3.88870152,-3.7666035,0.02,0,0.335283041,0,0,0,0,0,0,0,744,14,90,186,14,0.0540239811
0.00012,6e-05,4.46345607,-4.37116671,0.04,0,0.402356625,0,0,0,0,0,0,0,880,19,90,238,19,0.0670735836
0.00016,8e-05,5.6528592,-5.56891443,0.04,0,0.505263805,0,0,0,0,0,0,0,1348,32,90,378,32,0.102907181
0.0002,0.0001,6.82429735,-6.73804855,0.04,0,0.613187551,0,0,0,0,0,0,0,1438,33,90,394,33,0.107923746
0.00024,0.00012,7.97445976,-7.88740989,0.04,0,0.723357201,0,0,0,0,0,0,0,1554,32,90,400,32,0.110169649
0.00028,0.00014,9.10639912,-9.01897022,0.04,0,0.834409714,0,0,0,0,0,0,0,1670,33,120,430,33,0.111052513
0.00032,0.00016,10.2197412,-10.130497,0.04,0,0.941867828,0,0,0,0,0,0,0,1702,33,90,423,33,0.107458115
0.00036,0.00018,11.3506722,-11.2287833,0.08,0,1.04978442,0,0,0,0,0,0,0,1749,33,90,444,33,0.107916594
0.00044,0.00022,13.4788105,-13.3808947,0.08,0,1.22997212,0,0,0,0,0,0,0,2994,65,90,867,65,0.180187702
0.00052,0.00026,15.5906693,-15.4841737,0.08,0,1.4118588,0,0,0,0,0,0,0,3142,64,90,898,64,0.181886673
0.0006,0.0003,17.633915,-17.5542356,0.08,0,1.63608074,0,0,0,0,0,0,0,3362,65,120,927,65,0.224221945
0.00068,0.00034,19.708832,-19.5837561,0.08,0,1.82820249,0,0,0,0,0,0,0,3416,62,120,938,62,0.192121744
0.00076,0.00038,21.710373,-21.5786361,0.08,0,2.02472544,0,0,0,0,0,0,0,3515,63,90,949,62,0.196522951
0.00084,0.00042,23.6809697,-23.5521698,0.16,0,2.22806358,0,0,0,0,0,0,0,3678,62,90,968,62,0.203338146
0.001,0.0005,27.4715551,-27.4321233,0.16,0,2.69021297,0,0,0,0,0,0,0,6638,120,120,1860,120,0.462149382
0.00116,0.00058,31.2411245,-31.2094051,0.16,0,3.16165233,0,0,0,0,0,0,0,6817,116,90,1890,115,0.471439362
0.00132,0.00066,34.9269994,-34.9252984,0.16,0,3.71944356,0,0,0,0,0,0,0,6993,115,120,1895,115,0.557791233
0.00148,0.00074,38.5933939,-38.5904457,0.16,0,4.26418924,0,0,0,0,0,0,0,7068,111,120,1903,111,0.544745684
0.00164,0.00082,42.1811087,-42.187122,0.16,0,4.89895701,0,0,0,0,0,0,0,7222,111,120,1920,111,0.634767771
0.0018,0.0009,45.7361201,-45.7456143,0.32,0,5.53440642,0,0,0,0,0,0,0,7233,108,120,1937,108,0.635449409
0.00212,0.00106,52.6941705,-52.7009105,0.32,0,7.06152892,0,0,0,0,0,0,0,13092,206,90,3700,205,1.5271225
0.00244,0.00122,59.5351107,-59.5416011,0.32,0,8.70162964,0,0,0,0,0,0,0,13091,199,90,3643,199,1.64010072
0.00276,0.00138,66.2626513,-66.2717175,0.32,0,10.3652606,0,0,0,0,0,0,0,13181,193,90,3697,193,1.66363096
0.00308,0.00154,72.9017546,-72.9071914,0.32,0,11.9945321,0,0,0,0,0,0,0,13227,188,90,3673,187,1.62927151
