# ADR90 WP-A2 tau=0 band, build 48c0e99bc8e28bbb4fdf965015f285f01e16e90d (expected 48c0e99bc8e28bbb4fdf965015f285f01e16e90d), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res,guard_ctlf,substeps_tot,substeps_max,substeps_max_ele,substeps_ring_tot,substeps_ring_max,wall_step_s
2e-05,1e-05,1.2808467,-1.20625946,0.02,0,0.105469704,0,0,0,0,0,0,0,840,39,90,310,39,0.105469704
4e-05,2e-05,1.97051502,-1.85820266,0.02,0,0.152994871,0,0,0,0,0,0,0,676,14,90,206,14,0.0475251675
6e-05,3e-05,2.61813492,-2.49929877,0.02,0,0.200327158,0,0,0,0,0,0,0,680,16,90,210,16,0.0473322868
8e-05,4e-05,3.20098682,-3.1316944,0.02,0,0.264050007,0,0,0,0,0,0,0,768,18,90,220,18,0.0637228489
0.0001,5e-05,3.82526157,-3.75083749,0.02,0,0.332177162,0,0,0,0,0,0,0,766,16,90,188,15,0.0681271553
0.00012,6e-05,4.44300045,-4.35997517,0.04,0,0.401367664,0,0,0,0,0,0,0,802,18,120,214,18,0.0691905022
0.00016,8e-05,5.64132887,-5.5566853,0.04,0,0.499634743,0,0,0,0,0,0,0,1360,32,90,381,32,0.0982670784
0.0002,0.0001,6.81293259,-6.72407953,0.04,0,0.602837563,0,0,0,0,0,0,0,1470,33,90,402,33,0.10320282
0.00024,0.00012,7.95588756,-7.87629708,0.04,0,0.702640295,0,0,0,0,0,0,0,1564,34,90,398,32,0.0998027325
0.00028,0.00014,9.08753411,-9.00661692,0.04,0,0.812894583,0,0,0,0,0,0,0,1678,34,120,452,34,0.110254288
0.00032,0.00016,10.2154534,-10.1187072,0.04,0,0.922817707,0,0,0,0,0,0,0,1712,33,90,431,33,0.109923124
0.00036,0.00018,11.3211254,-11.2166322,0.08,0,1.03748751,0,0,0,0,0,0,0,1753,34,120,440,34,0.1146698
0.00044,0.00022,13.4764698,-13.372158,0.08,0,1.2268455,0,0,0,0,0,0,0,3021,64,90,866,63,0.189357996
0.00052,0.00026,15.5400593,-15.4799595,0.08,0,1.45264482,0,0,0,0,0,0,0,3219,65,90,906,65,0.225799322
0.0006,0.0003,17.601624,-17.5497533,0.08,0,1.66632795,0,0,0,0,0,0,0,3289,64,90,924,64,0.213683128
0.00068,0.00034,19.6301638,-19.5808154,0.08,0,1.89740753,0,0,0,0,0,0,0,3490,64,90,945,62,0.231079578
