step,rc,settlement_m,footing_load_kN_per_m
1,0,0.002,422.66368161194623
2,0,0.004,892.8661111628219
3,0,0.006,1526.076181401585
4,0,0.008,2326.3656691547053
5,0,0.01,3297.3474802946116
6,0,0.012,4441.609485551836
7,0,0.014,5761.1843745319175
8,0,0.016,7257.54499159217
9,0,0.018000000000000002,8931.984803315161
10,0,0.020000000000000004,10785.491613336944
11,0,0.022000000000000006,12818.908441422764
12,0,0.024000000000000007,15032.941470507301
13,0,0.02600000000000001,17428.305906429996
14,0,0.02800000000000001,20005.31561180659
15,0,0.030000000000000013,22764.504302610956
