step,rc,settlement_m,footing_load_kN_per_m,fieldmd5
1,0,0.0005,-136.1953846153848,50123f365e98ac9526952b9970347316
2,0,0.001,-95.81076923076955,84b2b7c5b22431c4c35964c0d9a5e229
3,0,0.0015,-55.426153846154136,ff802399c28594704e0552779a16fda4
4,0,0.002,-15.041538461537844,99504cbfbd2eab0e2c1bedbb994c3aa7
5,0,0.0025,25.343076923077014,5fd987066f723b02c483514ef4cf1198
6,0,0.003,65.72769230769265,cd85f68a7906ba182256f64ed938e871
7,0,0.0035,106.1123076923077,5248bbec7f40e698c79933eda6dce048
8,0,0.004,146.4969230769241,5033ed0dcf530137fa4232c666a4d114
9,0,0.0045000000000000005,186.88153846153932,354bf6eddc9bb59112ff0272edf759bf
10,0,0.005000000000000001,227.26615384615482,7c1039984982883be7aaf6aa36e609a2
11,0,0.005500000000000001,267.6507692307698,99932036b754c37071932f9e73929331
12,0,0.006000000000000002,308.03538461538466,e31b310ecf635dedf235002bf629cacf
