element,gp,x_m,y_m,p_kPa,eta,eta_over_Mb_compression,e,psi,sigma_0,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_in_0,alpha_in_1,alpha_in_2,alpha_in_3,alpha_in_4,alpha_in_5,z_0,z_1,z_2,z_3,z_4,z_5
5448,3,0.8906,-0.0469,3.06402,1.93205,0.922284,0.6947911,-0.129608,0.8188323771,6.575823125,1.797409903,-1.480723963,0,0,-0.7305020537,1.142891116,-0.4123890619,-0.4831510459,0,0,-0.3724729793,0.8121623613,-0.439689382,-0.4075248322,0,0,0.1823039835,-1.066652,0.8843480165,0.9576447025,0,0
5423,2,0.7969,-0.1406,0.277006,1.93538,0.920989,0.6975994,-0.130502,0.2422318406,0.4273240028,0.1614628612,-0.2778993821,0,0,-0.125442985,0.5414887169,-0.4160457319,-1.000563098,0,0,-0.1522045886,0.4772039802,-0.3249993917,-0.4852823867,0,0,0.1733091062,-2.944961687,2.771652581,7.075217197,0,0
5424,2,0.7969,-0.0469,0.187974,1.92169,0.91094,0.69679638,-0.131609,0.01524027972,0.4132756547,0.1354048886,-0.04259765137,0,0,-0.9171307727,1.195698053,-0.2785672798,-0.2252125719,0,0,0,0,0,0,0,0,-0.9766027317,-1.386561507,2.363451275,6.123524954,0,0
5423,4,0.7969,-0.1406,7.53681,1.86212,0.906514,0.6975994,-0.124003,5.929835022,12.10819255,4.572404403,-7.037164936,0,0,-0.2124233116,0.6046641125,-0.392240801,-0.9313244727,0,0,-0.2497601765,0.5016885678,-0.2519283913,-0.6294900789,0,0,0.3160890152,-3.074704498,2.760141019,7.025931986,0,0
5423,1,0.7969,-0.1406,2.4061,1.87962,0.904292,0.6975994,-0.127377,1.826156636,3.959130551,1.433011609,-2.229415262,0,0,-0.2405810971,0.6439079984,-0.4033269013,-0.9240321841,0,0,-0.4412118512,0.7816472407,-0.3404353895,-0.5403204794,0,0,0.3076365467,-3.027352697,2.719715643,6.829273005,0,0
5448,4,0.8906,-0.0469,5.53306,1.85308,0.889886,0.6947911,-0.127902,1.103196867,12.24873901,3.247233708,-0.2611337444,0,0,-0.7987189609,1.210835003,-0.4121160416,-0.04854139777,0,0,-0.2900659475,0.7331846628,-0.4431187153,-0.4086034626,0,0,-0.2115513068,-0.8564281809,1.067979488,0.603051634,0,0
5472,4,0.9844,-0.0469,4.40365,1.83457,0.877669,0.69442399,-0.128982,0.9301439852,9.684042692,2.596762793,-0.3863680403,0,0,-0.7867694662,1.195946246,-0.4091767801,-0.08858056984,0,0,-0.7094584583,1.11654645,-0.4070879916,-0.189308246,0,0,0.4997691775,-0.7790752549,0.2793060774,-0.01205339899,0,0
5448,1,0.8906,-0.0469,5.39881,1.80887,0.868409,0.6947911,-0.127982,1.323465372,11.71691033,3.156046557,1.005654756,0,0,-0.7537423251,1.168194209,-0.4144518843,0.1840212811,0,0,-0.7741186776,1.197257596,-0.4231389186,-0.00291489447,0,0,-0.8446184822,-0.2031330906,1.047751573,0.9923341507,0,0
4944,1,-1.0781,-0.0469,4.21832,1.78518,0.853517,0.69437436,-0.129158,1.170361818,9.075309202,2.409279106,-0.9088855988,0,0,-0.7231362691,1.15105093,-0.4279146605,-0.2126940314,0,0,-0.5392541655,0.9656587163,-0.4264045508,0.1421630141,0,0,0.02093705435,-0.1299668912,0.1090298369,-0.07326685824,0,0
5472,1,0.9844,-0.0469,3.93014,1.73575,0.829441,0.69442399,-0.129311,1.329956785,8.179866458,2.280590771,1.31947217,0,0,-0.6599742933,1.078542088,-0.418567795,0.3341513144,0,0,-0.6487340201,1.061172219,-0.4124382031,0.2057272347,0,0,0.004514837051,-0.2857514231,0.2812365859,-0.1942415426,0,0
