# build=c162833edc6059a2e5122e3a8e8dfb0a46a3e9f3 driver=Tries/response-curve-matrix/model/harness/drive.py cell=D-L scale=coarse date=2026-09-07 push_driver=sp-loadcontrol
# ONE ROW PER COMMITTED STEP WHOSE `implex_err_max` EXCEEDED THE THRESHOLD, naming THE POINT THAT HELD THE MAXIMUM.  The threshold is 0.01, or the declared `-implexControl` tolerance if that is smaller, so every row the control could have refused is here whatever the tolerance was.  `curve.csv` carries the maximum on every row; this file carries WHERE it was and what the point looked like.  The columns are the argmax point's own: the six `implexDetail` slots, its mean stress, its `substeps` pair, its committed stress 6-vector and the packed `state` (ManzariDafalias::getState, 26 slots: epsE, alpha, z fabric, alpha_in, e, dgamma)
# THIS IS NOT THE ZERO-INCREMENT CENSUS.  These rows are read at the commit of a step that was actually TAKEN, so the error on them mixes the extrapolation over a real strain increment with whatever inconsistency the committed state already carried.  The census files separate the two by taking a step of nothing
step,s_over_B,ds_m,implex_err_max,ele,gp,x,y,z,err,err_dev,err_vol,clamp_fired,clamp_count,f,p_kPa,substeps,substep_cap_hit,sig11,sig22,sig33,sig12,sig23,sig13,epsE_1,epsE_2,epsE_3,epsE_4,epsE_5,epsE_6,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,z_1,z_2,z_3,z_4,z_5,z_6,alpha_in_1,alpha_in_2,alpha_in_3,alpha_in_4,alpha_in_5,alpha_in_6,e_void,dgamma
1,3.33333333333e-05,5e-05,0.0693666622069,4094,6,0.894337567297,1.1056624327,-0.105662432703,0.0693666622069,0.0693310475637,0.00222253671151,0,0,1,-5.99655500967,1,0,-4.81740983433,-4.22804321907,-8.94421197561,0.206661764537,-2.08050036394,-0.179661902958,-3.9076950173e-06,5.72829427097e-06,4.10604127337e-05,3.15142114963e-06,-3.51907914633e-05,-4.79970214847e-07,-0.166006279479,-0.252489529301,0.41849580878,-0.0298833948401,0.295164927857,0.0256064912423,0,0,0,0,0,0,-0.0929873327296,-0.299448202395,0.392435535125,-0.0569967429138,0.588591228227,0.0399012636014,0.627030730477,0
2,6.66666666667e-05,5e-05,0.0599586388581,4095,5,1.1056624327,1.1056624327,-0.105662432703,0.0599586388581,0.0599107503529,0.00239590606362,0,0,1,-7.3254132674,55,0,-5.32024094829,-5.3202396111,-11.3357592428,0.127594874324,-1.18399238154,-1.1839906853,-8.65466594158e-07,-8.65466610231e-07,5.13076955617e-05,9.38827447255e-06,-4.13289217934e-05,-4.13289273771e-05,-0.239883888229,-0.239884049297,0.479767937526,-0.0158905740728,0.143862900784,0.143862696922,4.0695600312e-05,4.06955672431e-05,-8.13911675552e-05,1.5133604729e-05,-5.32811880941e-05,-5.32811241312e-05,-0.229405400952,-0.229405585117,0.458810986069,-0.0327379246588,0.220571807811,0.22057157525,0.627019221082,3.2207042017e-07
3,8.33333333333e-05,2.5e-05,0.0563741294469,4071,2,1.3943375673,0.894337567297,-0.105662432703,0.0563741294469,0.056355511264,0.00144873084737,0,0,0.5,-7.17697148704,33,0,-4.73953968959,-4.98755886316,-11.8038159084,0.119148746645,-0.0327655250284,-0.527597986962,1.85265966482e-05,4.83259427565e-06,4.21381244992e-05,5.53237549528e-06,-3.19024645449e-06,-8.46655668448e-05,-0.298634694959,-0.266503911461,0.56513860642,-0.0147114874266,0.00392839124346,0.0671748653294,0.000126187076506,5.9293390198e-05,-0.000185480466704,1.83787962457e-05,3.61307108075e-07,-0.000107548452474,-0.363494691018,-0.275001737109,0.638496428127,-0.0271503005866,0.011983392556,0.274573764929,0.62699365312,2.59196344045e-07
4,0.0001,2.5e-05,0.0165887937507,4093,1,0.105662432703,1.3943375673,-0.105662432703,0.0165887937507,0.0165878953975,0.000172639462917,0,0,1,-7.36723996001,31,0,-5.10644335489,-4.88050404145,-12.1147724837,-0.0170481158098,-0.400650160021,-0.076675841809,4.49305718771e-06,1.83842081628e-05,4.41692332553e-05,1.06787450129e-06,-7.97911201532e-05,-1.42766089607e-07,-0.269034555496,-0.297365891433,0.566400446929,0.00206593908072,0.0506155039517,0.00926567216072,9.88942241363e-05,0.000165595750862,-0.000264489974998,-4.19535320672e-06,-0.000145777600342,-8.51004663929e-06,-0.278967284864,-0.367938287803,0.646905572667,0.000141825904568,0.25498001559,0.0117179770879,0.626990841405,1.26918484599e-07
5,0.000116666666667,2.5e-05,0.0474988530408,4095,5,1.1056624327,1.1056624327,-0.105662432703,0.0474988530408,0.0474807064538,0.00131284227329,0,0,1,-7.77788226245,39,0,-5.57302952518,-5.57302827665,-12.1875889855,-0.0222469507685,-0.639771399775,-0.63976982476,-2.31546233762e-06,-2.31546053223e-06,6.2114896054e-05,1.55192827496e-05,-6.3618459922e-05,-6.36184605568e-05,-0.250286211708,-0.250286353956,0.500572565664,0.00185491597281,0.0746395528125,0.0746393728601,4.0695600312e-05,4.06955672431e-05,-8.13911675552e-05,1.5133604729e-05,-5.32811880941e-05,-5.32811241312e-05,-0.229405400952,-0.229405585117,0.458810986069,-0.0327379246588,0.220571807811,0.22057157525,0.627005368556,2.64723020244e-07
6,0.000133333333333,2.5e-05,0.028659336119,4047,2,1.3943375673,0.394337567297,-0.105662432703,0.028659336119,0.0286582995172,0.000243753086164,0,0,1,-7.93074495911,41,0,-5.52405659146,-5.3998073363,-12.8683709496,0.083305408969,0.0159077627736,-0.108408199775,2.39970831374e-05,1.7599842989e-06,5.11341950496e-05,4.25222244949e-07,1.08112097743e-06,-9.53427711096e-05,-0.269796706582,-0.282304784839,0.552101491422,-0.00935112204555,-0.00178654295398,0.0149235395532,0.000163911422224,0.00010575223638,-0.000269663658604,4.18719507611e-06,-8.02940165526e-06,-0.000158507497284,-0.371348029633,-0.277423152372,0.648771182005,-0.0110839932381,-0.00475506406443,0.266031006975,0.626973809694,2.66278439671e-07
7,0.00015,2.5e-05,0.0125090636475,4047,2,1.3943375673,0.394337567297,-0.105662432703,0.0125090636475,0.0125017277136,0.000428342749759,0,0,1,-8.07750493762,44,0,-5.69529129499,-5.48999142373,-13.0472320941,0.0823865778009,0.0168104654624,0.113725810873,2.53106990921e-05,1.46782278197e-06,5.25989063048e-05,4.61630071588e-07,1.04535222672e-06,-0.000104144623758,-0.262437497018,-0.283959479573,0.54639697659,-0.00910517569801,-0.00186611120953,-0.00970839344227,0.000163911422224,0.00010575223638,-0.000269663658604,4.18719507611e-06,-8.02940165526e-06,-0.000158507497284,-0.371348029633,-0.277423152372,0.648771182005,-0.0110839932381,-0.00475506406443,0.266031006975,0.62696935815,6.08618405187e-08
103,0.0051,0.0001,0.0384976198307,4115,2,-0.605662432703,1.8943375673,-0.105662432703,0.0384976198307,0.0384825943027,0.00107548517568,0,0,1,-3.37776014619,22,0,-1.56256030925,-4.50414334014,-4.0665767892,0.174000176857,-0.294942019788,-0.237005537254,-1.5381508764e-05,4.67224774565e-05,-8.59399395071e-05,-3.31869084823e-06,-9.0079600904e-06,1.71040072585e-05,-0.413526509467,0.255197516955,0.158328992512,-0.0397429381708,0.0696553534125,0.0534401078281,2.38922908858e-07,-2.09617784665e-08,-2.17961130391e-07,6.57358958539e-08,-1.84335399913e-07,-5.98352881715e-08,-0.270706628078,-0.247510106577,0.518216734656,-0.0138090645769,0.0145507337632,-0.00724336930859,0.627182959253,3.37529916791e-07
104,0.00516666666667,0.0001,0.0394500145297,4065,8,-1.6056624327,0.605662432703,-0.394337567297,0.0394500145297,0.039404929035,0.00188552754774,0,0,1,-4.08143386535,40,0,-8.1065754386,-1.88838631221,-2.24933984525,1.01245647835,0.326937916765,-0.700527495495,0.000132597525821,-2.44877962384e-05,-0.00014534976255,-4.84253250267e-05,-2.41350355513e-05,4.70080138978e-05,0.788085635281,-0.429804248521,-0.35828138676,-0.198528248609,-0.0639584459895,0.13573769211,-0.179412656493,0.0683822022564,0.111030454236,0.03581218707,0.0161673547632,-0.0397887706859,0.718627873751,-0.431606603752,-0.287021269998,-0.195423224744,-0.0426974341331,0.0741874934148,0.627177654039,1.2394944168e-07
105,0.00523333333333,0.0001,0.0262750905309,4090,1,-1.3943375673,1.3943375673,-0.105662432703,0.0262750905309,0.026275030523,5.61553475398e-05,0,0,1,-17.2136191374,17,0,-14.9934013472,-14.9958669624,-21.6515891025,3.43156454609,7.40260004925,-7.40185752349,4.92743883428e-05,4.930824841e-05,8.93222002284e-05,-0.000108567927487,-0.000250834186806,0.000250816614012,-0.123072366813,-0.123083658671,0.246156025485,-0.187588920045,-0.405055651863,0.405024095857,0.00254524071586,0.00254782221083,-0.00509306292668,0.0451331278681,0.105986742181,-0.105984494965,-0.290633795034,-0.290633839145,0.581267634179,-0.0249509893426,0.0285897910491,-0.028589708785,0.626818544491,1.69051088844e-06
