# build=c162833edc6059a2e5122e3a8e8dfb0a46a3e9f3 driver=Tries/response-curve-matrix/model/harness/drive.py cell=D-L scale=coarse date=2026-09-07 k=1.000000e-02 rate=None path=static
# push driver: sp-loadcontrol — the fork's own idiom (`Ladruno_files/testbed/hypo_bearing/bearing_backbone.py`, `sanisand_tau0_band.py`): `loadConst -time uz0` at the S4 settlement datum, a `Linear` series, `sp <platen node> 3 1.0`, and `integrator LoadControl -ds` a step on the SP platen.  PSEUDO-TIME IS THE SETTLEMENT, so `ops_Dt` is d(s) — positive, monotone, and smaller under subdivision rather than turned round — which is the clock ADR 92 D2's default `-implexDt pseudo` is correct on, and which leaves the D2 sign-change guard live as a limit-point detector.
# `time` on this curve is PSEUDO-TIME AND PSEUDO-TIME IS THE SETTLEMENT: it is a metre, it starts at the S4 datum uz0 and it walks down by ds a step, so s_m = uz0 - time exactly.  It is NOT a load factor and NOT a second.  `Q_check_kN` is the summed PLATEN reaction, not `getTime()`; `Q_kN` is the base-reaction difference and is unchanged in meaning from every other leg
# integrator: newton   ladder=strict   element=LadrunoBrick   rungs=Newton:25:x1.0|NewtonLineSearch:40:x1.0   `relaxed` is the index of the rung that carried the step
# tangent: TanType 2 -- 2 = mCep_Consistent, the CONSISTENT (algorithmic) tangent -- unsymmetric under non-associated flow, which is why `system Pardiso` at its default unsymmetric mtype 11 is the declared solver
# test: NormUnbalance declared 1e-05, absolute 5.997400e-02 -- RELATIVE to the model's own weight: 1e-05 x W_ref = 5.997400e-02 kN, with W_ref = 5997.4000 kN (gamma' * V on the ndf-3 twin + surcharge 700.0000 kN).  The same relative number is the same physical requirement on every mesh of the refinement sequence, which is the whole reason it is declared this way (ADR 90 section 1.2.2)
# stress update: IMPL-EX (`-implex` -implexControl 0.1 0.01 -maxSubsteps 20000).  Every global iteration sees a LINEAR EXTRAPOLATION from the last committed step; the true substepped return runs ONCE, at commitState, and the committed state is always the implicit one.  dt source: `pseudo` (the fork's default, ADR 92 D2)
# READ THIS BEFORE QUOTING A LIMIT POINT off this curve: it satisfies equilibrium with the EXTRAPOLATED stress, not the implicit one, so a peak, plateau or capacity here IS NOT EVIDENCE ON ITS OWN.  Confirm it on the implicit material, over the OVERLAP ONLY (two arms disagreeing past where the implicit run reaches proves nothing either way), and quote `implex_err_max` beside the verdict.  IMPL-EX is a REGULARIZER whose parameter is the STEP SIZE and which carries NO LENGTH, so no band width and no post-peak branch off this curve is mesh-independent (guide sect. 8 and What it does not do)
# implex_err_max = max |implexError| over EVERY SANISAND Gauss point at that row's commit -- a true max, not a sample, because the point about to be wrong is the one under the footing edge
# residual pressure: -Presidual 1.01 kPa on EVERY `LadrunoSANISAND` tag of this leg -- THE VANILLA TWIN: 1.01 kPa is vanilla `ManzariDafalias`'s own hardcoded 1.0e-2 * P_atm (ManzariDafalias.cpp:836), measured bit-identical to vanilla over 400 rows at G1, so this is vanilla's soil reached through the class that carries `-implex`.  -Pmin 0.0101 kPa
# subdivision budget: 60 failed attempts, CUMULATIVE over the whole push and never repaid on a success; ds halves on each and regrows to ds_max after 6 successes, ds_min 1.95e-07 m
# ladder strict: the sheet's KrylovNewton rung at TEN TIMES the declared tolerance is DROPPED, so no state on this curve was committed at a tolerance the leg did not declare.  `relaxed` can only be 0 or 1 here; on a full-ladder curve it can be 2
# element: the DRAINED ndf-3 `LadrunoBrick` TWIN — the same mesh, the same material and the same footing with the pressure DOF REMOVED and the buoyant unit weight applied directly as -b 0 0 -9.81 (a FORCE PER UNIT VOLUME).  `p_min_kPa` is NaN on every row BY CONSTRUCTION; the cavitation detector and the far-field pore-pressure gate are SKIPPED with a reason, and the base-reaction gate is recomputed at gamma'*V
# ring point: element tag 4047 at centroid (+1.250, +0.250, -0.250) m, Gauss point 5 of 8 at (+1.1057, +0.1057, -0.1057) m.  top element row (max centroid z), first centroid outboard of the measured footprint x_max, smallest y; Gauss point nearest small x, small y, large z.  S8g: the band is one element wide in the row that owns the free surface and its peak sits at the first element wholly outside the loaded region
# ring_clamp_fired = implexDetail[3], the p_min clamp inside the EXTRAPOLATED update on this step at that one point; ring_clamp_count = implexDetail[4], the same clamp's cumulative count; ring_ref_* = the four implexRefusals slots (total, D2 pseudo-time sign change, past -implexControl, companion hit -maxSubsteps).  THE LEDGER IS PROCESS-WIDE and the clamp census is ONE POINT: a rise in the ledger on a step where this clamp fired is evidence about this point, and a rise on a step where it did not is evidence that the refusal was somewhere else
step,time,s_m,s_over_B,Q_kN,k_norm,k_norm_firststep,Q_check_kN,Rz_base_kN,p_min_kPa,ds_m,relaxed,cum_iter,wall_s,implex_err_max,ring_clamp_fired,ring_clamp_count,ring_ref_total,ring_ref_sign_change,ring_ref_control,ring_ref_companion
1,-0.00106019404,5e-05,3.33333333e-05,6.54212547,nan,nan,6.54212547,6003.94213,nan,5e-05,0,1,1.24670291,0.0693666622,0,0,0,0,0,0
2,-0.00111019404,0.0001,6.66666667e-05,13.3244898,nan,nan,13.3244898,6010.72449,nan,5e-05,0,3,4.33644104,0.0599586389,0,0,0,0,0,0
3,-0.00113519404,0.000125,8.33333333e-05,15.4350488,nan,nan,15.4350488,6012.83505,nan,2.5e-05,0,7,7.17773819,0.0563741294,0,0,8,0,8,0
4,-0.00116019404,0.00015,0.0001,17.4177839,nan,nan,17.4177839,6014.81778,nan,2.5e-05,0,9,8.64406729,0.0165887938,0,0,8,0,8,0
5,-0.00118519404,0.000175,0.000116666667,20.7720587,nan,nan,20.7720587,6018.17206,nan,2.5e-05,0,11,11.5460777,0.047498853,0,0,8,0,8,0
6,-0.00121019404,0.0002,0.000133333333,22.8377998,nan,nan,22.8377998,6020.2378,nan,2.5e-05,0,13,13.0677481,0.0286593361,0,0,8,0,8,0
7,-0.00123519404,0.000225,0.00015,24.780522,nan,nan,24.780522,6022.18052,nan,2.5e-05,0,15,14.5988958,0.0125090636,0,0,8,0,8,0
8,-0.00126019404,0.00025,0.000166666667,26.8733509,1.85033744,0.910107216,26.8733509,6024.27335,nan,2.5e-05,0,17,16.1624944,0.00357587715,0,0,8,0,8,0
9,-0.00131019404,0.0003,0.0002,31.3218268,1.79231219,0.881566908,31.3218268,6028.72183,nan,5e-05,0,19,18.0015368,0.00904906429,0,0,8,0,8,0
10,-0.00136019404,0.00035,0.000233333333,35.8363375,1.75342278,0.862438759,35.8363384,6033.23634,nan,5e-05,0,21,19.8675876,0.00933712355,0,0,8,0,8,0
11,-0.00141019404,0.0004,0.000266666667,40.257228,1.72629423,0.849095309,40.2572687,6037.65723,nan,5e-05,0,23,21.7336116,0.00661838053,0,0,8,0,8,0
12,-0.00146019404,0.00045,0.0003,44.5701162,1.70490672,0.838575644,44.570261,6041.97012,nan,5e-05,0,25,23.6490779,0.00361569076,0,0,8,0,8,0
13,-0.00151019404,0.0005,0.000333333333,48.7914715,1.68649764,0.82952095,48.7918141,6046.19147,nan,5e-05,0,27,25.5547922,0.00341906015,0,0,8,0,8,0
14,-0.00156019404,0.00055,0.000366666667,52.9365197,1.66988272,0.821348735,52.937069,6050.33652,nan,5e-05,0,29,27.4801075,0.00326384028,0,0,8,0,8,0
15,-0.00161019404,0.0006,0.0004,57.0137742,1.65448912,0.813777233,57.01451,6054.41377,nan,5e-05,0,33,31.4192724,0.00271818954,0,0,44,0,44,0
16,-0.00166019404,0.00065,0.000433333333,61.0336114,1.64006088,0.806680562,61.0345013,6058.43361,nan,5e-05,0,35,33.3766069,0.00202548145,0,0,44,0,44,0
17,-0.00171019404,0.0007,0.000466666667,65.0072712,1.62649951,0.800010261,65.0082924,6062.40727,nan,5e-05,0,37,35.4244378,0.00149713664,0,0,44,0,44,0
18,-0.00176019404,0.00075,0.0005,68.9428171,1.61375188,0.793740209,68.9439476,6066.34282,nan,5e-05,0,39,37.4430895,0.000975154045,0,0,44,0,44,0
19,-0.00181019404,0.0008,0.000533333333,72.8487266,1.60179353,0.787858375,72.8499487,6070.24873,nan,5e-05,0,41,39.4839067,0.000905181748,0,0,44,0,44,0
20,-0.00186019404,0.00085,0.000566666667,76.7305273,1.59059582,0.782350667,76.7318274,6074.13053,nan,5e-05,0,43,41.5044405,0.000948155339,0,0,44,0,44,0
21,-0.00191019404,0.0009,0.0006,80.5931668,1.58012795,0.777201938,80.5945333,6077.99317,nan,5e-05,0,47,45.4545047,0.000911544603,0,0,104,0,104,0
22,-0.00196019404,0.00095,0.000633333333,84.4373245,1.57033805,0.772386681,84.4387405,6081.83732,nan,5e-05,0,49,47.561831,0.000851247373,0,0,104,0,104,0
23,-0.00201019404,0.001,0.000666666667,88.2648717,1.56117355,0.767879028,88.2663251,6085.66487,nan,5e-05,0,51,49.7194901,0.000761462255,0,0,104,0,104,0
24,-0.00206019404,0.00105,0.0007,92.0756291,1.55257601,0.763650241,92.0771069,6089.47563,nan,5e-05,0,53,51.7279534,0.000734360204,0,0,104,0,104,0
25,-0.00211019404,0.0011,0.000733333333,95.8716737,1.54449646,0.759676229,95.8731768,6093.27167,nan,5e-05,0,55,53.7489345,0.000711072193,0,0,104,0,104,0
26,-0.00216019404,0.00115,0.000766666667,99.6514037,1.5368803,0.755930145,99.6529168,6097.0514,nan,5e-05,0,57,55.7658446,0.000702436695,0,0,104,0,104,0
27,-0.00221019404,0.0012,0.0008,103.416492,1.52968355,0.752390349,103.418018,6100.81649,nan,5e-05,0,61,59.8071823,0.000756002557,0,0,140,0,140,0
