# build=c162833edc6059a2e5122e3a8e8dfb0a46a3e9f3 driver=Tries/response-curve-matrix/model/harness/drive.py cell=D-L scale=coarse date=2026-09-07 push_driver=sp-loadcontrol
# ONE ELEMENT, ONE GAUSS POINT, EVERY COMMITTED STEP.  Element tag 4047 (index 4046, material tag 1) at centroid (+1.2500, +0.2500, -0.2500) m; Gauss point 5 of 8, ONE-BASED, natural (+0.577350, -0.577350, -0.577350), physical (+1.1057, +0.1057, -0.1057) m
# how it was chosen: top element row (max centroid z), first centroid outboard of the measured footprint x_max, smallest y; Gauss point nearest small x, small y, large z.  S8g: the band is one element wide in the row that owns the free surface and its peak sits at the first element wholly outside the loaded region
# the point number is `count = 4i + 2j + k + 1` over the 2x2x2 loop of LadrunoBrick.cpp:667 with sg = -+1/sqrt(3) (LadrunoBrick.cpp:86-87), and the physical position is the trilinear map of the connectivity S0 handed to `ops.element` unpermuted, with shp3d's node corners (SRC/element/brick/shp3d.cpp:50-103).  It is COMPUTED, not assumed: apeGmsh's hex order puts nodes 0-3 on the x_min face, so the natural axes do not line up with x, y, z
# sig*/eps* are the COMMITTED 6-vectors at that Gauss point, read through `eleResponse(tag, 'material', N, 'stress'|'strain')` — `LadrunoBrick::setResponse`'s `material` branch forwards to the point's own `ManzariDafalias::setResponse`, so this is a PER-GAUSS-POINT read and NOT an element average (the element's own `stress` response returns all 8 points, 48 numbers, and is not an average either)
# THE ERROR SPLIT IS RECONSTRUCTED HERE, NOT EXPOSED BY THE MATERIAL.  `implexDetail` carries only the three RATIOS: implex_err = ||sigma~ - sigma_impl|| / den, implex_err_dev and implex_err_vol the two legs of the exact identity ||d_sigma||^2 = ||d_dev||^2 + 3(dp)^2 over the same den.  There is no slot for the numerator, for den, or for sigma~ beside sigma_impl (confirmed by the ADR 92 author, 2026-09-07).  den = ||sigma_impl||_contr + P_atm*||eps||_contr in the DOUBLED-SHEAR contravariant norm on BOTH terms (LadrunoSANISAND.cpp:1533-1555), with eps the NEW committed strain measured after the base commit (:2014) — which is exactly the sig*/eps* on this row.  So numerator = implex_err * den, offline and exact
# P_atm and p_min AS USED are in run.json's `declared.material_as_used`; nothing here retypes them
# THE INTERNAL STATE IS ON THE ROW TOO (S23).  `substeps` is `LadrunoSANISAND`'s own (`substeps`/`substepsME`, 2 slots: the ModifiedEuler substep count of the LAST return at this point, and whether it hit `-maxSubsteps`).  The rest is the packed `state` response of `ManzariDafalias::getState()` (ManzariDafalias.cpp:951-960), 26 slots, unpacked here as epsE_1..6 (elastic strain), alpha_1..6 (back-stress ratio), z_1..6 (fabric), alpha_in_1..6 (the ratio at the last reversal, COMMITTED) and e_void, dgamma.  THE VOID RATIO HAS NO RESPONSE OF ITS OWN — `voidRatio` is a PARAMETER, not a response — so `state` is the only route to it; where `state` is absent, e_void is NaN and is recoverable offline from e_init and the volumetric strain, both of which are on this row and in run.json
# columns absent on this build are NaN and are never inferred; available at S4: detail, refusals, stress, strain, substeps, state
step,s_over_B,implex_err,implex_err_dev,implex_err_vol,clamp_fired,clamp_count,implex_f,ref_total,ref_sign_change,ref_control,ref_companion,sig11,sig22,sig33,sig12,sig23,sig13,eps11,eps22,eps33,eps12,eps23,eps13,substeps,substep_cap_hit,epsE_1,epsE_2,epsE_3,epsE_4,epsE_5,epsE_6,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,z_1,z_2,z_3,z_4,z_5,z_6,alpha_in_1,alpha_in_2,alpha_in_3,alpha_in_4,alpha_in_5,alpha_in_6,e_void,dgamma
320,0.0173916667,1.98982721593e-05,1.98903508451e-05,5.61407325573e-07,0,0,1,241,0,241,0,-269.877626202,-95.1298250041,-300.410239982,0.452028195252,-2.1334274778,258.007115848,-0.000387793591131,0.00167795231553,-0.00200553637977,-2.48143109748e-06,-0.000145241866297,0.0188299264756,1,0,0.00064680669077,-0.000400725736644,0.00098702981057,-6.43567893484e-06,2.80253503478e-05,-0.00326570089977,0.213418166402,-0.567368421354,0.353950254952,-0.00214603772384,0.00949138151904,-1.15587772278,-0.705183184353,1.63838728228,-0.933204097925,0.00856670251285,-0.0228660728898,3.55222049826,-0.0771169978604,-0.461463064056,0.538580061916,-0.00272942469184,0.00754164047752,-0.790500175078,0.625936009017,1.65603760437e-06
321,0.0174083333,3.40345680712e-05,3.40269220798e-05,7.21385867838e-07,0,0,2,241,0,241,0,-271.293283552,-95.6118512687,-301.842239456,0.445490007469,-2.14319966444,259.274751915,-0.000391776751149,0.00167938539692,-0.00200638441039,-2.87495214131e-06,-0.000145795066371,0.0188431456113,1,0,0.000649137257845,-0.000401892807023,0.000989421599714,-6.38669125472e-06,2.80985689168e-05,-0.00327519872274,0.213704919101,-0.567357634988,0.353652715887,-0.00212442432208,0.00950063120256,-1.15580793997,-0.706301249798,1.63871733714,-0.932416087344,0.00849275395475,-0.0229051199009,3.55269000403,-0.0771169978604,-0.461463064056,0.538580061916,-0.00272942469184,0.00754164047752,-0.790500175078,0.625930479953,3.35934735439e-06
322,0.017425,5.52926849011e-05,5.49857236082e-05,5.81817865453e-06,0,0,1,241,0,241,0,-272.67927833,-96.091361537,-303.25607815,0.439037386555,-2.15193999758,260.531855164,-0.000395694137142,0.00168084800512,-0.00200725924605,-3.30097801874e-06,-0.000146318694076,0.0188563597136,1,0,0.000651396001563,-0.000403021537551,0.000991784394349,-6.33846519699e-06,2.81638930411e-05,-0.00328459415053,0.213990383648,-0.567351476626,0.353361092979,-0.00209954660689,0.0095078227209,-1.15574232118,-0.707441989655,1.6390755425,-0.931633552846,0.00840515388595,-0.0229378058999,3.55319218805,-0.0771169978604,-0.461463064056,0.538580061916,-0.00272942469184,0.00754164047752,-0.790500175078,0.625925062339,3.39054352675e-06
323,0.0174416667,5.14499450841e-05,5.10443863909e-05,6.44728370241e-06,0,0,1,241,0,241,0,-274.033386754,-96.546541912,-304.662383106,0.430050040094,-2.16160150374,261.769572039,-0.000399534317192,0.00168233144172,-0.00200814916594,-3.75992783221e-06,-0.000146820320684,0.0188695528488,3,0,0.000653586999215,-0.000404181569939,0.000994169970589,-6.27145901551e-06,2.82359254967e-05,-0.00329382208916,0.214273485824,-0.567343641025,0.353070155201,-0.00207272135655,0.00951306514027,-1.15568058992,-0.708605249273,1.63944327525,-0.930838025976,0.00830836980717,-0.022964373203,3.55373389562,-0.0771169978604,-0.461463064056,0.538580061916,-0.00272942469184,0.00754164047752,-0.790500175078,0.625919779693,1.22706799641e-06
324,0.0174583333,9.24985903115e-05,9.19561782675e-05,1.00025240837e-05,0,0,1,241,0,241,0,-275.367562634,-97.0132826624,-306.02914679,0.425245070837,-2.17059496296,262.99034392,-0.000403316121777,0.00168382741133,-0.00200904067054,-4.23088336836e-06,-0.000147313826991,0.0188827618247,1,0,0.000655741112857,-0.000405253378145,0.000996445275665,-6.23572042302e-06,2.83028174073e-05,-0.00330290199507,0.214550211386,-0.56734264211,0.352792430724,-0.00204297551936,0.00951695934597,-1.1556275563,-0.709792018041,1.63985763445,-0.930065616408,0.00819662189536,-0.0229869683381,3.55434098596,-0.0771169978604,-0.461463064056,0.538580061916,-0.00272942469184,0.00754164047752,-0.790500175078,0.625914609844,3.51597894559e-06
325,0.017475,6.24353431958e-05,6.21496882642e-05,5.96559541398e-06,0,0,1,241,0,241,0,-276.685993118,-97.4517043937,-307.407033183,0.419190144717,-2.18107597859,264.199287387,-0.000407036235729,0.0016853407927,-0.00200996238207,-4.70726367044e-06,-0.000147808108415,0.0188960169715,3,0,0.000657860901204,-0.000406398622483,0.000998785658963,-6.19079011607e-06,2.83805913124e-05,-0.0033118729057,0.214822744297,-0.567336622108,0.352513877811,-0.00201342522279,0.0095203008892,-1.15557838656,-0.710994151258,1.64026855442,-0.929274403164,0.00808310761002,-0.0230081428551,3.5549903253,-0.0771169978604,-0.461463064056,0.538580061916,-0.00272942469184,0.00754164047752,-0.790500175078,0.625909519553,1.62659101688e-06
326,0.0174916667,7.33251255248e-05,7.30292573098e-05,6.58039588541e-06,0,0,1,241,0,241,0,-278.007108888,-97.912176475,-308.755774228,0.414759917196,-2.18975622337,265.404747644,-0.000410736075611,0.00168684894825,-0.00201087998937,-5.20119808338e-06,-0.000148297479166,0.0189093211851,1,0,0.000659989639381,-0.000407455716274,0.00100101665721,-6.15799150117e-06,2.84448543789e-05,-0.00332079737438,0.215088192844,-0.567336487263,0.352248294419,-0.00198252799353,0.00952333502537,-1.15553605428,-0.712201388831,1.64071601654,-0.928514627713,0.0079610909452,-0.0230287139494,3.55568797178,-0.0771169978604,-0.461463064056,0.538580061916,-0.00272942469184,0.00754164047752,-0.790500175078,0.625904460424,3.61832196741e-06
327,0.017525,6.7977738644e-05,6.76950805227e-05,6.19265889403e-06,0,0,2,241,0,241,0,-280.652351528,-98.7966900997,-311.460086125,0.401801766013,-2.21012680621,267.79467908,-0.000418138395451,0.00168991316667,-0.00201271085867,-6.20856281075e-06,-0.000149254114866,0.0189359011624,5,0,0.00066427189667,-0.000409676207018,0.00100551706987,-6.06227706539e-06,2.85953201989e-05,-0.0033384504281,0.215614508014,-0.567330816339,0.351716308325,-0.0019205080692,0.0095272564531,-1.15545461587,-0.71463080891,1.64160580868,-0.926974999773,0.00771321977585,-0.0230617820452,3.55712618484,-0.0771169978604,-0.461463064056,0.538580061916,-0.00272942469184,0.00754164047752,-0.790500175078,0.625894422892,6.49239201007e-07
328,0.0175583333,0.000131874932588,0.000130965277583,1.54626618891e-05,0,0,1,241,0,241,0,-283.249528329,-99.6768009253,-314.105753896,0.390958159222,-2.22908192805,270.146998599,-0.000425470640942,0.00169304684011,-0.00201451883819,-7.21970900279e-06,-0.000150158011645,0.0189623980844,4,0,0.00066845543462,-0.000411805485735,0.00100987888554,-5.9825437265e-06,2.87346977309e-05,-0.0033557470982,0.216139935118,-0.567335230291,0.351195295174,-0.00185714322709,0.0095286062085,-1.1553801615,-0.717107251301,1.64257056079,-0.925463309489,0.007455263636,-0.0230852454817,3.5586524381,-0.0771169978604,-0.461463064056,0.538580061916,-0.00272942469184,0.00754164047752,-0.790500175078,0.625884649632,1.81616550691e-06
329,0.017575,0.000129791500127,0.000128646455129,1.72024151775e-05,0,0,0.5,243,0,243,0,-284.479163261,-100.08363869,-315.385572777,0.386510444754,-2.23564058285,271.274063698,-0.00042904457622,0.00169469951183,-0.00201541711649,-7.71535309929e-06,-0.000150538005119,0.0189756018777,3,0,0.000670412257583,-0.000412860372163,0.00101201939833,-5.94998351855e-06,2.87827114166e-05,-0.00336399795923,0.216407587813,-0.567342253053,0.35093466524,-0.00182504831085,0.0095267301079,-1.15534796142,-0.71840628224,1.64311386764,-0.924707585402,0.00732144672498,-0.0230870402338,3.55951056803,-0.0771169978604,-0.461463064056,0.538580061916,-0.00272942469184,0.00754164047752,-0.790500175078,0.625880061955,1.93542798347e-06
