# build=c162833edc6059a2e5122e3a8e8dfb0a46a3e9f3 driver=Tries/response-curve-matrix/model/harness/drive.py cell=D-L scale=coarse date=2026-09-07 k=1.000000e-02 rate=None path=static
# push driver: sp-loadcontrol — the fork's own idiom (`Ladruno_files/testbed/hypo_bearing/bearing_backbone.py`, `sanisand_tau0_band.py`): `loadConst -time uz0` at the S4 settlement datum, a `Linear` series, `sp <platen node> 3 1.0`, and `integrator LoadControl -ds` a step on the SP platen.  PSEUDO-TIME IS THE SETTLEMENT, so `ops_Dt` is d(s) — positive, monotone, and smaller under subdivision rather than turned round — which is the clock ADR 92 D2's default `-implexDt pseudo` is correct on, and which leaves the D2 sign-change guard live as a limit-point detector.
# `time` on this curve is PSEUDO-TIME AND PSEUDO-TIME IS THE SETTLEMENT: it is a metre, it starts at the S4 datum uz0 and it walks down by ds a step, so s_m = uz0 - time exactly.  It is NOT a load factor and NOT a second.  `Q_check_kN` is the summed PLATEN reaction, not `getTime()`; `Q_kN` is the base-reaction difference and is unchanged in meaning from every other leg
# integrator: newton   ladder=strict   element=LadrunoBrick   rungs=Newton:25:x1.0|NewtonLineSearch:40:x1.0   `relaxed` is the index of the rung that carried the step
# tangent: TanType 2 -- 2 = mCep_Consistent, the CONSISTENT (algorithmic) tangent -- unsymmetric under non-associated flow, which is why `system Pardiso` at its default unsymmetric mtype 11 is the declared solver
# test: NormUnbalance declared 1e-05, absolute 5.997400e-02 -- RELATIVE to the model's own weight: 1e-05 x W_ref = 5.997400e-02 kN, with W_ref = 5997.4000 kN (gamma' * V on the ndf-3 twin + surcharge 700.0000 kN).  The same relative number is the same physical requirement on every mesh of the refinement sequence, which is the whole reason it is declared this way (ADR 90 section 1.2.2)
# stress update: IMPL-EX (`-implex` -implexControl 0.1 0.01 -maxSubsteps 20000).  Every global iteration sees a LINEAR EXTRAPOLATION from the last committed step; the true substepped return runs ONCE, at commitState, and the committed state is always the implicit one.  dt source: `pseudo` (the fork's default, ADR 92 D2)
# READ THIS BEFORE QUOTING A LIMIT POINT off this curve: it satisfies equilibrium with the EXTRAPOLATED stress, not the implicit one, so a peak, plateau or capacity here IS NOT EVIDENCE ON ITS OWN.  Confirm it on the implicit material, over the OVERLAP ONLY (two arms disagreeing past where the implicit run reaches proves nothing either way), and quote `implex_err_max` beside the verdict.  IMPL-EX is a REGULARIZER whose parameter is the STEP SIZE and which carries NO LENGTH, so no band width and no post-peak branch off this curve is mesh-independent (guide sect. 8 and What it does not do)
# implex_err_max = max |implexError| over EVERY SANISAND Gauss point at that row's commit -- a true max, not a sample, because the point about to be wrong is the one under the footing edge
# residual pressure: -Presidual 1.01 kPa on EVERY `LadrunoSANISAND` tag of this leg -- THE VANILLA TWIN: 1.01 kPa is vanilla `ManzariDafalias`'s own hardcoded 1.0e-2 * P_atm (ManzariDafalias.cpp:836), measured bit-identical to vanilla over 400 rows at G1, so this is vanilla's soil reached through the class that carries `-implex`.  -Pmin 0.0101 kPa
# subdivision budget: 80 failed attempts, CUMULATIVE over the whole push and never repaid on a success; ds halves on each and regrows to ds_max after 6 successes, ds_min 6.25e-06 m
# ladder strict: the sheet's KrylovNewton rung at TEN TIMES the declared tolerance is DROPPED, so no state on this curve was committed at a tolerance the leg did not declare.  `relaxed` can only be 0 or 1 here; on a full-ladder curve it can be 2
# element: the DRAINED ndf-3 `LadrunoBrick` TWIN — the same mesh, the same material and the same footing with the pressure DOF REMOVED and the buoyant unit weight applied directly as -b 0 0 -9.81 (a FORCE PER UNIT VOLUME).  `p_min_kPa` is NaN on every row BY CONSTRUCTION; the cavitation detector and the far-field pore-pressure gate are SKIPPED with a reason, and the base-reaction gate is recomputed at gamma'*V
# ring point: element tag 4047 at centroid (+1.250, +0.250, -0.250) m, Gauss point 5 of 8 at (+1.1057, +0.1057, -0.1057) m.  top element row (max centroid z), first centroid outboard of the measured footprint x_max, smallest y; Gauss point nearest small x, small y, large z.  S8g: the band is one element wide in the row that owns the free surface and its peak sits at the first element wholly outside the loaded region
# ring_clamp_fired = implexDetail[3], the p_min clamp inside the EXTRAPOLATED update on this step at that one point; ring_clamp_count = implexDetail[4], the same clamp's cumulative count; ring_ref_* = the four implexRefusals slots (total, D2 pseudo-time sign change, past -implexControl, companion hit -maxSubsteps).  THE LEDGER IS PROCESS-WIDE and the clamp census is ONE POINT: a rise in the ledger on a step where this clamp fired is evidence about this point, and a rise on a step where it did not is evidence that the refusal was somewhere else
step,time,s_m,s_over_B,Q_kN,k_norm,k_norm_firststep,Q_check_kN,Rz_base_kN,p_min_kPa,ds_m,relaxed,cum_iter,wall_s,implex_err_max,ring_clamp_fired,ring_clamp_count,ring_ref_total,ring_ref_sign_change,ring_ref_control,ring_ref_companion
1,-0.00106019404,5e-05,3.33333333e-05,6.54212547,nan,nan,6.54212547,6003.94213,nan,5e-05,0,1,1.24006748,0.0693666621,0,0,0,0,0,0
2,-0.00108519404,7.5e-05,5e-05,9.96034037,nan,nan,9.96034038,6007.36034,nan,2.5e-05,0,5,3.89074087,0.0522822983,0,0,44,0,44,0
3,-0.00111019404,0.0001,6.66666667e-05,12.668222,nan,nan,12.668222,6010.06822,nan,2.5e-05,0,7,5.35144711,0.0642717936,0,0,44,0,44,0
4,-0.00113519404,0.000125,8.33333333e-05,14.8678414,nan,nan,14.8678414,6012.26784,nan,2.5e-05,0,9,6.80392122,0.0854731435,0,0,44,0,44,0
5,-0.00116019404,0.00015,0.0001,16.9218319,nan,nan,16.9218319,6014.32183,nan,2.5e-05,0,11,8.26461697,0.0183291591,0,0,44,0,44,0
6,-0.00118519404,0.000175,0.000116666667,19.0396857,nan,nan,19.0396857,6016.43969,nan,2.5e-05,0,13,9.74814939,0.00908065551,0,0,44,0,44,0
7,-0.00121019404,0.0002,0.000133333333,21.1775825,nan,nan,21.1775825,6018.57758,nan,2.5e-05,0,15,11.2839777,0.00329969097,0,0,44,0,44,0
8,-0.00126019404,0.00025,0.000166666667,25.4943866,1.70301027,0.830108303,25.4943866,6022.89439,nan,5e-05,0,17,13.0545049,0.00679602639,0,0,44,0,44,0
9,-0.00131019404,0.0003,0.0002,29.7590971,1.66757804,0.812837365,29.7590971,6027.1591,nan,5e-05,0,19,14.862458,0.00700599405,0,0,44,0,44,0
10,-0.00136019404,0.00035,0.000233333333,33.888226,1.64013002,0.799458214,33.8882265,6031.28823,nan,5e-05,0,21,16.7195749,0.00493605666,0,0,44,0,44,0
11,-0.00141019404,0.0004,0.000266666667,37.9076672,1.61674386,0.788058959,37.9077035,6035.30767,nan,5e-05,0,23,18.6219649,0.00480996827,0,0,44,0,44,0
12,-0.00146019404,0.00045,0.0003,41.8545043,1.5962606,0.778074682,41.8546301,6039.2545,nan,5e-05,0,25,20.5575392,0.0042797758,0,0,44,0,44,0
13,-0.00151019404,0.0005,0.000333333333,45.7502824,1.57816507,0.769254276,45.7505837,6043.15028,nan,5e-05,0,27,22.4891927,0.00342724287,0,0,44,0,44,0
14,-0.00156019404,0.00055,0.000366666667,49.6037681,1.56203949,0.761394088,49.6042648,6047.00377,nan,5e-05,0,31,26.4016926,0.0025051917,0,0,88,0,88,0
15,-0.00161019404,0.0006,0.0004,53.4198805,1.547535,0.754324078,53.4205665,6050.81988,nan,5e-05,0,33,28.4236591,0.00204331233,0,0,88,0,88,0
16,-0.00166019404,0.00065,0.000433333333,57.2029342,1.53437988,0.747911803,57.2037811,6054.60293,nan,5e-05,0,35,30.4684608,0.00176693352,0,0,88,0,88,0
17,-0.00171019404,0.0007,0.000466666667,60.9572269,1.52236969,0.742057604,60.9582081,6058.35723,nan,5e-05,0,37,32.4936867,0.00135774351,0,0,88,0,88,0
18,-0.00176019404,0.00075,0.0005,64.6860983,1.51134388,0.736683227,64.6871901,6062.0861,nan,5e-05,0,39,34.5069835,0.00104187582,0,0,88,0,88,0
19,-0.00181019404,0.0008,0.000533333333,68.3928076,1.50117722,0.731727633,68.3939906,6065.79281,nan,5e-05,0,41,36.5280046,0.000777838096,0,0,88,0,88,0
20,-0.00186019404,0.00085,0.000566666667,72.0797204,1.49176647,0.727140497,72.0809729,6069.47972,nan,5e-05,0,45,40.6181216,0.000744992455,0,0,172,0,172,0
21,-0.00191019404,0.0009,0.0006,75.7495575,1.48302957,0.722881816,75.7508715,6073.14956,nan,5e-05,0,47,42.7085483,0.00077475683,0,0,172,0,172,0
22,-0.00196019404,0.00095,0.000633333333,79.402622,1.47488858,0.718913607,79.4039805,6076.80262,nan,5e-05,0,49,44.7849665,0.000808308246,0,0,172,0,172,0
23,-0.00201019404,0.001,0.000666666667,83.0408251,1.46728063,0.71520522,83.0422132,6080.44083,nan,5e-05,0,51,46.8030052,0.000830216586,0,0,172,0,172,0
24,-0.00206019404,0.00105,0.0007,86.6642016,1.46014671,0.711727892,86.6656185,6084.0642,nan,5e-05,0,53,48.8566282,0.000880779224,0,0,172,0,172,0
25,-0.00211019404,0.0011,0.000733333333,90.2751461,1.45344247,0.708460003,90.2765777,6087.67515,nan,5e-05,0,55,50.9406972,0.00085973524,0,0,172,0,172,0
26,-0.00216019404,0.00115,0.000766666667,93.8728332,1.44712259,0.705379467,93.8742868,6091.27283,nan,5e-05,0,59,55.0348365,0.000838735533,0,0,248,0,248,0
27,-0.00221019404,0.0012,0.0008,97.4590496,1.44115196,0.70246917,97.460507,6094.85905,nan,5e-05,0,61,57.1066353,0.000775117945,0,0,248,0,248,0
