# build=c162833edc6059a2e5122e3a8e8dfb0a46a3e9f3 driver=Tries/response-curve-matrix/model/harness/drive.py cell=D-L scale=coarse date=2026-09-07 k=1.000000e-02 rate=None path=static
# push driver: sp-loadcontrol — the fork's own idiom (`Ladruno_files/testbed/hypo_bearing/bearing_backbone.py`, `sanisand_tau0_band.py`): `loadConst -time uz0` at the S4 settlement datum, a `Linear` series, `sp <platen node> 3 1.0`, and `integrator LoadControl -ds` a step on the SP platen.  PSEUDO-TIME IS THE SETTLEMENT, so `ops_Dt` is d(s) — positive, monotone, and smaller under subdivision rather than turned round — which is the clock ADR 92 D2's default `-implexDt pseudo` is correct on, and which leaves the D2 sign-change guard live as a limit-point detector.
# `time` on this curve is PSEUDO-TIME AND PSEUDO-TIME IS THE SETTLEMENT: it is a metre, it starts at the S4 datum uz0 and it walks down by ds a step, so s_m = uz0 - time exactly.  It is NOT a load factor and NOT a second.  `Q_check_kN` is the summed PLATEN reaction, not `getTime()`; `Q_kN` is the base-reaction difference and is unchanged in meaning from every other leg
# integrator: newton   ladder=strict   element=LadrunoBrick   rungs=Newton:25:x1.0|NewtonLineSearch:40:x1.0   `relaxed` is the index of the rung that carried the step
# tangent: TanType 2 -- 2 = mCep_Consistent, the CONSISTENT (algorithmic) tangent -- unsymmetric under non-associated flow, which is why `system Pardiso` at its default unsymmetric mtype 11 is the declared solver
# test: NormUnbalance declared 1e-05, absolute 5.997400e-02 -- RELATIVE to the model's own weight: 1e-05 x W_ref = 5.997400e-02 kN, with W_ref = 5997.4000 kN (gamma' * V on the ndf-3 twin + surcharge 700.0000 kN).  The same relative number is the same physical requirement on every mesh of the refinement sequence, which is the whole reason it is declared this way (ADR 90 section 1.2.2)
# stress update: IMPL-EX (`-implex` -implexControl 0.1 0.01 -maxSubsteps 20000).  Every global iteration sees a LINEAR EXTRAPOLATION from the last committed step; the true substepped return runs ONCE, at commitState, and the committed state is always the implicit one.  dt source: `pseudo` (the fork's default, ADR 92 D2)
# READ THIS BEFORE QUOTING A LIMIT POINT off this curve: it satisfies equilibrium with the EXTRAPOLATED stress, not the implicit one, so a peak, plateau or capacity here IS NOT EVIDENCE ON ITS OWN.  Confirm it on the implicit material, over the OVERLAP ONLY (two arms disagreeing past where the implicit run reaches proves nothing either way), and quote `implex_err_max` beside the verdict.  IMPL-EX is a REGULARIZER whose parameter is the STEP SIZE and which carries NO LENGTH, so no band width and no post-peak branch off this curve is mesh-independent (guide sect. 8 and What it does not do)
# implex_err_max = max |implexError| over EVERY SANISAND Gauss point at that row's commit -- a true max, not a sample, because the point about to be wrong is the one under the footing edge
# residual pressure: -Presidual 1.01 kPa on EVERY `LadrunoSANISAND` tag of this leg -- THE VANILLA TWIN: 1.01 kPa is vanilla `ManzariDafalias`'s own hardcoded 1.0e-2 * P_atm (ManzariDafalias.cpp:836), measured bit-identical to vanilla over 400 rows at G1, so this is vanilla's soil reached through the class that carries `-implex`.  -Pmin 0.0101 kPa
# subdivision budget: 80 failed attempts, CUMULATIVE over the whole push and never repaid on a success; ds halves on each and regrows to ds_max after 6 successes, ds_min 6.25e-06 m
# ladder strict: the sheet's KrylovNewton rung at TEN TIMES the declared tolerance is DROPPED, so no state on this curve was committed at a tolerance the leg did not declare.  `relaxed` can only be 0 or 1 here; on a full-ladder curve it can be 2
# element: the DRAINED ndf-3 `LadrunoBrick` TWIN — the same mesh, the same material and the same footing with the pressure DOF REMOVED and the buoyant unit weight applied directly as -b 0 0 -9.81 (a FORCE PER UNIT VOLUME).  `p_min_kPa` is NaN on every row BY CONSTRUCTION; the cavitation detector and the far-field pore-pressure gate are SKIPPED with a reason, and the base-reaction gate is recomputed at gamma'*V
# ring point: element tag 4047 at centroid (+1.250, +0.250, -0.250) m, Gauss point 5 of 8 at (+1.1057, +0.1057, -0.1057) m.  top element row (max centroid z), first centroid outboard of the measured footprint x_max, smallest y; Gauss point nearest small x, small y, large z.  S8g: the band is one element wide in the row that owns the free surface and its peak sits at the first element wholly outside the loaded region
# ring_clamp_fired = implexDetail[3], the p_min clamp inside the EXTRAPOLATED update on this step at that one point; ring_clamp_count = implexDetail[4], the same clamp's cumulative count; ring_ref_* = the four implexRefusals slots (total, D2 pseudo-time sign change, past -implexControl, companion hit -maxSubsteps).  THE LEDGER IS PROCESS-WIDE and the clamp census is ONE POINT: a rise in the ledger on a step where this clamp fired is evidence about this point, and a rise on a step where it did not is evidence that the refusal was somewhere else
step,time,s_m,s_over_B,Q_kN,k_norm,k_norm_firststep,Q_check_kN,Rz_base_kN,p_min_kPa,ds_m,relaxed,cum_iter,wall_s,implex_err_max,ring_clamp_fired,ring_clamp_count,ring_ref_total,ring_ref_sign_change,ring_ref_control,ring_ref_companion
1,-0.00116520673,5e-05,3.33333333e-05,5.93507125,nan,nan,5.93507125,6003.33507,nan,5e-05,0,1,1.19601202,0.0613642643,0,0,0,0,0,0
2,-0.00119020673,7.5e-05,5e-05,9.05144262,nan,nan,9.05144262,6006.45144,nan,2.5e-05,0,5,3.64793301,0.0490485739,0,0,56,0,56,0
3,-0.00121520673,0.0001,6.66666667e-05,11.3786202,nan,nan,11.3786202,6008.77862,nan,2.5e-05,0,7,4.94074297,0.0595923585,0,0,56,0,56,0
4,-0.00124020673,0.000125,8.33333333e-05,13.1387178,nan,nan,13.1387178,6010.53872,nan,2.5e-05,0,9,6.27076435,0.0790050155,0,0,56,0,56,0
5,-0.00126520673,0.00015,0.0001,14.8178397,nan,nan,14.8178397,6012.21784,nan,2.5e-05,0,11,7.57014441,0.0190245785,0,0,56,0,56,0
6,-0.00129020673,0.000175,0.000116666667,16.5601266,nan,nan,16.5601266,6013.96013,nan,2.5e-05,0,13,8.92669582,0.00979126598,0,0,56,0,56,0
7,-0.00131520673,0.0002,0.000133333333,18.3212102,nan,nan,18.3212102,6015.72121,nan,2.5e-05,0,15,10.3560543,0.00428348933,0,0,56,0,56,0
8,-0.00136520673,0.00025,0.000166666667,21.8730691,1.41977885,0.800374405,21.8730691,6019.27307,nan,5e-05,0,17,12.0228555,0.00613076098,0,0,56,0,56,0
9,-0.00141520673,0.0003,0.0002,25.3630679,1.38386126,0.780126524,25.3630679,6022.76307,nan,5e-05,0,19,13.6940937,0.00659795986,0,0,56,0,56,0
10,-0.00146520673,0.00035,0.000233333333,28.7125806,1.35571356,0.764258769,28.7125806,6026.11258,nan,5e-05,0,21,15.4184115,0.00484729917,0,0,56,0,56,0
11,-0.00151520673,0.0004,0.000266666667,31.946288,1.33151142,0.750615255,31.946288,6029.34629,nan,5e-05,0,23,17.2071996,0.00469013593,0,0,56,0,56,0
12,-0.00156520673,0.00045,0.0003,35.0999917,1.31011584,0.738553889,35.0999976,6032.49999,nan,5e-05,0,25,18.9946771,0.00443249317,0,0,56,0,56,0
13,-0.00161520673,0.0005,0.000333333333,38.1957498,1.29104321,0.727802043,38.1958055,6035.59575,nan,5e-05,0,27,20.8064926,0.00375769672,0,0,56,0,56,0
14,-0.00166520673,0.00055,0.000366666667,41.2432685,1.27390886,0.718142864,41.2434239,6038.64327,nan,5e-05,0,31,24.4210072,0.00289865895,0,0,100,0,100,0
15,-0.00171520673,0.0006,0.0004,44.247497,1.25837951,0.709388475,44.2478101,6041.6475,nan,5e-05,0,33,26.2598791,0.00204178849,0,0,100,0,100,0
16,-0.00176520673,0.00065,0.000433333333,47.2123207,1.24418617,0.701387241,47.2128092,6044.61232,nan,5e-05,0,35,28.1188107,0.00182473885,0,0,100,0,100,0
17,-0.00181520673,0.0007,0.000466666667,50.1415569,1.23112193,0.694022511,50.14221,6047.54156,nan,5e-05,0,37,29.9935029,0.00155323197,0,0,100,0,100,0
18,-0.00186520673,0.00075,0.0005,53.0394556,1.21903354,0.687207902,53.0402638,6050.43946,nan,5e-05,0,39,31.8585877,0.00129385515,0,0,100,0,100,0
19,-0.00191520673,0.0008,0.000533333333,55.9091735,1.20779902,0.680874646,55.9101103,6053.30917,nan,5e-05,0,41,33.7468662,0.00108629527,0,0,100,0,100,0
20,-0.00196520673,0.00085,0.000566666667,58.7537896,1.19732154,0.674968161,58.7548446,6056.15379,nan,5e-05,0,45,37.4764626,0.000865328819,0,0,180,0,180,0
21,-0.00201520673,0.0009,0.0006,61.5752657,1.18751797,0.669441576,61.5764155,6058.97527,nan,5e-05,0,47,39.4046705,0.000716550273,0,0,180,0,180,0
22,-0.00206520673,0.00095,0.000633333333,64.3753615,1.17831721,0.664254819,64.3765879,6061.77536,nan,5e-05,0,49,41.3027506,0.000695294109,0,0,180,0,180,0
23,-0.00211520673,0.001,0.000666666667,67.1551185,1.16965591,0.659372168,67.1564078,6064.55512,nan,5e-05,0,51,43.2231793,0.000682295767,0,0,180,0,180,0
24,-0.00216520673,0.00105,0.0007,69.916174,1.16148129,0.654763873,69.91751,6067.31617,nan,5e-05,0,53,45.1377437,0.000691784402,0,0,180,0,180,0
25,-0.00221520673,0.0011,0.000733333333,72.6585387,1.15374302,0.650401564,72.6599127,6070.05854,nan,5e-05,0,55,47.0451586,0.000783034333,0,0,180,0,180,0
26,-0.00226520673,0.00115,0.000766666667,75.3833974,1.14639897,0.646261492,75.3848007,6072.7834,nan,5e-05,0,59,50.8598151,0.000819439406,0,0,256,0,256,0
27,-0.00231520673,0.0012,0.0008,78.0913719,1.13941191,0.642322664,78.092798,6075.49137,nan,5e-05,0,61,52.7836416,0.000848304841,0,0,256,0,256,0
