# build=c162833edc6059a2e5122e3a8e8dfb0a46a3e9f3 driver=Tries/response-curve-matrix/model/harness/drive.py cell=D-L scale=coarse date=2026-09-07 k=1.000000e-02 rate=None path=static
# push driver: sp-loadcontrol — the fork's own idiom (`Ladruno_files/testbed/hypo_bearing/bearing_backbone.py`, `sanisand_tau0_band.py`): `loadConst -time uz0` at the S4 settlement datum, a `Linear` series, `sp <platen node> 3 1.0`, and `integrator LoadControl -ds` a step on the SP platen.  PSEUDO-TIME IS THE SETTLEMENT, so `ops_Dt` is d(s) — positive, monotone, and smaller under subdivision rather than turned round — which is the clock ADR 92 D2's default `-implexDt pseudo` is correct on, and which leaves the D2 sign-change guard live as a limit-point detector.
# `time` on this curve is PSEUDO-TIME AND PSEUDO-TIME IS THE SETTLEMENT: it is a metre, it starts at the S4 datum uz0 and it walks down by ds a step, so s_m = uz0 - time exactly.  It is NOT a load factor and NOT a second.  `Q_check_kN` is the summed PLATEN reaction, not `getTime()`; `Q_kN` is the base-reaction difference and is unchanged in meaning from every other leg
# integrator: newton   ladder=strict   element=LadrunoBrick   rungs=Newton:25:x1.0|NewtonLineSearch:40:x1.0   `relaxed` is the index of the rung that carried the step
# tangent: TanType 2 -- 2 = mCep_Consistent, the CONSISTENT (algorithmic) tangent -- unsymmetric under non-associated flow, which is why `system Pardiso` at its default unsymmetric mtype 11 is the declared solver
# test: NormUnbalance declared 1e-05, absolute 5.997400e-02 -- RELATIVE to the model's own weight: 1e-05 x W_ref = 5.997400e-02 kN, with W_ref = 5997.4000 kN (gamma' * V on the ndf-3 twin + surcharge 700.0000 kN).  The same relative number is the same physical requirement on every mesh of the refinement sequence, which is the whole reason it is declared this way (ADR 90 section 1.2.2)
# stress update: IMPLICIT (no `-implex`).  Every global iteration re-runs the substepped return-mapping integrator at the trial strain; there is no extrapolation and no `implex_err_max` column
# residual pressure: -Presidual 1.01 kPa on EVERY `LadrunoSANISAND` tag of this leg -- THE VANILLA TWIN: 1.01 kPa is vanilla `ManzariDafalias`'s own hardcoded 1.0e-2 * P_atm (ManzariDafalias.cpp:836), measured bit-identical to vanilla over 400 rows at G1, so this is vanilla's soil reached through the class that carries `-implex`.  -Pmin 0.0101 kPa
# subdivision budget: 80 failed attempts, CUMULATIVE over the whole push and never repaid on a success; ds halves on each and regrows to ds_max after 6 successes, ds_min 6.25e-06 m
# ladder strict: the sheet's KrylovNewton rung at TEN TIMES the declared tolerance is DROPPED, so no state on this curve was committed at a tolerance the leg did not declare.  `relaxed` can only be 0 or 1 here; on a full-ladder curve it can be 2
# element: the DRAINED ndf-3 `LadrunoBrick` TWIN — the same mesh, the same material and the same footing with the pressure DOF REMOVED and the buoyant unit weight applied directly as -b 0 0 -9.81 (a FORCE PER UNIT VOLUME).  `p_min_kPa` is NaN on every row BY CONSTRUCTION; the cavitation detector and the far-field pore-pressure gate are SKIPPED with a reason, and the base-reaction gate is recomputed at gamma'*V
# ring point: element tag 4047 at centroid (+1.250, +0.250, -0.250) m, Gauss point 5 of 8 at (+1.1057, +0.1057, -0.1057) m.  top element row (max centroid z), first centroid outboard of the measured footprint x_max, smallest y; Gauss point nearest small x, small y, large z.  S8g: the band is one element wide in the row that owns the free surface and its peak sits at the first element wholly outside the loaded region
# ring_clamp_fired = implexDetail[3], the p_min clamp inside the EXTRAPOLATED update on this step at that one point; ring_clamp_count = implexDetail[4], the same clamp's cumulative count; ring_ref_* = the four implexRefusals slots (total, D2 pseudo-time sign change, past -implexControl, companion hit -maxSubsteps).  THE LEDGER IS PROCESS-WIDE and the clamp census is ONE POINT: a rise in the ledger on a step where this clamp fired is evidence about this point, and a rise on a step where it did not is evidence that the refusal was somewhere else
step,time,s_m,s_over_B,Q_kN,k_norm,k_norm_firststep,Q_check_kN,Rz_base_kN,p_min_kPa,ds_m,relaxed,cum_iter,wall_s,ring_clamp_fired,ring_clamp_count,ring_ref_total,ring_ref_sign_change,ring_ref_control,ring_ref_companion
1,-0.00116520673,5e-05,3.33333333e-05,5.97668011,nan,nan,5.97668011,6003.37668,nan,5e-05,0,4,2.40944648,0,0,0,0,0,0
2,-0.00121520673,0.0001,6.66666667e-05,10.4376323,nan,nan,10.4376323,6007.83763,nan,5e-05,0,9,4.80664659,0,0,0,0,0,0
3,-0.00126520673,0.00015,0.0001,14.2948992,nan,nan,14.2948992,6011.6949,nan,5e-05,0,15,7.8259244,0,0,0,0,0,0
4,-0.00131520673,0.0002,0.000133333333,17.9507153,nan,nan,17.9507153,6015.35072,nan,5e-05,0,21,10.9981019,0,0,0,0,0,0
5,-0.00136520673,0.00025,0.000166666667,21.4640398,nan,nan,21.4640398,6018.86404,nan,5e-05,0,28,14.8088412,0,0,0,0,0,0
6,-0.00141520673,0.0003,0.0002,24.8695785,nan,nan,24.8695785,6022.26958,nan,5e-05,0,35,18.7215431,0,0,0,0,0,0
7,-0.00151520673,0.0004,0.000266666667,31.3976319,nan,nan,31.3976319,6028.79763,nan,0.0001,0,45,26.0226381,0,0,0,0,0,0
8,-0.00161520673,0.0005,0.000333333333,37.6692528,1.29163134,0.876340987,37.6669469,6035.06925,nan,0.0001,0,57,34.951117,0,0,0,0,0,0
9,-0.00171520673,0.0006,0.0004,43.7456025,1.25750081,0.853184238,43.7411609,6041.1456,nan,0.0001,0,69,44.0991597,0,0,0,0,0,0
10,-0.00181520673,0.0007,0.000466666667,49.6597099,1.22991408,0.834467299,49.6556848,6047.05971,nan,0.0001,0,82,54.1073065,0,0,0,0,0,0
11,-0.00191520673,0.0008,0.000533333333,55.443208,1.20680561,0.818788755,55.4398254,6052.84321,nan,0.0001,0,96,64.9865119,0,0,0,0,0,0
12,-0.00201520673,0.0009,0.0006,61.1204281,1.18694613,0.805314569,61.1166262,6058.52043,nan,0.0001,0,110,75.9176493,0,0,0,0,0,0
13,-0.00221520673,0.0011,0.000733333333,72.1668898,1.16002206,0.787047232,72.1652847,6069.56689,nan,0.0002,0,131,100.123001,0,0,0,0,0,0
14,-0.00241520673,0.0013,0.000866666667,82.9363044,1.13355873,0.769092496,82.9347853,6080.3363,nan,0.0002,0,154,126.831131,0,0,0,0,0,0
15,-0.00261520673,0.0015,0.001,93.4851664,1.11021594,0.753254972,93.4836697,6090.88517,nan,0.0002,0,178,155.279552,0,0,0,0,0,0
16,-0.00281520673,0.0017,0.00113333333,103.853581,1.09020265,0.73967643,103.852114,6101.25358,nan,0.0002,0,203,185.139348,0,0,0,0,0,0
17,-0.00301520673,0.0019,0.00126666667,114.150632,1.0733481,0.728241024,114.080097,6111.55063,nan,0.0002,1,242,231.844881,0,0,0,0,0,0
18,-0.00321520673,0.0021,0.0014,124.210228,1.05854407,0.718196844,124.169263,6121.61023,nan,0.0002,1,282,279.192402,0,0,0,0,0,0
19,-0.00361520673,0.0025,0.00166666667,143.935607,1.0396626,0.70538622,143.978248,6141.33561,nan,0.0004,1,325,367.073441,0,0,0,0,0,0
