# build=c162833edc6059a2e5122e3a8e8dfb0a46a3e9f3 driver=Tries/response-curve-matrix/model/harness/drive.py cell=D-L scale=coarse date=2026-09-07 push_driver=sp-loadcontrol
# ONE ELEMENT, ONE GAUSS POINT, EVERY COMMITTED STEP.  Element tag 4047 (index 4046, material tag 1) at centroid (+1.2500, +0.2500, -0.2500) m; Gauss point 5 of 8, ONE-BASED, natural (+0.577350, -0.577350, -0.577350), physical (+1.1057, +0.1057, -0.1057) m
# how it was chosen: top element row (max centroid z), first centroid outboard of the measured footprint x_max, smallest y; Gauss point nearest small x, small y, large z.  S8g: the band is one element wide in the row that owns the free surface and its peak sits at the first element wholly outside the loaded region
# the point number is `count = 4i + 2j + k + 1` over the 2x2x2 loop of LadrunoBrick.cpp:667 with sg = -+1/sqrt(3) (LadrunoBrick.cpp:86-87), and the physical position is the trilinear map of the connectivity S0 handed to `ops.element` unpermuted, with shp3d's node corners (SRC/element/brick/shp3d.cpp:50-103).  It is COMPUTED, not assumed: apeGmsh's hex order puts nodes 0-3 on the x_min face, so the natural axes do not line up with x, y, z
# sig*/eps* are the COMMITTED 6-vectors at that Gauss point, read through `eleResponse(tag, 'material', N, 'stress'|'strain')` — `LadrunoBrick::setResponse`'s `material` branch forwards to the point's own `ManzariDafalias::setResponse`, so this is a PER-GAUSS-POINT read and NOT an element average (the element's own `stress` response returns all 8 points, 48 numbers, and is not an average either)
# THE ERROR SPLIT IS RECONSTRUCTED HERE, NOT EXPOSED BY THE MATERIAL.  `implexDetail` carries only the three RATIOS: implex_err = ||sigma~ - sigma_impl|| / den, implex_err_dev and implex_err_vol the two legs of the exact identity ||d_sigma||^2 = ||d_dev||^2 + 3(dp)^2 over the same den.  There is no slot for the numerator, for den, or for sigma~ beside sigma_impl (confirmed by the ADR 92 author, 2026-09-07).  den = ||sigma_impl||_contr + P_atm*||eps||_contr in the DOUBLED-SHEAR contravariant norm on BOTH terms (LadrunoSANISAND.cpp:1533-1555), with eps the NEW committed strain measured after the base commit (:2014) — which is exactly the sig*/eps* on this row.  So numerator = implex_err * den, offline and exact
# P_atm and p_min AS USED are in run.json's `declared.material_as_used`; nothing here retypes them
# columns absent on this build are NaN and are never inferred; available at S4: detail, refusals, stress, strain
step,s_over_B,implex_err,implex_err_dev,implex_err_vol,clamp_fired,clamp_count,implex_f,ref_total,ref_sign_change,ref_control,ref_companion,sig11,sig22,sig33,sig12,sig23,sig13,eps11,eps22,eps33,eps12,eps23,eps13
1,3.33333333e-05,0.0632863798344,0.0632505343417,0.00212973660951,0,0,1,0,0,0,0,-4.15004693089,-4.79592466745,-9.23691819507,-0.0197125230556,-0.036067837949,-2.02407701134,2.06255228656e-06,1.23452012888e-06,-4.53651897907e-05,-4.00567091277e-07,-4.49379957255e-07,1.04909114077e-05
2,5e-05,0.022246248439,0.0222430618191,0.00037652426131,0,0,0.5,44,0,44,0,-4.3771272548,-5.00298275371,-10.2119135329,-0.0193628853507,-0.0497393363019,-1.61696186181,4.92876485858e-06,3.75110071903e-06,-5.97537516459e-05,-4.17050616302e-07,-1.02052388871e-06,2.37495254901e-05
3,6.66666667e-05,0.056392890338,0.0563347511528,0.00256005726965,0,0,1,44,0,44,0,-4.66005122893,-5.2786386644,-10.7750052151,-0.0203517155885,-0.0528114082801,-1.56394192886,4.23855724977e-06,6.64826417391e-06,-6.92048790665e-05,-5.55918792612e-07,-1.38553912387e-06,4.26043881556e-05
4,8.33333333e-05,0.0260663033491,0.0260604005382,0.00055470178832,0,0,1,44,0,44,0,-4.83055092647,-5.39570891527,-11.0996415359,-0.0205916759259,-0.0546366335686,-1.45162266018,5.64531462287e-06,9.90067604537e-06,-7.79114439583e-05,-7.31168924591e-07,-1.7657955812e-06,7.35179356604e-05
5,0.0001,0.0140232130993,0.0140228166298,0.00010544854128,0,0,1,44,0,44,0,-4.97497694028,-5.49476344869,-11.4029953559,-0.021575875352,-0.0550038228607,-1.31665324339,9.51703988318e-06,1.23560280749e-05,-8.7827473286e-05,-1.01888816767e-06,-1.89594121423e-06,0.000109463153173
6,0.000116666667,0.0052037171247,0.00519540414472,0.000294019874951,0,0,1,44,0,44,0,-5.1048716717,-5.58687773155,-11.6930440351,-0.0227100007051,-0.0547732936962,-1.18011792907,1.46700468528e-05,1.41891790434e-05,-9.81145998452e-05,-1.33994229761e-06,-1.90277753233e-06,0.000146223466712
7,0.000133333333,0.0016130573914,0.00159309186575,0.000253006828463,0,0,1,44,0,44,0,-5.23658732266,-5.68390586382,-11.9866531928,-0.0237804026015,-0.0546967672418,-1.05149472457,1.99406941124e-05,1.57870616551e-05,-0.000108272686405,-1.63044750488e-06,-1.90009971393e-06,0.00018202325439
8,0.000166666667,0.00586745032476,0.00584922542888,0.00046209868611,0,0,2,44,0,44,0,-5.51867385884,-5.89533440909,-12.5929499924,-0.0253839393093,-0.0551993352479,-0.814258419288,2.93225160405e-05,1.92063224471e-05,-0.000127830979884,-2.11541031016e-06,-1.9881275541e-06,0.000251078159949
9,0.0002,0.00589858830855,0.00587952349079,0.00047386449008,0,0,1,44,0,44,0,-5.79804817007,-6.10047949266,-13.173812349,-0.026514683253,-0.0564373910546,-0.590753068404,3.74174858426e-05,2.29636267373e-05,-0.000146027786032,-2.47221000979e-06,-2.19578285802e-06,0.000317957744573
10,0.000233333333,0.00406981384743,0.00405072227794,0.000393743291696,0,0,1,44,0,44,0,-6.06700480649,-6.29201364358,-13.7195775457,-0.0270269384461,-0.0581407671638,-0.374903279866,4.45782073231e-05,2.70255446491e-05,-0.000163079822819,-2.6956581085e-06,-2.51129168821e-06,0.000383475345201
11,0.000266666667,0.00220902056746,0.00217923452875,0.000361536631799,0,0,1,44,0,44,0,-6.32743135667,-6.47335071585,-14.2404217281,-0.0271313192666,-0.0602461314103,-0.163526261786,5.12190882722e-05,3.12874306144e-05,-0.000179411505587,-2.80151939977e-06,-2.90901322191e-06,0.000448266861236
12,0.0003,0.00090220908265,0.000834156602144,0.000343749897331,0,0,1,44,0,44,0,-6.57980306002,-6.64612740944,-14.7414769081,-0.0268935553477,-0.062552023014,0.0455415826882,5.7662664601e-05,3.56397919175e-05,-0.000195294992404,-2.81678143649e-06,-3.35757834708e-06,0.000512813348001
13,0.000333333333,0.000640138031438,0.000550610865456,0.00032650325287,0,0,1,44,0,44,0,-6.82327654423,-6.81009755732,-15.2229305949,-0.0264898499428,-0.064948124703,0.253499594493,6.40983014337e-05,3.99959637763e-05,-0.000210844796938,-2.7698378635e-06,-3.82571810644e-06,0.000577430658615
14,0.000366666667,0.000879234218641,0.000823479641644,0.000308113763123,0,0,1,88,0,88,0,-7.05753463217,-6.96518674813,-15.6846894976,-0.0260937679261,-0.0673809114529,0.460787589094,7.06072804178e-05,4.43016724858e-05,-0.000226100778191,-2.68681445024e-06,-4.29059890753e-06,0.000642283066108
15,0.0004,0.000922827321415,0.000876765881894,0.00028790945364,0,0,1,88,0,88,0,-7.28341631055,-7.11232150564,-16.1282611801,-0.0254453739774,-0.0695407326664,0.667404516625,7.71903358494e-05,4.8531007893e-05,-0.000241068675478,-2.58921598782e-06,-4.73864094199e-06,0.000707404990924
16,0.000433333333,0.000816106269201,0.00077090145725,0.000267843958003,0,0,1,88,0,88,0,-7.50237272597,-7.25277036608,-16.5561108917,-0.0249780247019,-0.0716954163009,0.873122198559,8.38091085499e-05,5.2681319055e-05,-0.000255745841025,-2.49123181999e-06,-5.164715575e-06,0.000772743945101
17,0.000466666667,0.000651582795558,0.000602524731813,0.000248040494721,0,0,1,88,0,88,0,-7.71591719429,-7.38798225698,-16.9708959796,-0.0243584598728,-0.0735871153856,1.07769467475,9.04071918763e-05,5.67625118457e-05,-0.000270124029207,-2.40390028884e-06,-5.57135237965e-06,0.000838187648062
18,0.0005,0.000572948327749,0.000525045426656,0.000229340546389,0,0,1,88,0,88,0,-7.92548099841,-7.51917219252,-17.3751885938,-0.0239816183806,-0.0755243004666,1.2808964777,9.69318292907e-05,6.07919479149e-05,-0.000284202001182,-2.33247859702e-06,-5.96323687418e-06,0.000903612947209
19,0.000533333333,0.000604753507803,0.000566345934971,0.00021208273655,0,0,1,88,0,88,0,-8.13198253631,-7.64720246792,-17.7707202176,-0.0235242835307,-0.0772980952831,1.48261198641,0.000103339925239,6.478931854e-05,-0.000297980467219,-2.27617142117e-06,-6.34554729749e-06,0.000968908300693
20,0.000566666667,0.000673732289608,0.000644313420972,0.000196914736916,0,0,1,172,0,172,0,-8.33614404813,-7.77269256406,-18.1589686109,-0.0231306802933,-0.0790466329773,1.68277951232,0.000109604402757,6.87729045194e-05,-0.000311470058178,-2.23156715833e-06,-6.72192988081e-06,0.00103398124371
21,0.0006,0.000732586456869,0.000709340213513,0.000183082981953,0,0,1,172,0,172,0,-8.53821289541,-7.89585681502,-18.5404982926,-0.022778104539,-0.0807810857334,1.8813805249,0.000115710393589,7.27550903782e-05,-0.000324678275505,-2.19460077615e-06,-7.09571074973e-06,0.00109877225812
22,0.000633333333,0.000731596039189,0.000711129029662,0.000171837911212,0,0,1,172,0,172,0,-8.73849628606,-8.01697187244,-18.9161172635,-0.0224687052448,-0.0825373529637,2.07851488483,0.000121657116535,7.674710171e-05,-0.000337626439245,-2.15792306492e-06,-7.46909494083e-06,0.00116326148647
23,0.000666666667,0.000707015316852,0.000688276566365,0.000161697329776,0,0,1,172,0,172,0,-8.93692730946,-8.13598435212,-19.285813625,-0.0220497982299,-0.0842281057422,2.27426721009,0.000127447522762,8.07555576431e-05,-0.000350327386171,-2.11324377639e-06,-7.84321019659e-06,0.0012274521727
24,0.0007,0.000656347884426,0.000638289082655,0.000152903866382,0,0,1,172,0,172,0,-9.13365529375,-8.25303738049,-19.6500257461,-0.0214761552623,-0.0858285680298,2.46878287254,0.000133089563024,8.47829997671e-05,-0.000362798489522,-2.05412661053e-06,-8.21634703742e-06,0.00129136756316
25,0.000733333333,0.000595196532642,0.000577261977547,0.000145008695423,0,0,1,172,0,172,0,-9.32858498557,-8.36796288061,-20.0085826615,-0.0210724873791,-0.087597562269,2.66213951096,0.000138591698301,8.8829126096e-05,-0.000375049130334,-1.97584983549e-06,-8.58761053199e-06,0.00135504515015
26,0.000766666667,0.000524434534367,0.000505696287409,0.000138934681549,0,0,1,248,0,248,0,-9.52187410784,-8.48097337174,-20.3619693692,-0.0205467646175,-0.0893200149969,2.85452254844,0.000143966823742,9.28922402151e-05,-0.000387097154522,-1.87387274239e-06,-8.95574010667e-06,0.00141852683988
27,0.0008,0.000475265365625,0.000456310128124,0.000132884290771,0,0,1,248,0,248,0,-9.71349722464,-8.59203347766,-20.7101467014,-0.0199826989918,-0.091056428763,3.04601781782,0.000149224328382,9.69662733592e-05,-0.000398948062216,-1.74831576977e-06,-9.32032033913e-06,0.00148185022237
28,0.000833333333,0.000428691292541,0.000409260720124,0.000127600498684,0,0,1,248,0,248,0,-9.90360133037,-8.70132853977,-21.0535302593,-0.0192777190924,-0.092716039633,3.23675154951,0.000154374910016,0.000101046559273,-0.000410613600735,-1.59823764415e-06,-9.67794851888e-06,0.00154504885635
29,0.000866666667,0.000401331913569,0.000382203798032,0.000122423697131,0,0,1,248,0,248,0,-10.0923183032,-8.80894937463,-21.3924177666,-0.0186872321252,-0.0944874107834,3.42678540877,0.000159426437154,0.000105127552376,-0.000422100620102,-1.4275573551e-06,-1.00286920531e-05,0.00160814259337
30,0.0009,0.000379331582435,0.000360603230938,0.000117718984323,0,0,1,248,0,248,0,-10.2796384957,-8.914973957,-21.7268685492,-0.0178565259556,-0.0960842559824,3.61618129969,0.000164384726346,0.000109204937692,-0.000433413225053,-1.2380926471e-06,-1.03714615248e-05,0.00167114787369
31,0.000933333333,0.000373092369243,0.000355704520707,0.000112570910701,0,0,1,248,0,248,0,-10.4656242635,-9.01939276386,-22.0569866715,-0.0172662468792,-0.0978741835751,3.80491958345,0.000169253263748,0.000113273588852,-0.00044455252863,-1.03364568413e-06,-1.07066020515e-05,0.00173406796324
32,0.000966666667,0.000359621712615,0.000343002253309,0.000108061234533,0,0,1,316,0,316,0,-10.6504421366,-9.12249580899,-22.3832479532,-0.0163408446748,-0.0993843358514,3.993098171,0.000174035507383,0.000117331323524,-0.000455525683267,-8.1889088425e-07,-1.10325859271e-05,0.00179690237163
33,0.001,0.00034817725288,0.00033234191399,0.000103808726168,0,0,1,316,0,316,0,-10.8342615165,-9.22434021464,-22.7060093281,-0.0157332883012,-0.101129346161,4.18071482583,0.000178736314718,0.000121375598847,-0.000466339193078,-5.97827624129e-07,-1.13512427357e-05,0.00185964621736
34,0.00103333333,0.000344329613187,0.000329679233882,9.93704446205e-05,0,0,1,316,0,316,0,-11.0169256067,-9.32493170005,-23.0250594267,-0.0147920604794,-0.102585863401,4.36775293266,0.000183356562318,0.000125405360872,-0.000476993023445,-3.72281665396e-07,-1.16622378086e-05,0.00192229081383
