# build=c162833edc6059a2e5122e3a8e8dfb0a46a3e9f3 driver=Tries/response-curve-matrix/model/harness/drive.py cell=D-L scale=coarse date=2026-09-07 push_driver=sp-loadcontrol
# ONE ELEMENT, ONE GAUSS POINT, EVERY COMMITTED STEP.  Element tag 4047 (index 4046, material tag 1) at centroid (+1.2500, +0.2500, -0.2500) m; Gauss point 5 of 8, ONE-BASED, natural (+0.577350, -0.577350, -0.577350), physical (+1.1057, +0.1057, -0.1057) m
# how it was chosen: top element row (max centroid z), first centroid outboard of the measured footprint x_max, smallest y; Gauss point nearest small x, small y, large z.  S8g: the band is one element wide in the row that owns the free surface and its peak sits at the first element wholly outside the loaded region
# the point number is `count = 4i + 2j + k + 1` over the 2x2x2 loop of LadrunoBrick.cpp:667 with sg = -+1/sqrt(3) (LadrunoBrick.cpp:86-87), and the physical position is the trilinear map of the connectivity S0 handed to `ops.element` unpermuted, with shp3d's node corners (SRC/element/brick/shp3d.cpp:50-103).  It is COMPUTED, not assumed: apeGmsh's hex order puts nodes 0-3 on the x_min face, so the natural axes do not line up with x, y, z
# sig*/eps* are the COMMITTED 6-vectors at that Gauss point, read through `eleResponse(tag, 'material', N, 'stress'|'strain')` — `LadrunoBrick::setResponse`'s `material` branch forwards to the point's own `ManzariDafalias::setResponse`, so this is a PER-GAUSS-POINT read and NOT an element average (the element's own `stress` response returns all 8 points, 48 numbers, and is not an average either)
# THE ERROR SPLIT IS RECONSTRUCTED HERE, NOT EXPOSED BY THE MATERIAL.  `implexDetail` carries only the three RATIOS: implex_err = ||sigma~ - sigma_impl|| / den, implex_err_dev and implex_err_vol the two legs of the exact identity ||d_sigma||^2 = ||d_dev||^2 + 3(dp)^2 over the same den.  There is no slot for the numerator, for den, or for sigma~ beside sigma_impl (confirmed by the ADR 92 author, 2026-09-07).  den = ||sigma_impl||_contr + P_atm*||eps||_contr in the DOUBLED-SHEAR contravariant norm on BOTH terms (LadrunoSANISAND.cpp:1533-1555), with eps the NEW committed strain measured after the base commit (:2014) — which is exactly the sig*/eps* on this row.  So numerator = implex_err * den, offline and exact
# P_atm and p_min AS USED are in run.json's `declared.material_as_used`; nothing here retypes them
# columns absent on this build are NaN and are never inferred; available at S4: detail, refusals, stress, strain
step,s_over_B,implex_err,implex_err_dev,implex_err_vol,clamp_fired,clamp_count,implex_f,ref_total,ref_sign_change,ref_control,ref_companion,sig11,sig22,sig33,sig12,sig23,sig13,eps11,eps22,eps33,eps12,eps23,eps13
1,3.33333333e-05,0,0,0,0,0,0,0,0,0,0,-4.07292218502,-4.80297234277,-9.3587513697,-0.0225322450332,-0.0446268245324,-2.11020147257,4.50509262154e-06,1.13652751268e-06,-4.80321752442e-05,-5.28577994236e-07,-8.80867600394e-07,5.25442030995e-06
2,6.66666667e-05,0,0,0,0,0,0,0,0,0,0,-4.47424026003,-5.12234923019,-10.1995691206,-0.0234667242387,-0.0462522641489,-1.82458623525,1.10221446621e-05,5.80082477516e-06,-7.00781761533e-05,-5.87570002238e-07,-9.86814599722e-07,6.92389812293e-05
3,0.0001,0,0,0,0,0,0,0,0,0,0,-4.80916263006,-5.36866889051,-10.9056544679,-0.0228865449071,-0.0465624163484,-1.56841877068,1.82630952585e-05,1.05599664428e-05,-9.07484157126e-05,-3.4919579362e-08,-6.26939830946e-07,0.000134251924234
4,0.000133333333,0,0,0,0,0,0,0,0,0,0,-5.11603340255,-5.58973392214,-11.5450213233,-0.0230994252869,-0.0474989767275,-1.3229053199,2.55956533621e-05,1.50845167959e-05,-0.000110219206074,7.08053333605e-08,-6.01261579775e-07,0.000199850131349
5,0.000166666667,0,0,0,0,0,0,0,0,0,0,-5.3940729975,-5.78587950157,-12.1240384888,-0.0241697626104,-0.0487467678334,-1.08172526034,3.33483526584e-05,1.92071892633e-05,-0.000128772387533,-2.6876883599e-07,-8.54428938847e-07,0.000266435773223
6,0.0002,0,0,0,0,0,0,0,0,0,0,-5.66440662997,-5.97453832001,-12.6776020325,-0.024739503407,-0.050144802717,-0.849482497607,4.08176002061e-05,2.32948626645e-05,-0.000146558473558,-4.79933436144e-07,-1.11199262717e-06,0.00033288526743
7,0.000266666667,0,0,0,0,0,0,0,0,0,0,-6.16620055474,-6.31635218359,-13.700692382,-0.0247606924327,-0.0529015557279,-0.400525203024,5.56794534844e-05,3.16460319702e-05,-0.000180875696934,-4.33778550359e-07,-1.48670414209e-06,0.000465449963849
8,0.000333333333,0,0,0,0,0,0,0,0,0,0,-6.63415778003,-6.62708532651,-14.6412403592,-0.0244536662109,-0.0559483053937,0.032757746051,7.02387626029e-05,3.97783393223e-05,-0.000213247719831,-4.37770746239e-07,-2.04770694551e-06,0.000597639420213
9,0.0004,0,0,0,0,0,0,0,0,0,0,-7.07891936224,-6.91459581667,-15.5192092486,-0.0240581061034,-0.059642334834,0.455168278909,8.42684499439e-05,4.7779459647e-05,-0.000243889071155,-5.2320219436e-07,-2.859827806e-06,0.000729744098229
10,0.000466666667,0,0,0,0,0,0,0,0,0,0,-7.50646689733,-7.18457339701,-16.3506772191,-0.0233390271842,-0.0629994025968,0.866615396381,9.76145363006e-05,5.59166764565e-05,-0.000273147673565,-4.22432083569e-07,-3.54810720416e-06,0.000860665778982
