# build=c162833edc6059a2e5122e3a8e8dfb0a46a3e9f3 driver=Tries/response-curve-matrix/model/harness/drive.py cell=D-L scale=coarse date=2026-09-07 push_driver=sp-loadcontrol
# ONE ELEMENT, ONE GAUSS POINT, EVERY COMMITTED STEP.  Element tag 4047 (index 4046, material tag 1) at centroid (+1.2500, +0.2500, -0.2500) m; Gauss point 5 of 8, ONE-BASED, natural (+0.577350, -0.577350, -0.577350), physical (+1.1057, +0.1057, -0.1057) m
# how it was chosen: top element row (max centroid z), first centroid outboard of the measured footprint x_max, smallest y; Gauss point nearest small x, small y, large z.  S8g: the band is one element wide in the row that owns the free surface and its peak sits at the first element wholly outside the loaded region
# the point number is `count = 4i + 2j + k + 1` over the 2x2x2 loop of LadrunoBrick.cpp:667 with sg = -+1/sqrt(3) (LadrunoBrick.cpp:86-87), and the physical position is the trilinear map of the connectivity S0 handed to `ops.element` unpermuted, with shp3d's node corners (SRC/element/brick/shp3d.cpp:50-103).  It is COMPUTED, not assumed: apeGmsh's hex order puts nodes 0-3 on the x_min face, so the natural axes do not line up with x, y, z
# sig*/eps* are the COMMITTED 6-vectors at that Gauss point, read through `eleResponse(tag, 'material', N, 'stress'|'strain')` — `LadrunoBrick::setResponse`'s `material` branch forwards to the point's own `ManzariDafalias::setResponse`, so this is a PER-GAUSS-POINT read and NOT an element average (the element's own `stress` response returns all 8 points, 48 numbers, and is not an average either)
# THE ERROR SPLIT IS RECONSTRUCTED HERE, NOT EXPOSED BY THE MATERIAL.  `implexDetail` carries only the three RATIOS: implex_err = ||sigma~ - sigma_impl|| / den, implex_err_dev and implex_err_vol the two legs of the exact identity ||d_sigma||^2 = ||d_dev||^2 + 3(dp)^2 over the same den.  There is no slot for the numerator, for den, or for sigma~ beside sigma_impl (confirmed by the ADR 92 author, 2026-09-07).  den = ||sigma_impl||_contr + P_atm*||eps||_contr in the DOUBLED-SHEAR contravariant norm on BOTH terms (LadrunoSANISAND.cpp:1533-1555), with eps the NEW committed strain measured after the base commit (:2014) — which is exactly the sig*/eps* on this row.  So numerator = implex_err * den, offline and exact
# P_atm and p_min AS USED are in run.json's `declared.material_as_used`; nothing here retypes them
# columns absent on this build are NaN and are never inferred; available at S4: detail, refusals, stress, strain
step,s_over_B,implex_err,implex_err_dev,implex_err_vol,clamp_fired,clamp_count,implex_f,ref_total,ref_sign_change,ref_control,ref_companion,sig11,sig22,sig33,sig12,sig23,sig13,eps11,eps22,eps33,eps12,eps23,eps13
1,3.33333333e-05,0.0548493551852,0.054839968624,0.00101469481025,0,0,1,0,0,0,0,-4.03682583722,-4.80368844879,-9.09023990076,-0.0162238711913,-0.0346634226281,-2.19250539659,2.41907214047e-06,8.26315970231e-07,-4.79136650498e-05,-3.81631893738e-07,-4.4329774924e-07,6.6172016194e-06
2,5e-05,0.0215162441483,0.021498486343,0.000873983528982,0,0,0.5,56,0,56,0,-4.18747840772,-5.04984914828,-10.0315616564,-0.0176753674637,-0.0500936891381,-1.79947555737,5.81569261202e-06,3.48865346522e-06,-6.36364711214e-05,-4.36397955854e-07,-1.12435009852e-06,2.03344132931e-05
3,6.66666667e-05,0.05343159204,0.0533836771861,0.0022623081179,0,0,1,56,0,56,0,-4.43958371577,-5.30986364387,-10.5666141789,-0.0188238590615,-0.0525688877518,-1.77161710419,5.3120236092e-06,6.42028261104e-06,-7.3723101604e-05,-5.36509967904e-07,-1.36229146031e-06,3.85890361834e-05
4,8.33333333e-05,0.0271878094377,0.0271706454507,0.000965923295225,0,0,1,56,0,56,0,-4.57857919737,-5.41503215719,-10.8273732378,-0.0187323747144,-0.0533777683412,-1.68631483104,7.39937944809e-06,9.48122297029e-06,-8.28315816557e-05,-4.86272215862e-07,-1.47268029e-06,7.0087667923e-05
5,0.0001,0.0130666874212,0.0130663050462,9.99630007904e-05,0,0,1,56,0,56,0,-4.69007351128,-5.49494598931,-11.0507462099,-0.0189613026097,-0.0534131805583,-1.58057204331,1.1971080269e-05,1.17793778465e-05,-9.30349011036e-05,-5.08713532619e-07,-1.45552254837e-06,0.000106570845084
6,0.000116666667,0.00453573335564,0.00453173528113,0.000190400670022,0,0,1,56,0,56,0,-4.79452990512,-5.57272976549,-11.2695497561,-0.0195199138745,-0.0532603042915,-1.4742955138,1.77085237891e-05,1.35214767819e-05,-0.000103700468287,-6.47985366517e-07,-1.41061208765e-06,0.000143852338805
7,0.000133333333,0.00149357930379,0.00147561543849,0.00023095067527,0,0,1,56,0,56,0,-4.90156697952,-5.65551260645,-11.4935912801,-0.0201622506452,-0.0532155018137,-1.37494524805,2.35130351748e-05,1.5055717722e-05,-0.000114248095371,-8.66952951083e-07,-1.40635863425e-06,0.000180188612527
8,0.000166666667,0.00579145712536,0.00576962963374,0.000502344029959,0,0,2,56,0,56,0,-5.13028886836,-5.83637468069,-11.9606418596,-0.0211353650879,-0.0535017331506,-1.19434685788,3.39945138544e-05,1.83447371196e-05,-0.000134627991936,-1.3351175456e-06,-1.51549346413e-06,0.000250253435438
9,0.0002,0.00567304020519,0.00565321359369,0.000473878923213,0,0,1,56,0,56,0,-5.3556143602,-6.01232930189,-12.4093017743,-0.0219802682506,-0.0543283295241,-1.02625238739,4.32543125252e-05,2.19703515315e-05,-0.000153766009846,-1.78435473754e-06,-1.76735421476e-06,0.000318002465092
10,0.000233333333,0.00399534764979,0.00397665041063,0.000386075581074,0,0,1,56,0,56,0,-5.57122335434,-6.17674469596,-12.830279667,-0.0225600405262,-0.0556099741525,-0.865314491216,5.16275698335e-05,2.59158789323e-05,-0.000171870720602,-2.17334357418e-06,-2.16323185045e-06,0.00038420155762
11,0.000266666667,0.00223979651327,0.0022148724212,0.0003332095117,0,0,1,56,0,56,0,-5.77891413838,-6.33241128546,-13.2312458537,-0.0228346140631,-0.0572534672889,-0.70892266867,5.95061960567e-05,3.00954496358e-05,-0.000189351686086,-2.48156384991e-06,-2.68246188771e-06,0.000449488968221
12,0.0003,0.00090185158167,0.000852212287339,0.000295077096146,0,0,1,56,0,56,0,-5.97924472396,-6.48056403047,-13.6157828943,-0.0227300761194,-0.0590593306858,-0.555155497545,6.71968573132e-05,3.44074260088e-05,-0.000206466436243,-2.7032115921e-06,-3.2867957393e-06,0.000514396599223
13,0.000333333333,0.000465136425531,0.000383431574399,0.000263309935455,0,0,1,56,0,56,0,-6.1715843755,-6.62080890161,-13.9835043805,-0.0223877324427,-0.0609479239303,-0.402755622896,7.48865142397e-05,3.87565504285e-05,-0.000223314380185,-2.84246389173e-06,-3.9315453086e-06,0.000579316794535
14,0.000366666667,0.00079874427982,0.000762676069495,0.000237313374179,0,0,1,100,0,100,0,-6.35555825018,-6.75276950313,-14.3336351637,-0.0220311426211,-0.0629289901793,-0.251163860098,8.26517693117e-05,4.30778072157e-05,-0.000239912502959,-2.90444635393e-06,-4.57696273028e-06,0.000644482704482
15,0.0004,0.000989612306824,0.000965644994393,0.000216476933234,0,0,1,100,0,100,0,-6.53147053598,-6.87678667736,-14.6665150377,-0.0215082254322,-0.0647885591422,-0.100227835249,9.05050880187e-05,4.73305122855e-05,-0.000256251092347,-2.90148660792e-06,-5.19791628976e-06,0.000710009163142
16,0.000433333333,0.000976455718471,0.000955574824665,0.000200854486138,0,0,1,100,0,100,0,-6.7006038419,-6.99407116787,-14.9842987363,-0.0210110480153,-0.0666092941349,0.0498835113692,9.84098620423e-05,5.14988414846e-05,-0.000272315125951,-2.84596695766e-06,-5.782762378e-06,0.000775891910348
17,0.000466666667,0.000853172012528,0.000831752767762,0.000189973198848,0,0,1,100,0,100,0,-6.86433743166,-7.10601416613,-15.2895357021,-0.0204234916383,-0.068281799267,0.198944173679,0.000106316954552,5.55843442053e-05,-0.000288095475005,-2.75109940722e-06,-6.32847114043e-06,0.000842055121
18,0.0005,0.00070568887999,0.000681735469341,0.000182300699902,0,0,1,100,0,100,0,-7.02390584772,-7.21386315413,-15.584619954,-0.0197289802194,-0.0697850064193,0.346714402812,0.000114177692967,5.95965336413e-05,-0.000303586583287,-2.6319715083e-06,-6.83928844527e-06,0.000908378714241
19,0.000533333333,0.000598628066331,0.000571983610932,0.000176607787553,0,0,1,100,0,100,0,-7.18030534551,-7.31858043161,-15.8716126761,-0.0191527199226,-0.0712853574279,0.493009706286,0.000121955879753,6.35523803873e-05,-0.000318796261446,-2.50081216455e-06,-7.32239126643e-06,0.000974735231217
20,0.000566666667,0.000571274603085,0.000545057525894,0.000171075905949,0,0,1,180,0,180,0,-7.33400964262,-7.42067242866,-16.1515912011,-0.0185925181941,-0.072722519632,0.637714642175,0.000129624973337,6.74679948621e-05,-0.0003337291806,-2.36643948162e-06,-7.78599809747e-06,0.00104100637375
21,0.0006,0.00058461863911,0.0005606156266,0.00016579828831,0,0,1,180,0,180,0,-7.48540468761,-7.52056403378,-16.4255500221,-0.0179635617741,-0.0740485085949,0.780784342104,0.000137171605206,7.13605850777e-05,-0.000348402278125,-2.23640538484e-06,-8.23851786579e-06,0.00110709824246
22,0.000633333333,0.000613922469273,0.000592675718717,0.00016011336834,0,0,1,180,0,180,0,-7.6347264433,-7.61846621427,-16.6941367241,-0.0174248851937,-0.075400548319,0.922206808571,0.000144589583581,7.52458496966e-05,-0.000362833911238,-2.11323415825e-06,-8.68777848211e-06,0.00117294099047
23,0.000666666667,0.000621683223816,0.000602319314287,0.000153952831772,0,0,1,180,0,180,0,-7.78216709041,-7.71457146702,-16.957921365,-0.016977969432,-0.0767989219001,1.06203701351,0.000151880000001,7.91372766963e-05,-0.000377046552295,-1.99598393633e-06,-9.13882593142e-06,0.00123849768968
24,0.0007,0.000611706108763,0.000593815780681,0.000146857693407,0,0,1,180,0,180,0,-7.92774433881,-7.8089531907,-17.2170728039,-0.0162811548301,-0.0780139588138,1.20037294721,0.000159045891891,8.30426802261e-05,-0.000391055175104,-1.88267372773e-06,-9.59683021234e-06,0.00130376100261
25,0.000733333333,0.000562611885859,0.000544946173574,0.000139877811026,0,0,1,180,0,180,0,-8.07159124193,-7.90163463816,-17.4719041805,-0.0157629938016,-0.0793704794918,1.33730790293,0.000166094779619,8.69690159931e-05,-0.000404879360707,-1.76946258219e-06,-1.00632548643e-05,0.00136874859295
26,0.000766666667,0.000511392759269,0.000493865781067,0.000132737125641,0,0,1,256,0,256,0,-8.21374704174,-7.99265113893,-17.7225287885,-0.0152756061831,-0.0807772510329,1.47296629462,0.000173032554201,9.09196769556e-05,-0.000418531921509,-1.6495023308e-06,-1.05387036443e-05,0.00143349118002
27,0.0008,0.000448674278195,0.000430469561919,0.000126509146606,0,0,1,256,0,256,0,-8.35420315712,-8.08204083305,-17.9690199167,-0.0145721511405,-0.0820503859922,1.60747106962,0.000179869943076,9.48940748265e-05,-0.000432025828647,-1.52124229174e-06,-1.10226087182e-05,0.00149802483228
28,0.000833333333,0.000406543674201,0.00038862809932,0.000119356438671,0,0,1,256,0,256,0,-8.49299326053,-8.16972674067,-18.211308513,-0.0139874479206,-0.0834384594311,1.74089685962,0.000186608611897,9.88888236994e-05,-0.000445361204533,-1.38000664274e-06,-1.15123209903e-05,0.00156239365776
29,0.000866666667,0.000361511399922,0.000343215539268,0.00011354992681,0,0,1,256,0,256,0,-8.63008139446,-8.25571093404,-18.449348479,-0.0132805082256,-0.0847573626255,1.87334054288,0.000193255603564,0.000102899774225,-0.000458542664168,-1.22233924197e-06,-1.20039102034e-05,0.00162664121907
30,0.0009,0.000341786054328,0.000324199620709,0.000108223439539,0,0,1,256,0,256,0,-8.76564274204,-8.34011071839,-18.6834335893,-0.0126907213165,-0.0861734893843,2.00487413209,0.000199815282741,0.000106919853162,-0.00047157250561,-1.05005365526e-06,-1.24948569331e-05,0.00169079837171
31,0.000933333333,0.000327441278755,0.000310656840088,0.000103489703541,0,0,1,256,0,256,0,-8.89972521298,-8.42302381155,-18.9136729847,-0.0119575825002,-0.0874952366085,2.1355765681,0.000206291922066,0.000110943090484,-0.000484452121987,-8.6262574392e-07,-1.29846460526e-05,0.00175489393459
32,0.000966666667,0.0003309225022,0.000315787264373,9.89348579716e-05,0,0,1,308,0,308,0,-9.03241790116,-8.50449338675,-19.1401926228,-0.0113060173333,-0.08887138962,2.26547003929,0.000212686778972,0.000114962496816,-0.000497178790504,-6.61591004851e-07,-1.34686137206e-05,0.00181894376715
33,0.001,0.000322610491271,0.000308204886208,9.53272112038e-05,0,0,1,308,0,308,0,-9.16368141163,-8.58451623742,-19.3629444111,-0.0106150966114,-0.0902106936646,2.39458391497,0.000219004358367,0.000118973334321,-0.000509753283171,-4.48285245682e-07,-1.39464005823e-05,0.00188296306432
34,0.00103333333,0.000321340878207,0.000307913174927,9.1920817628e-05,0,0,1,308,0,308,0,-9.29368068135,-8.66329090621,-19.5822963408,-0.00975664383254,-0.0914072195758,2.52296280857,0.000225245994124,0.000122971329511,-0.000522177711514,-2.23340154222e-07,-1.44150565608e-05,0.00194695181641
