# build=c162833edc6059a2e5122e3a8e8dfb0a46a3e9f3 driver=Tries/response-curve-matrix/model/harness/drive.py cell=D-L scale=coarse date=2026-09-07 push_driver=sp-loadcontrol
# ONE ELEMENT, ONE GAUSS POINT, EVERY COMMITTED STEP.  Element tag 4047 (index 4046, material tag 1) at centroid (+1.2500, +0.2500, -0.2500) m; Gauss point 5 of 8, ONE-BASED, natural (+0.577350, -0.577350, -0.577350), physical (+1.1057, +0.1057, -0.1057) m
# how it was chosen: top element row (max centroid z), first centroid outboard of the measured footprint x_max, smallest y; Gauss point nearest small x, small y, large z.  S8g: the band is one element wide in the row that owns the free surface and its peak sits at the first element wholly outside the loaded region
# the point number is `count = 4i + 2j + k + 1` over the 2x2x2 loop of LadrunoBrick.cpp:667 with sg = -+1/sqrt(3) (LadrunoBrick.cpp:86-87), and the physical position is the trilinear map of the connectivity S0 handed to `ops.element` unpermuted, with shp3d's node corners (SRC/element/brick/shp3d.cpp:50-103).  It is COMPUTED, not assumed: apeGmsh's hex order puts nodes 0-3 on the x_min face, so the natural axes do not line up with x, y, z
# sig*/eps* are the COMMITTED 6-vectors at that Gauss point, read through `eleResponse(tag, 'material', N, 'stress'|'strain')` — `LadrunoBrick::setResponse`'s `material` branch forwards to the point's own `ManzariDafalias::setResponse`, so this is a PER-GAUSS-POINT read and NOT an element average (the element's own `stress` response returns all 8 points, 48 numbers, and is not an average either)
# THE ERROR SPLIT IS RECONSTRUCTED HERE, NOT EXPOSED BY THE MATERIAL.  `implexDetail` carries only the three RATIOS: implex_err = ||sigma~ - sigma_impl|| / den, implex_err_dev and implex_err_vol the two legs of the exact identity ||d_sigma||^2 = ||d_dev||^2 + 3(dp)^2 over the same den.  There is no slot for the numerator, for den, or for sigma~ beside sigma_impl (confirmed by the ADR 92 author, 2026-09-07).  den = ||sigma_impl||_contr + P_atm*||eps||_contr in the DOUBLED-SHEAR contravariant norm on BOTH terms (LadrunoSANISAND.cpp:1533-1555), with eps the NEW committed strain measured after the base commit (:2014) — which is exactly the sig*/eps* on this row.  So numerator = implex_err * den, offline and exact
# P_atm and p_min AS USED are in run.json's `declared.material_as_used`; nothing here retypes them
# columns absent on this build are NaN and are never inferred; available at S4: detail, refusals, stress, strain
step,s_over_B,implex_err,implex_err_dev,implex_err_vol,clamp_fired,clamp_count,implex_f,ref_total,ref_sign_change,ref_control,ref_companion,sig11,sig22,sig33,sig12,sig23,sig13,eps11,eps22,eps33,eps12,eps23,eps13
1,3.33333333e-05,0,0,0,0,0,0,0,0,0,0,-3.98494898686,-4.81084450572,-9.23317791169,-0.0164526755337,-0.0405661868927,-2.28805825867,4.8079350292e-06,8.2456055589e-07,-5.10242650312e-05,-3.79365567207e-07,-7.74496030446e-07,3.3665270201e-07
2,6.66666667e-05,0,0,0,0,0,0,0,0,0,0,-4.40229388595,-5.16992144336,-10.0407394299,-0.017562356195,-0.042345251529,-2.10557246158,9.8045848188e-06,6.02056148433e-06,-7.37169592871e-05,-6.45221894628e-07,-1.01694169625e-06,5.86973811851e-05
3,0.0001,0,0,0,0,0,0,0,0,0,0,-4.6784076702,-5.37940889889,-10.5976059465,-0.0172414947249,-0.0426859332734,-1.89630458387,1.79046209754e-05,1.09273976418e-05,-9.503368211e-05,-3.31747589965e-07,-8.50763878797e-07,0.000124170688862
4,0.000133333333,0,0,0,0,0,0,0,0,0,0,-4.93036764596,-5.56831851768,-11.1011311892,-0.0169602547432,-0.0439316760809,-1.6991384702,2.63343565581e-05,1.55315969985e-05,-0.000115464323605,-1.66209318679e-07,-9.85505662768e-07,0.000190066253863
5,0.000166666667,0,0,0,0,0,0,0,0,0,0,-5.15852147753,-5.73675861229,-11.5538873727,-0.0169970123897,-0.0449731256389,-1.50765519801,3.51518129665e-05,1.96538344999e-05,-0.000134980307189,-2.30803273323e-07,-1.21930422125e-06,0.00025699668553
6,0.0002,0,0,0,0,0,0,0,0,0,0,-5.38000281096,-5.8995978385,-11.9860682776,-0.0166496298397,-0.045836420836,-1.32523871702,4.37556996387e-05,2.36339614491e-05,-0.000153765310613,-1.0512719586e-07,-1.34630704566e-06,0.000324066392631
7,0.000266666667,0,0,0,0,0,0,0,0,0,0,-5.77999351263,-6.18622086982,-12.7650572832,-0.015743814712,-0.048368944258,-0.975076306123,6.11518766988e-05,3.17739619988e-05,-0.000190266433885,2.09240560838e-07,-1.85583243943e-06,0.000458081550411
8,0.000333333333,0,0,0,0,0,0,0,0,0,0,-6.14992355867,-6.44697056675,-13.4752565511,-0.0152528354189,-0.0509620261696,-0.643146262255,7.83339355519e-05,3.95989812744e-05,-0.000224979261141,8.64171400375e-08,-2.67152035976e-06,0.000591700910209
9,0.0004,0,0,0,0,0,0,0,0,0,0,-6.49873258766,-6.68652602701,-14.1316104858,-0.0142165493216,-0.0538296760301,-0.324984140601,9.47197777283e-05,4.76081200055e-05,-0.000258108870672,2.72629168459e-07,-3.50262507998e-06,0.000724822476685
10,0.000466666667,0,0,0,0,0,0,0,0,0,0,-6.82911138951,-6.90995523549,-14.7465161269,-0.0130759421846,-0.0567390591443,-0.0173947077517,0.00011084243762,5.55010550556e-05,-0.000290074099304,3.80453109027e-07,-4.47855889807e-06,0.000857525737164
11,0.000533333333,0,0,0,0,0,0,0,0,0,0,-7.14455015261,-7.11963916478,-15.3255050003,-0.012143829644,-0.0597653586551,0.281405407222,0.000126586113099,6.32698744508e-05,-0.000320875707562,3.58528271492e-07,-5.58219815647e-06,0.000989872633102
12,0.0006,0,0,0,0,0,0,0,0,0,0,-7.44897083761,-7.31855656517,-15.8770908576,-0.010932246528,-0.0626605440445,0.572040137045,0.000141765316327,7.11892897814e-05,-0.000350729503705,6.32653679975e-07,-6.53040458316e-06,0.0011214012522
13,0.000733333333,0,0,0,0,0,0,0,0,0,0,-8.02445922238,-7.68593720786,-16.9039454305,-0.0080269576684,-0.0675581258895,1.13334011778,0.00017105317866,8.71205725333e-05,-0.000408105797205,1.64497059614e-06,-8.01854410561e-06,0.00138262340624
14,0.000866666667,0,0,0,0,0,0,0,0,0,0,-8.57221846404,-8.02644864226,-17.8557347559,-0.00500379988709,-0.0727858451127,1.6751836648,0.000198766161848,0.000102757882051,-0.000462171330228,2.46257459781e-06,-9.87914362846e-06,0.00164303323968
15,0.001,0,0,0,0,0,0,0,0,0,0,-9.09805895409,-8.34617145542,-18.7508926624,-0.00205330832205,-0.0779214296015,2.19982743319,0.000225053749857,0.000118390380655,-0.000513650701285,3.3840737277e-06,-1.17034430627e-05,0.0019015640533
16,0.00113333333,0,0,0,0,0,0,0,0,0,0,-9.60519325697,-8.6482457044,-19.5977842582,0.000921550315452,-0.0830127552281,2.71034434566,0.000250134533469,0.000133963419434,-0.000562884973687,4.29835144622e-06,-1.35952288673e-05,0.00215860841001
17,0.00126666667,0,0,0,0,0,0,0,0,0,0,-10.1101941382,-8.94994335086,-20.4352424479,0.0031796220696,-0.0914766780433,3.21304633896,0.000274686963073,0.000149196409266,-0.000610699283855,3.20984259819e-06,-1.80306645305e-05,0.00241440361289
18,0.0014,0,0,0,0,0,0,0,0,0,0,-10.5941007258,-9.22975022347,-21.2174851248,0.00608689935711,-0.0971642358886,3.70258680989,0.000297682891569,0.000164640505193,-0.000656264998331,3.59853375221e-06,-2.06851698465e-05,0.00266870918554
19,0.00166666667,0,0,0,0,0,0,0,0,0,0,-11.5276284745,-9.75761615576,-22.6955185556,0.0129519480068,-0.106404655667,4.65281844456,0.000340808700179,0.000195703548511,-0.000742989052593,6.19575225065e-06,-2.41528680976e-05,0.00317229740295
