# build: cc4aa6db01c7ae86155b425182021722ab55db50
# pyd: C:\Users\nmb\Documents\Github\OpenSees\.claude\worktrees\wp-106-sanisand-pre\dist\bin\opensees.pyd
# python: 3.12.10
# p0: 20.0
# e_init: 0.6944
# scheme: 1
# tan_type: 2
# tol: 1e-10
# nstep: 90
# ez_max: 0.036
# pRe: 0.1
# Pmin: 0.0101
# Presidual: 0.0
# honorTolR: 0
# max_substeps: 0
# consts: {'G0': 264.32, 'nu': 0.3129, 'e_init': 0.6944, 'Mc': 1.3309, 'c': 0.71, 'lambda_c': 0.027, 'e0': 0.83, 'ksi': 0.45, 'P_atm': 101.0, 'm': 0.005, 'h0': 1.3, 'ch': 0.968, 'nb': 3.5, 'A0': 0.05, 'nd': 5.75, 'z_max': 12.5, 'cz': 1100.0, 'rho': 2.0}
step,pseudo_time,eps0,eps1,eps2,eps3,eps4,eps5,sig0,sig1,sig2,sig3,sig4,sig5,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,psi,yieldDistance,substeps_me,substeps_capHit
0,0.0,-3.4933719437595116e-05,-3.493371943759509e-05,-3.493371943759513e-05,9.105604182983729e-21,2.371692252312041e-20,-7.835054762102278e-21,-20.0,-20.000000000000007,-20.00000000000001,5.515173037810754e-16,1.4374003841483327e-15,4.9764959416900656e-17,3.4933719437595116e-05,3.493371943759509e-05,3.493371943759513e-05,-9.105604182983729e-21,-2.371692252312041e-20,7.835054762102278e-21,0.0,1.7763568394002506e-16,1.7763568394002506e-16,2.4187760222752818e-17,-4.14647318104334e-17,-3.4553943175361172e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6942224249173549,0.0,-0.12274942826783886,-0.08164965809276732,0.0,0.0
1,0.00039999999999999996,5.0319033664957836e-05,5.031903366495789e-05,-0.0003999999999999988,-2.3284935720020716e-18,3.1170812458958252e-19,1.3654171109739321e-18,-20.000002939598456,-20.00000293959872,-66.84044146237174,-1.7165377267999337e-14,2.0647873502826172e-13,6.531616415474069e-14,-0.00011842207502393083,-0.00011842207502392736,0.0005250449676723733,4.776634404886661e-19,-5.657197111646648e-18,-1.7853495610152708e-18,-0.4367481817192335,-0.43674818171920265,0.873496363438405,-5.6303684215440425e-15,-5.8049985838208175e-15,-1.8261028418534556e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6938927611412838,0.0,-0.1192166167620301,3.2844615915905706e-11,1.0,0.0
2,0.0007999999999999999,0.0002531719871671836,0.0002530744681540929,-0.0007999697261711382,6.647624893520859e-08,8.882474337247636e-09,1.8705505087156606e-08,-20.001251300098257,-19.99874005487098,-69.27252581850462,-0.0008559242334949414,2.929182740129613e-05,6.155428930043914e-05,-0.00012436968601855993,-0.00012439557305802352,0.0005441103434406615,1.7646499977814154e-08,-6.031838688509982e-10,-1.2675371320853726e-09,-0.44925180257544806,-0.44924370751278075,0.8984955100882293,-2.759068170760897e-06,-7.683186598585734e-07,-1.6149202483296038e-06,0.07119969565569896,0.07118093262094322,-0.1423806282767014,6.395078755894582e-06,1.5290224510405904e-06,3.2140058241294237e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.693902315289872,3.053798039089826e-08,-0.1190351122899801,9.137929302127645e-11,443.0,0.0
3,0.0012,0.00045679360272224325,0.00045617777857360207,-0.0011999318739449997,1.499993131316863e-07,8.889693449111924e-09,2.491060537339817e-08,-19.99990406683072,-19.99993012598827,-71.59415017357432,-0.0003045060823476248,2.7267143776149425e-05,7.748422237122126e-05,-0.0001300217347459541,-0.00013002176433132015,0.0005621315014339192,6.407588622058943e-09,-5.619171101504968e-10,-1.5922183296722155e-09,-0.4606916163211786,-0.46065283347689734,0.9213444497980762,-4.910549952737327e-06,-7.329976558961588e-07,-2.05788443329472e-06,0.14537215881721458,0.14528322598386834,-0.2906553848011424,1.223609933907093e-05,1.515729195847774e-06,4.310321597359692e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6939137741412553,5.771755575819424e-07,-0.11886147558738325,7.224776332748206e-14,452.0,0.0
4,0.0015999999999999999,0.0006608573998372461,0.0006598510408777793,-0.0015998813774350665,2.604621400170412e-07,1.548280884083224e-08,4.3939369382043725e-08,-19.999742413117936,-19.999946117707243,-73.81509199205658,-0.000406365551952144,4.7717412446379476e-05,0.0001356737948523242,-0.0001353609309193385,-0.00013535916901347543,0.0005791913467113284,8.462021934499533e-09,-9.743845357870497e-10,-2.765860766708332e-09,-0.4711955384476515,-0.4711349547444198,0.9423304931920714,-8.107314894982215e-06,-1.2312123819181821e-06,-3.499689287790245e-06,0.22201414421488166,0.22186777623419923,-0.44388192044914077,2.1150062474253783e-05,2.7499177763343017e-06,7.875650952480185e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6939269693760216,8.686367005615501e-07,-0.11869486305090993,3.221228839223045e-12,449.0,0.0
5,0.002,0.0008651960484423513,0.0008642418487967865,-0.0019998822152802907,2.585858778396001e-07,1.851463920382341e-08,4.1335854128953745e-08,-20.00012391124666,-19.999567305695393,-75.94397580014962,-0.0006146828644761412,5.510292108291024e-05,0.00012079801819193185,-0.00014042375468867197,-0.0001404295852661024,0.0005953838204399517,1.2622549673599449e-08,-1.1218884238573634e-09,-2.4687607288557993e-09,-0.48087232843678585,-0.4808173034771839,0.9616896319139698,-7.789032056039446e-06,-1.4133000173259472e-06,-3.135779293866225e-06,0.3006958061861692,0.30055503434754294,-0.601250840533771,2.2145050164446275e-05,3.3159392486414656e-06,7.260358768348972e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6939417591475111,9.870436212936278e-07,-0.11853454343033998,1.2469303367623752e-11,445.0,0.0
6,0.0024000000000000002,0.0010700776159633587,0.001068943142384417,-0.0023998683423282234,2.88961393816988e-07,2.2310907818771323e-08,4.4533940041013376e-08,-19.99997645121917,-19.999645127670334,-77.98687582846357,-0.0006253897181470367,6.509693460301983e-05,0.00012779653370872455,-0.00014524231283612925,-0.00014524591443516665,0.0006107795211250116,1.2834420530855995e-08,-1.3196533580784213e-09,-2.6072497311008536e-09,-0.48983690488806614,-0.4897742197766109,0.9796111246646771,-8.311412426016792e-06,-1.6397354067839515e-06,-3.23644883277168e-06,0.38108390466831066,0.38091449559688284,-0.7619984002652512,2.532149282450861e-05,4.049121726318418e-06,7.809336967384078e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6939580198537035,7.649092066932837e-08,-0.1183800110617701,6.300515664747763e-15,443.0,0.0
7,0.0028000000000000004,0.0012751094262303292,0.0012743506538597437,-0.0027999067234337526,2.048799635417307e-07,1.4558674179458806e-08,3.283617227073572e-08,-19.999962743465318,-19.999746273671438,-79.9503457286576,-0.0003813498142743126,3.8322958875425e-05,8.692038527198624e-05,-0.0001498324604212217,-0.0001498349354932101,0.0006254479288698721,8.047157757258142e-09,-7.944357388780191e-10,-1.8053937205309008e-09,-0.49814819734521526,-0.49810950532082554,0.9962577026660409,-5.442780146056976e-06,-9.894903895979646e-07,-2.220381380798253e-06,0.4627989476813249,0.46268899279024717,-0.9254879404716299,1.901880470974047e-05,2.344782247132141e-06,5.209485532464123e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6939756432075185,3.8693671845328354e-07,-0.11823071743293256,1.0075273948473296e-14,440.0,0.0
8,0.0032000000000000006,0.001480681717593155,0.001479934085801393,-0.0031999136429559966,1.8971331853571646e-07,1.4136042410630226e-08,2.9493710973195692e-08,-19.999976005413277,-19.999734713195917,-81.83849192939859,-0.00038880279881023475,3.7045762919827426e-05,7.570713349667469e-05,-0.0001542098832272228,-0.00015421259977052825,0.0006394381706036814,8.192162292652478e-09,-7.695867397614475e-10,-1.587229794911326e-09,-0.5058987624433631,-0.5058624015376895,1.0117611639810526,-4.792284692583627e-06,-9.137485521986447e-07,-1.8772883058374831e-06,0.5456020349700444,0.5454921830036934,-1.091094217973798,1.8685504062105787e-05,2.2105180378231622e-06,4.3897996911084665e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6939945337406471,4.623120197100175e-07,-0.11808632681962083,6.63358257213531e-15,438.0,0.0
9,0.0036000000000000008,0.0016867821450652278,0.0016856210072319548,-0.003599854410431512,3.1982502849480323e-07,2.2694569859873018e-08,4.6236748695618586e-08,-19.999797286247784,-19.99969344135454,-83.65529312895842,-0.000489391609978341,6.261451685664698e-05,0.00012597520742458333,-0.00015839055644660524,-0.0001583919462843831,0.0006527958330136625,1.0134022312836436e-08,-1.2631897604080813e-09,-2.557651474208474e-09,-0.5131462178683964,-0.5130894085269758,1.0262356263953727,-8.12078508056484e-06,-1.4847322894120215e-06,-2.9895058685605237e-06,0.6292258734175721,0.629044829705804,-1.2582707031234415,3.07454642948037e-05,4.094907290403968e-06,8.072535879165459e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6940146065882172,9.524540491544297e-07,-0.11794651644349818,5.789674295542113e-12,435.0,0.0
10,0.004000000000000001,0.00189297362134625,0.0018919588771136237,-0.00399988428096263,2.5425038606684833e-07,1.7919468634202546e-08,3.840071853097762e-08,-19.999871905834066,-19.999720671171133,-85.40644893673509,-0.0004567196328844325,4.4797337902840865e-05,9.569344667660391e-05,-0.00016238888681625532,-0.00016239073071792125,0.0006655754430692795,9.507930856935661e-09,-9.21760055093036e-10,-1.9773636140815106e-09,-0.5199158064542061,-0.5198690929775762,1.0397848994317822,-6.041429288840501e-06,-1.0906449020529788e-06,-2.3201197681017195e-06,0.7133783856230378,0.7132217207558035,-1.426600106378911,2.5871422831847037e-05,2.934661705441529e-06,6.147901474679305e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6940357856997273,7.91513740486698e-07,-0.11781081802580928,1.3411771693228047e-12,432.0,0.0
