# build: cc4aa6db01c7ae86155b425182021722ab55db50
# pyd: C:\Users\nmb\Documents\Github\OpenSees\.claude\worktrees\wp-106-sanisand-pre\dist\bin\opensees.pyd
# python: 3.12.10
# p0: 20.0
# e_init: 0.6944
# scheme: 1
# tan_type: 2
# tol: 1e-10
# nstep: 90
# ez_max: 0.036
# pRe: 1.0
# Pmin: 0.0101
# Presidual: 0.0
# honorTolR: 0
# max_substeps: 0
# consts: {'G0': 264.32, 'nu': 0.3129, 'e_init': 0.6944, 'Mc': 1.3309, 'c': 0.71, 'lambda_c': 0.027, 'e0': 0.83, 'ksi': 0.45, 'P_atm': 101.0, 'm': 0.005, 'h0': 1.3, 'ch': 0.968, 'nb': 3.5, 'A0': 0.05, 'nd': 5.75, 'z_max': 12.5, 'cz': 1100.0, 'rho': 2.0}
step,pseudo_time,eps0,eps1,eps2,eps3,eps4,eps5,sig0,sig1,sig2,sig3,sig4,sig5,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,psi,yieldDistance,substeps_me,substeps_capHit
0,0.0,-3.493371943759512e-05,-3.493371943759506e-05,-3.493371943759514e-05,1.2705494208814505e-20,1.1011428314305904e-20,-2.541098841762901e-21,-20.0,-20.000000000000004,-20.000000000000007,6.888567512646893e-16,9.73594207747746e-16,2.3442749142942336e-16,3.493371943759512e-05,3.493371943759506e-05,3.493371943759514e-05,-1.2705494208814505e-20,-1.1011428314305904e-20,2.541098841762901e-21,0.0,1.7763568394002506e-16,1.7763568394002506e-16,2.4187760222752818e-17,-4.14647318104334e-17,-3.4553943175361172e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6942224249173549,0.0,-0.12274942826783886,-0.08164965809276868,0.0,0.0
1,0.00039999999999999996,4.9607530030105006e-05,4.96075300300955e-05,-0.00039999999999999996,-5.420587345953895e-18,1.1248597539537109e-18,-2.473336205982557e-19,-20.000004530242947,-20.000004530244134,-68.14569508117232,-1.9653643322892413e-14,1.0633918896273314e-13,4.055427452775794e-14,-0.00011928071415458076,-0.00011928071415456495,0.0005277891249204842,5.340939430303404e-19,-2.8432025408308488e-18,-1.0812425850055015e-18,-0.4435261492012554,-0.4435261492012151,0.8870522984024704,-2.3006341125811045e-15,-2.9458413988925485e-15,-1.1290159661634127e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693890349997766,0.0,-0.11912648011290994,7.056299988761339e-11,1.0,0.0
2,0.0007999999999999999,0.00018371261141050119,0.00018371261145075832,-0.0007999999999960875,8.612900364158953e-15,2.0716393010766776e-16,4.083979519581976e-15,-28.58589259966019,-28.589489870401486,-99.04949020349372,-0.00044557764524583095,-6.715319804478303e-10,2.1058953183009145e-09,-0.00014834816676965437,-0.00014831176765700964,0.0007245462129502879,9.01718667635493e-09,1.3589149510032049e-14,-4.261741472079107e-14,-0.4493605219232552,-0.44936250357435314,0.8987230254976086,-2.4545811665009035e-07,1.2926021188269498e-11,-4.0500622090045026e-11,0.03838524295639929,0.03839128693068063,-0.07677652988708232,7.486396433658927e-07,-2.7418667457245552e-11,9.312695312089322e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.6936670452976228,1.57557992193364e-07,-0.11629274959861546,-6.161737786669619e-15,138.0,0.0
3,0.0012,0.00044577851944105785,0.0004466279759867102,-0.0011999489338471374,1.11984902232151e-07,2.1884069411080625e-08,1.3447830897631117e-08,-19.999884503857007,-19.999960044672136,-72.21495045824142,-0.00011153618684422481,6.483330601960367e-05,3.987961107924801e-05,-0.00013226205046401013,-0.00013225542380341048,0.0005863605523687693,3.3692616452852948e-09,-1.0961899971644878e-09,-6.742857511342053e-10,-0.46362235842867106,-0.46367089434090225,0.9272932527695735,-3.2755798343575097e-06,-1.6690924039210519e-06,-1.0263259734264778e-06,0.14292822928683582,0.14305095368664952,-0.2859791829734919,8.595232343246081e-06,4.023764150159769e-06,2.4741853976763548e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6938789000923422,2.994241925654354e-07,-0.11885329491283236,1.7763568394002505e-15,635.0,0.0
4,0.0015999999999999999,0.0006498373091269064,0.0006507000509378747,-0.0015999477637902947,1.1613057984826507e-07,2.2641087397761665e-08,1.4982362005479494e-08,-19.999890079241492,-19.99993761129669,-74.41242111704435,-0.00010400705544502406,6.319747649730186e-05,4.2300399397590153e-05,-0.00013746678915974234,-0.00013746044085718095,0.0006029947694611951,3.2196088758364275e-09,-1.0636754340125325e-09,-7.224025466689233e-10,-0.47389281263500316,-0.4739397455397072,0.9478325581747105,-3.236355655652428e-06,-1.6539190347041685e-06,-1.1028448891672028e-06,0.22057226702264005,0.22069853735797312,-0.4412708043806229,9.1937594324375e-06,4.123103415479441e-06,2.7412060471401087e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6938926790119275,4.6076375391668056e-07,-0.11868816067201238,1.1268763699945339e-14,454.0,0.0
5,0.002,0.000854217832436871,0.0008553507837737144,-0.001999931033024484,1.5239147062736616e-07,2.928801873366884e-08,2.0917296766434523e-08,-19.999788081994048,-19.99998309879716,-76.51891721817319,-0.00015231076860536895,8.243324389868123e-05,5.978071376440886e-05,-0.00014241010614689015,-0.0001424023058851088,0.0006187905090541266,4.170690566295044e-09,-1.4424203581686286e-09,-1.066583270054605e-09,-0.48336721916175757,-0.48342785741239797,0.9667950765741556,-4.175991989866359e-06,-2.0956810280099547e-06,-1.5150257809384234e-06,0.30015911236921694,0.3003281006964823,-0.600487213065706,1.2319304930898938e-05,5.3958720866498395e-06,3.892067028247729e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6939080099209506,1.8627933372340744e-07,-0.11852923699381723,-8.68749516769185e-15,451.0,0.0
6,0.0024000000000000002,0.0010592137872861354,0.0010602522846632108,-0.002399934318456194,1.446146007632511e-07,3.3044877119088167e-08,1.737733761939908e-08,-19.999902675045,-19.999882032924944,-78.54133682047059,-0.00010477008641203363,9.099082204539742e-05,4.6010528580141735e-05,-0.0001471121960098391,-0.0001471065000765467,0.0006338214030241553,3.242918040547925e-09,-1.6094243960822927e-09,-7.978534391182694e-10,-0.49215651337034094,-0.4922088039791467,0.9843653173494876,-3.7334785813606218e-06,-2.2875142165293626e-06,-1.1786300344631902e-06,0.3813813558214761,0.381536644161005,-0.7629179999824904,1.1953259680660825e-05,6.098667499648013e-06,3.1025312366315276e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6939247746031189,3.4348179697627276e-07,-0.11837594352762215,5.689893001203927e-15,447.0,0.0
7,0.0028000000000000004,0.001264549307046166,0.0012655983587795674,-0.002799937206831895,1.37682833425913e-07,2.810909672666846e-08,1.8713856366798934e-08,-19.99980892820704,-19.999973981612364,-80.48503604748089,-0.0001347266772764162,7.234690414203048e-05,4.940454806967552e-05,-0.00015159544488159955,-0.00015158795213137758,0.0006481465778656754,3.822646706679714e-09,-1.2486218699697385e-09,-8.635354922063645e-10,-0.5003227697841928,-0.5003733617908991,1.000696131575092,-3.387834644759941e-06,-1.8209389618079904e-06,-1.2246081449287015e-06,0.46387655131106387,0.46403527450511933,-0.927911825816191,1.1746307081845982e-05,4.948788422850627e-06,3.3382113099894564e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6939428686017192,3.263634146892679e-07,-0.11822783809046788,8.881784197001252e-16,445.0,0.0
8,0.0032000000000000006,0.001470246367428879,0.0014713093482872433,-0.0031999361266720227,1.4005483220479837e-07,2.75665531779528e-08,1.6879626874114493e-08,-19.999862235052262,-19.99990414701875,-82.35484172476501,-0.00011729292164497787,6.931019508835648e-05,4.206922894598479e-05,-0.0001558727656670113,-0.00015586645503647823,0.000661818300971246,3.487929393349187e-09,-1.1903189364366274e-09,-7.227019069818346e-10,-0.5079338162094437,-0.5079828423948473,1.0159166586042907,-3.293408594203479e-06,-1.701406914859609e-06,-1.0387827173534243e-06,0.5473625017511661,0.5475248013764018,-1.0948873031275752,1.2236436041573602e-05,4.746255402443402e-06,2.881144680906867e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6939622002316763,6.574852437825432e-07,-0.11808452283649817,2.562949852347174e-13,442.0,0.0
9,0.0036000000000000008,0.0016758943348880123,0.0016777061816440032,-0.003599889669917673,2.429541070249558e-07,4.9099447080140635e-08,3.036781229463054e-08,-19.999806114161633,-19.99978593855356,-84.15450767924962,-0.00018912987836483124,0.00013413987620203814,8.300794847082953e-05,-0.0001599594814195694,-0.0001599537623487016,0.0006748790256853572,4.856829575788257e-09,-2.425690900341931e-09,-1.5028159761917567e-09,-0.5150247328828895,-0.515111407877451,1.0301361407603402,-5.9251905608967e-06,-3.155662680812251e-06,-1.951243733406717e-06,0.6315087856023641,0.6317994730244344,-1.2633082586268118,2.140279865883323e-05,9.534129514062099e-06,5.882958132494102e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.6939826876585033,1.0716054217631571e-06,-0.11794569339324235,2.1041446363057048e-11,439.0,0.0
