# build: 634824e1fbcf802bf27c7fbd29c113e5a2d63cb6
# pyd: C:\Users\nmb\Documents\Github\OpenSees\.claude\worktrees\release-build-634824e1f\dist\bin\opensees.pyd
# python: 3.12.10
# p0: 100.0
# e_init: 0.6944
# scheme: 1
# tan_type: 2
# tol: 1e-10
# nstep: 400
# ez_max: 0.2
# pRe: 0.0
# Pmin: 0.0101
# Presidual: 0.0
# honorTolR: 0
# max_substeps: 0
# consts: {'G0': 264.32, 'nu': 0.3129, 'e_init': 0.6944, 'Mc': 1.3309, 'c': 0.71, 'lambda_c': 0.027, 'e0': 0.83, 'ksi': 0.45, 'P_atm': 101.0, 'm': 0.005, 'h0': 1.3, 'ch': 0.968, 'nb': 3.5, 'A0': 0.05, 'nd': 5.75, 'z_max': 12.5, 'cz': 1100.0, 'rho': 2.0}
step,pseudo_time,eps0,eps1,eps2,eps3,eps4,eps5,sig0,sig1,sig2,sig3,sig4,sig5,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,psi,yieldDistance,substeps_me,substeps_capHit
0,0.0,-0.0001746685971879755,-0.00017466859718797567,-0.00017466859718797545,6.776263578034403e-21,5.421010862427522e-20,8.470329472543003e-21,-100.00000000000001,-100.00000000000003,-100.00000000000001,5.514912136259857e-16,4.417417217727056e-15,6.938226178668098e-16,0.0001746685971879755,0.00017466859718797567,0.00017466859718797545,-6.776263578034403e-21,-5.421010862427522e-20,-8.470329472543003e-21,0.0,0.0,0.0,-5.528630908057786e-18,-5.2521993626548956e-17,-1.3821577270144463e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.528630908057786e-18,-5.2521993626548956e-17,-1.3821577270144463e-17,0.6935121245867741,0.0,-0.10960850167053893,-0.40824829046384886,0.0,0.0
1,0.0005,-8.040456559259965e-05,-8.040456559260274e-05,-0.0004999999999999999,-3.163668057994812e-19,3.3881317890172014e-19,2.473336205982557e-19,-100.0000025678077,-100.00000256780791,-176.80510874722427,-2.465494067408723e-14,-4.617920112511238e-14,-3.9852471726515535e-14,6.193136306233054e-05,6.193136306233195e-05,0.0005349665839044101,3.0371168879304673e-19,5.690292493360597e-19,4.909710814857033e-19,-0.20549910776063068,-0.20549910776061825,0.41099821552123844,2.3503034366734925e-16,3.951787812970632e-16,3.3972572169256332e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.528630908057786e-18,-5.2521993626548956e-17,-1.3821577270144463e-17,0.6932803250081198,0.0,-0.10693676451613998,6.723288592525023e-12,1.0,0.0
2,0.001,0.00015689268617273818,0.00015689271806413832,-0.0009999996896394015,6.111539577602213e-10,-4.393382093672779e-11,3.1687484219536507e-10,-100.0002506019364,-99.99982601067549,-192.25331584284473,0.004068344102594362,-5.949334642552357e-07,3.599590831008344e-06,4.16997567283517e-05,4.1697423395644964e-05,0.0005996289248864684,-4.471500585081836e-08,6.538889758164574e-12,-3.9562957506748664e-11,-0.23352147922922475,-0.23352133168909214,0.467042810918317,1.4137457455789273e-06,4.409744078133423e-09,-2.6470053564085805e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.528630908057786e-18,-5.2521993626548956e-17,-1.3821577270144463e-17,0.693237278514814,3.631098958338273e-07,-0.10643640939041221,1.3211653993039363e-14,240.0,0.0
3,0.0015,0.0003972927008616603,0.000397725893944908,-0.0015001155776523277,-2.5364877242926856e-07,9.42869588725333e-09,-4.2821963547800754e-08,-100.00125901976634,-99.99746423503784,-204.84483554964984,0.004565678176677815,9.803810884854963e-05,-0.00044674161470457696,2.5543525468805555e-05,2.5523039676031655e-05,0.0006512874216525415,-5.007246500362895e-08,-1.0559712474813378e-09,4.811672337261182e-09,-0.25729914022946704,-0.2573233919095381,0.5146225321390053,8.88080163652696e-06,-6.962726684656091e-07,3.167486425338517e-06,0.002710961994858105,0.002712707123266407,-0.005423669118124483,-8.860996292388998e-07,5.110584064138511e-08,-2.3288170410564623e-07,0.0,0.0,0.0,-5.528630908057786e-18,-5.2521993626548956e-17,-1.3821577270144463e-17,0.6932052836722662,2.007781735560157e-06,-0.1060341847302183,3.815170401821888e-11,281.0,0.0
4,0.002,0.0006396366920779372,0.0006398579195958261,-0.002000083560319375,-1.8340617784310407e-07,3.3791441009277737e-09,-3.438789356032337e-08,-100.00060177021265,-99.99864204449949,-216.36504535023096,0.0023957376757367892,3.2652631769535997e-05,-0.0003362919338870958,1.0982959107391376e-05,1.0972202364508301e-05,0.0006978077738772192,-2.706343998878139e-08,-3.6265450581660655e-10,3.6405160462434032e-09,-0.2778071201875733,-0.2778193266903879,0.5556264468779614,5.880083550347803e-06,-2.5510080205758643e-07,2.4505304542566355e-06,0.013448469964792004,0.013446793355070924,-0.026895263319862476,-5.555890767959258e-07,-7.628579563858381e-08,-5.8650403672962825e-08,0.0,0.0,0.0,-5.528630908057786e-18,-5.2521993626548956e-17,-1.3821577270144463e-17,0.6931790340854149,1.273193189292349e-06,-0.10566956052667631,3.2163161023390785e-13,280.0,0.0
5,0.0025,0.0008832619998726433,0.0008835498274966385,-0.002500104175529183,-2.2923036635364525e-07,4.870452445862594e-09,-4.201108907224394e-08,-100.00082270093253,-99.99840977068291,-227.0543102648404,0.0029161525468205597,4.8312894426217926e-05,-0.0004035371329677298,-2.3341790171963355e-06,-2.347305068092534e-06,0.0007403718891966712,-3.250479383687309e-08,-5.263950812763465e-10,4.343618403831876e-09,-0.2958407052700358,-0.2958554516600297,0.5916961569300655,6.820942935272418e-06,-3.345815766921927e-07,2.8094053259977996e-06,0.031452392184397035,0.03145246645396775,-0.06290485863836402,-1.7593353872598462e-06,-2.352792078263247e-08,-3.314214544308109e-07,0.0,0.0,0.0,-5.528630908057786e-18,-5.2521993626548956e-17,-1.3821577270144463e-17,0.6931575094452779,1.5812292239079086e-06,-0.10533370754375271,2.2382096176443156e-12,279.0,0.0
6,0.003,0.0011280564220710098,0.0011284475924665963,-0.003000132107258192,-2.904105431169232e-07,-2.3117804359186478e-09,-4.8375241404189414e-08,-100.00112081997973,-99.99809117138432,-237.06906117331553,0.0028206607566371353,-1.834365395137325e-05,-0.00044893144446839613,-1.465335834389878e-05,-1.4669667930426166e-05,0.0007797478921185683,-3.151892559213215e-08,1.617748045670134e-10,4.812274506250967e-09,-0.31193517557720546,-0.311953808676332,0.6238889842535376,7.861704402686938e-06,1.0218232197302602e-07,3.06004841887955e-06,0.05591218133088013,0.05591597147447192,-0.11182815280535109,-3.4923277128892526e-06,-3.695783605379165e-07,-6.438379411861292e-07,0.0,0.0,0.0,-5.528630908057786e-18,-5.2521993626548956e-17,-1.3821577270144463e-17,0.6931399965596943,5.068807729354087e-07,-0.10502083193737655,7.549516567451064e-15,278.0,0.0
7,0.0035,0.0013739496467234812,0.0013742520337132174,-0.0035001089704100414,-2.3963996954299877e-07,-9.143284383740166e-10,-4.1752274917755596e-08,-100.0009164719252,-99.99854023285508,-246.51866090157273,0.0025110377645331176,-2.5928485631715916e-06,-0.0003783557526301154,-2.6146198025270508e-05,-2.6159173540890735e-05,0.0008164733835592572,-2.8359176705126294e-08,1.0354826690572512e-12,4.092039028193321e-09,-0.326462913530632,-0.32647704136151395,0.6529399548921461,6.341861685424762e-06,2.2099641981130913e-08,2.5634853488459783e-06,0.08613514898846053,0.08613489892215954,-0.17227004791061853,-2.916536715220316e-06,-2.858450987658665e-07,-2.5176757967207516e-07,0.0,0.0,0.0,-5.528630908057786e-18,-5.2521993626548956e-17,-1.3821577270144463e-17,0.6931259682878692,1.2158827808883028e-06,-0.10472690443579014,2.575717417130363e-13,276.0,0.0
8,0.004,0.0016205761022076454,0.0016212622378071813,-0.004000208125505951,-4.5736573722336997e-07,6.505571093547852e-09,-7.202165822623309e-08,-100.00198234077996,-99.99725939755888,-255.4862303830225,0.004889151248090676,5.9995539741699506e-05,-0.0006315186680409911,-3.692985522547041e-05,-3.6954677588936646e-05,0.0008509552550220284,-5.2369999363484305e-08,-6.308934401730036e-10,6.64811968104342e-09,-0.33968375096707243,-0.3397124608647774,0.67939621183185,1.1002361783430705e-05,-3.717136082844758e-07,4.0601637231592264e-06,0.12151302310524076,0.1215329122543815,-0.2430459353596207,-1.0302536889577617e-05,2.382690177348217e-07,-2.3839119822881214e-06,0.0,0.0,0.0,-5.528630908057786e-18,-5.2521993626548956e-17,-1.3821577270144463e-17,0.6931150182354638,2.098257999921686e-06,-0.10444891993272831,5.2161386321358805e-11,274.0,0.0
9,0.0045000000000000005,0.0018682688841173435,0.001868658362454021,-0.004500133734510989,-2.937432599600269e-07,1.6901295962811272e-09,-4.860204035514698e-08,-100.0011676197288,-99.99844784513175,-264.02959509230277,0.0028624561498718894,1.5421760662749328e-05,-0.0004094398850459656,-4.711160312638062e-05,-4.712641295003083e-05,0.0008834803145837268,-3.210973258168404e-08,-1.8530265722481854e-10,4.4280642844466965e-09,-0.35181542963780743,-0.3518318053059281,0.7036472349437357,6.967383298312397e-06,-1.1504812381623686e-07,2.723187248868384e-06,0.16152159350084946,0.16152363707267223,-0.32304523057351686,-5.4998647869941046e-06,-1.4506370253606287e-07,-5.148326416141828e-07,0.0,0.0,0.0,-5.528630908057786e-18,-5.2521993626548956e-17,-1.3821577270144463e-17,0.6931068229268351,1.4793168120196482e-06,-0.10418472622168817,1.2574385976904523e-12,272.0,0.0
