# build: cc4aa6db01c7ae86155b425182021722ab55db50
# pyd: C:\Users\nmb\Documents\Github\OpenSees\.claude\worktrees\wp-106-sanisand-pre\dist\bin\opensees.pyd
# python: 3.12.10
# p0: 0.1
# e_init: 0.6944
# scheme: 1
# tan_type: 2
# tol: 1e-10
# nstep: 40
# ez_max: 0.016
# pRe: 0.0
# Pmin: 0.0101
# Presidual: 0.0
# honorTolR: 0
# max_substeps: 20000
# consts: {'G0': 264.32, 'nu': 0.3129, 'e_init': 0.6944, 'Mc': 1.3309, 'c': 0.71, 'lambda_c': 0.027, 'e0': 0.83, 'ksi': 0.45, 'P_atm': 101.0, 'm': 0.005, 'h0': 1.3, 'ch': 0.968, 'nb': 3.5, 'A0': 0.05, 'nd': 5.75, 'z_max': 12.5, 'cz': 1100.0, 'rho': 2.0}
step,pseudo_time,eps0,eps1,eps2,eps3,eps4,eps5,sig0,sig1,sig2,sig3,sig4,sig5,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,psi,yieldDistance,substeps_me,substeps_capHit
0,0.0,-1.7466859718797176e-07,-1.7466859718797827e-07,-1.746685971879759e-07,-8.917007003321638e-22,8.834288942066336e-22,-7.874759431504823e-22,-0.10000000000000003,-0.10000000000000006,-0.10000000000000005,1.1097486238652892e-18,3.3138083470939395e-18,1.1158602878384911e-18,1.7466859718797176e-07,1.7466859718797827e-07,1.746685971879759e-07,8.917007003321638e-22,-8.834288942066336e-22,7.874759431504823e-22,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6943991121245868,0.0,-0.13440023035359794,-0.0004082482904638579,0.0,0.0
1,0.0004,0.00012493082237909273,0.0001249308223790927,-0.0004000000000000001,1.2705494208814505e-20,2.710505431213761e-20,-6.776263578034403e-21,-0.10000000000000017,-0.1000000000000002,-2.7952417741270272,3.604325142401839e-17,7.067511806319505e-17,-1.426078265919483e-17,-0.0001249304354530595,-0.00012493043545305947,0.00039999922612434516,-1.2715710685636827e-20,-2.712222487319563e-20,6.777035808144151e-21,-4.925354923002832,-4.925354923002835,9.850709846006412,2.0910575337656058e-14,9.967383686306336e-14,-4.403845413304413e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6941456055708782,0.0,-0.13247289803077267,9.840739288286386,1.0,0.0
2,0.0008,7.695280619959e-05,7.695280619959e-05,-0.0007999999999999995,1.5500702934753696e-18,2.222614453595284e-18,3.3203691532368573e-19,-0.09999178440185758,-0.09999178440185777,-16.70095666082253,1.7349821483701648e-14,-4.6157885409579735e-14,5.27026004443598e-15,-0.00032920574091346735,-0.00032920574091346735,0.0010528439559688418,-2.147086731961525e-18,5.671743650719083e-18,-6.446768504183433e-19,-5.007850278650793,-5.007850278650795,10.015700557302345,2.1272224144461028e-14,1.0136818837713641e-13,-4.477966039490676e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6933052576696492,1.801992855663437e-05,-0.12932801710919728,55.52849962212041,61.0,0.0
3,0.0012000000000000001,0.000162872394926312,0.00016287239492631178,-0.0011999999999999992,2.083701050245579e-18,2.7647155398380363e-18,5.149960319306146e-19,-0.10000000000181833,-0.1000000000018271,-39.73976815103403,3.023052826635115e-14,-6.970656372099417e-14,1.010329180193369e-14,-0.00047168190853693085,-0.00047168190853693064,0.001508185110956629,-2.8155511092436344e-18,6.893839056575252e-18,-8.954945748395044e-19,-5.018145460017147,-5.018145460017149,10.036290920035054,2.1317504551986554e-14,1.0157968712071557e-13,-4.487184546167082e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6929186619719263,9.923792410219318e-06,-0.12623340303240582,131.2250702526984,10.0,0.0
4,0.0016,0.00026930076983043615,0.00026930076983043555,-0.001599999999999999,2.5190759851342892e-18,3.0899761915836876e-18,6.776263578034403e-19,-0.09999969853648291,-0.09999969853651394,-72.90304903724456,4.499043738270772e-14,-8.556585740134976e-14,1.5913392665391325e-14,-0.000605093220430621,-0.0006050932204306205,0.0019345555487627498,-3.3138327903478982e-18,7.429235003384747e-18,-1.0916385214455688e-18,-5.021594654251839,-5.0215946542518415,10.043189308504438,2.1332629828339915e-14,1.0165070665470971e-13,-4.4902831531041995e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6926015664488014,8.00511429503698e-06,-0.12315923483906244,240.18797412092255,5.0,0.0
5,0.002,0.0003833815555605923,0.0003833815555605909,-0.001999999999999999,2.9815559743351372e-18,3.3068166260807885e-18,8.131516293641283e-19,-0.10000021364450662,-0.10000021364460351,-116.63430321953426,6.49977794767527e-14,-9.753783534153994e-14,2.21577364674078e-14,-0.0007351287720432794,-0.0007351287720432781,0.002350137376878972,-3.8130800175950956e-18,7.72797417439555e-18,-1.2474548869818405e-18,-5.023162823290744,-5.023162823290747,10.046325646582252,2.1339495277189112e-14,1.0168303564896953e-13,-4.49169502483742e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6923104034154838,1.6677005140814398e-06,-0.12010545184720278,383.87480911376923,4.0,0.0
6,0.0024000000000000002,0.0005012129127591096,0.0005012129127591073,-0.002399999999999999,3.364414866494081e-18,3.415236843329339e-18,8.944667923005412e-19,-0.09999998648952552,-0.0999999864897115,-171.21681306490515,8.561738357858458e-14,-1.094511277363449e-13,2.6972773465804865e-14,-0.0008635113951998379,-0.0008635113951998357,0.002760436585308722,-4.2200750821093695e-18,7.963121812674905e-18,-1.3424953292775841e-18,-5.024003510683636,-5.024003510683639,10.048007021368036,2.134317180571161e-14,1.017003782934526e-13,-4.4924534784760525e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6920319503187581,4.491104029399535e-06,-0.11707323042606665,563.2162084026512,3.0,0.0
7,0.0028000000000000004,0.0006211291169791227,0.0006211291169791193,-0.002799999999999998,3.831977053378455e-18,3.577867169202165e-18,1.0842021724855044e-18,-0.09999999557478817,-0.09999999557510583,-236.85814537167326,1.1536503958042276e-13,-1.146290572816826e-13,3.922365887019392e-14,-0.0009909757069797177,-0.0009909757069797146,0.003167800956697599,-4.704827573563048e-18,8.047498687529145e-18,-1.5421294524476294e-18,-5.024508999161462,-5.024508999161465,10.049017998323688,2.1345380748208814e-14,1.0171080979271533e-13,-4.492909887828299e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6917605623516189,1.2224096421341038e-05,-0.11406261201052936,778.8949067662993,1.0,0.0
8,0.0032000000000000006,0.0007424230366509817,0.0007424230366509775,-0.0031999999999999993,4.357137480676121e-18,3.686287386450715e-18,1.2468324983583301e-18,-0.0999999064076254,-0.09999990640806741,-313.683901014978,1.541776743521667e-13,-1.1999324439754838e-13,5.148526132891895e-14,-0.0011178335512593309,-0.001117833551259327,0.003573227112173584,-5.242650970948125e-18,8.12182977470812e-18,-1.7120374406715476e-18,-5.024828973135263,-5.024828973135266,10.04965794627129,2.1346778547457312e-14,1.0171741441515152e-13,-4.493198695164274e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6914938431866029,9.004128306716782e-06,-0.11107395609019555,1031.321630848582,1.0,0.0
9,0.0036000000000000008,0.0008646158261778056,0.0008646158261778007,-0.0035999999999999986,4.8721335126067356e-18,3.903127820947816e-18,1.3010426069826053e-18,-0.09999999614885752,-0.09999999614942409,-401.8106443152774,1.9775032110640414e-13,-1.1366511196839897e-13,5.6454946787845586e-14,-0.0012442958658175005,-0.0012442958658174957,0.00397738919194465,-5.7673659087972965e-18,8.045624497737206e-18,-1.771883890014381e-18,-5.0250439627143875,-5.02504396271439,10.05008792542954,2.1347717519983932e-14,1.0172185260385437e-13,-4.493392886613517e-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6912301701117514,6.905171308542803e-06,-0.10810634717215462,1320.879586315021,1.0,0.0
