# build: cc4aa6db01c7ae86155b425182021722ab55db50
# pyd: C:\Users\nmb\Documents\Github\OpenSees\.claude\worktrees\wp-106-sanisand-pre\dist\bin\opensees.pyd
# python: 3.12.10
# p0: 20.0
# e_init: 0.6944
# scheme: 1
# tan_type: 2
# tol: 1e-10
# nstep: 50
# ez_max: 0.02
# pRe: 1.0
# Pmin: 0.0101
# Presidual: 0.0
# honorTolR: 0
# max_substeps: 20000
# consts: {'G0': 264.32, 'nu': 0.3129, 'e_init': 0.6944, 'Mc': 1.3309, 'c': 0.71, 'lambda_c': 0.027, 'e0': 0.83, 'ksi': 0.45, 'P_atm': 101.0, 'm': 0.005, 'h0': 1.3, 'ch': 0.968, 'nb': 3.5, 'A0': 0.05, 'nd': 5.75, 'z_max': 12.5, 'cz': 1100.0, 'rho': 2.0}
step,pseudo_time,eps0,eps1,eps2,eps3,eps4,eps5,sig0,sig1,sig2,sig3,sig4,sig5,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,psi,yieldDistance,substeps_me,substeps_capHit
0,0.0,-3.493371943759512e-05,-3.493371943759506e-05,-3.493371943759514e-05,1.2705494208814505e-20,1.1011428314305904e-20,-2.541098841762901e-21,-20.0,-20.000000000000004,-20.000000000000007,6.888567512646893e-16,9.73594207747746e-16,2.3442749142942336e-16,3.493371943759512e-05,3.493371943759506e-05,3.493371943759514e-05,-1.2705494208814505e-20,-1.1011428314305904e-20,2.541098841762901e-21,0.0,1.7763568394002506e-16,1.7763568394002506e-16,2.4187760222752818e-17,-4.14647318104334e-17,-3.4553943175361172e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6942224249173549,0.0,-0.12274942826783886,-0.08164965809276868,0.0,0.0
1,0.0004,4.960755775763836e-05,4.9607557757631396e-05,-0.00039999999999999986,-6.160470625380526e-18,1.0706496453294356e-18,2.879912020664621e-19,-20.000000431887983,-20.000000431889042,-68.14568933529867,-5.455514781132094e-14,1.0343666653536937e-13,6.921658055730782e-14,-0.00011928072457657261,-0.00011928072457655851,0.0005277890923561233,1.4722344342926127e-18,-2.7651837317331033e-18,-1.8516755578358434e-18,-0.4435261913630878,-0.44352619136304994,0.8870523827261063,-1.21592764791318e-15,-2.865626220421429e-15,-1.9211420964483225e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6938903500917291,0.0,-0.1191264810042395,7.057038287072714e-11,1.0,0.0
2,0.0008,0.00018371262859740605,0.00018371262860410303,-0.0007999999999952902,1.0387395425141138e-14,-4.426255369172072e-16,6.4331068141791625e-15,-28.587097169675136,-28.588238714491922,-99.04946300924531,-0.0012542222997736325,-9.744261992514457e-09,4.6302934534132615e-09,-0.00014833580476020724,-0.00014832425399742696,0.0007245461200005036,2.5381787979553234e-08,1.9719466732867968e-13,-9.370403660448365e-14,-0.4493613268232589,-0.4493619549463229,0.8987232817695822,-6.901222190459368e-07,1.8753861543701685e-10,-8.907050105153395e-11,0.03838763847811309,0.03838965891029262,-0.07677729738846825,2.21986016337489e-06,-4.077453720132785e-10,2.209301849043271e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.6936670453558103,5.128317651454707e-07,-0.11629275379939275,1.304512053934559e-14,129.0,0.0
3,0.0012000000000000001,0.0004461983054535915,0.0004461656596637363,-0.0011999067402522034,2.0473966324751776e-07,1.0949545558685799e-08,7.374914318078891e-08,-19.999262477456746,-20.000443190853066,-72.21451960706557,-0.0010186768945763104,3.237419588041397e-05,0.00021862885756146323,-0.00013226412740219103,-0.00013225224551097374,0.0005863580141599266,2.1399219155449302e-08,-5.473459437978584e-10,-3.6965616142554177e-09,-0.46364639818462305,-0.46364527581671844,0.9272916740013419,-6.455272947226704e-06,-8.347779630725263e-07,-5.6268012513788e-06,0.14298274429722838,0.14298231840992703,-0.2859650627072171,1.8098905997305514e-05,2.0125356884700445e-06,1.3564734125754268e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6938788995218115,1.1585745149368271e-07,-0.1188533349354779,3.1363800445660672e-15,636.0,0.0
4,0.0016,0.0006502860723694616,0.0006502262012312782,-0.0015999226945845138,1.697604416150912e-07,9.664924232569323e-09,7.120149593948773e-08,-19.999396492693094,-20.00030986862864,-74.41211216907526,-0.0007029838709957369,2.6260142621636868e-05,0.0001966431438543885,-0.00013746793280216635,-0.00013745870778384577,0.0006029931535816122,1.512433171087575e-08,-4.2581967250487667e-10,-3.2595615268420153e-09,-0.47391733302968936,-0.4739144700297331,0.947831803059423,-4.898898324550299e-06,-6.936264059447889e-07,-5.16598270332423e-06,0.22063275027282295,0.2206295809315985,-0.4412623312044795,1.6578854726213363e-05,1.741822525539112e-06,1.291692798161475e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6938926789826851,7.060407723298594e-07,-0.11868819018047405,3.719802244006587e-13,453.0,0.0
5,0.002,0.0008548188568908856,0.0008547156314555771,-0.00199989700434334,2.2612883929893778e-07,1.4657057674711312e-08,9.208151505884794e-08,-19.999172623843357,-20.00045748476332,-76.51852699655849,-0.000959038736323112,4.15626331257857e-05,0.00025785054181288894,-0.00014241222163758604,-0.00014239933941372957,0.0006187883590071534,2.0165963595063695e-08,-7.271204266794231e-10,-4.464714058121666e-09,-0.48339952968037453,-0.48339448807236923,0.966794017752744,-6.4766363569006376e-06,-1.0505137532769605e-06,-6.5541431929824325e-06,0.3002413270440059,0.30023382968760726,-0.6004751567316666,2.272579893066255e-05,2.7162074666093734e-06,1.6913125812921952e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6939080097528949,1.8618963852926114e-07,-0.11852927319855622,-7.216449660063518e-16,451.0,0.0
6,0.0024000000000000002,0.0010597498264084972,0.0010596880974298446,-0.0023999062439201673,2.06078067700712e-07,1.4262183047465769e-08,8.997838359844066e-08,-19.999352178330287,-20.000298821956363,-78.5409944211628,-0.0007210759002096877,3.84276801627767e-05,0.00024078046245775415,-0.00014711381641628236,-0.0001471042344123214,0.0006338196246825525,1.5522027874859373e-08,-6.65940621110378e-10,-4.131584933596322e-09,-0.4921836204479178,-0.4921810081721839,0.9843646286201015,-5.479607858253925e-06,-9.739754316895016e-07,-6.101515733451626e-06,0.38145396303871903,0.3814543328138555,-0.7629082958526267,2.2390994678452086e-05,2.5965334445500948e-06,1.6235164363252033e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6939247744784534,3.6001233036375643e-07,-0.11837597564154556,6.6058269965196814e-15,447.0,0.0
7,0.0028000000000000004,0.0012651093417984727,0.001265004024273326,-0.0027999029575416874,2.131812895154019e-07,1.4448712376666142e-08,8.89042009967673e-08,-19.999238340300344,-20.000385978388028,-80.48461422981435,-0.0008429269594947161,3.796630281259525e-05,0.0002308007036805577,-0.00015159702794489694,-0.00015158550108546363,0.0006481442996465539,1.788012966102797e-08,-6.57011894844522e-10,-3.9384533585724995e-09,-0.5003500448290324,-0.5003452476147836,1.0006952924438168,-5.502141238354814e-06,-9.444880684317697e-07,-5.7506178036921055e-06,0.46395212475344866,0.4639475429562356,-0.9278996677097393,2.471560365391914e-05,2.5957297204262306e-06,1.5750568227296904e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6939428685162135,3.0382772013280077e-07,-0.11822787682591818,-1.6375789613221059e-15,445.0,0.0
8,0.0032000000000000006,0.001470803714584279,0.001470723077468834,-0.0031999072684313567,2.0375495968359312e-07,1.2990483020444005e-08,8.448155433866283e-08,-19.999304963926196,-20.000318058165472,-82.3544764650717,-0.0007753235939236238,3.2307690216853785e-05,0.0002105625222421652,-0.00015587439518979337,-0.0001558641599126861,0.0006618164335782699,1.6582183851001718e-08,-5.483697814355264e-10,-3.549891893050656e-09,-0.5079597005183555,-0.5079564015794157,1.0159161020977707,-4.975053125088576e-06,-7.978295298361007e-07,-5.18004144583084e-06,0.5474380663389862,0.5474392596139152,-1.0948773259529545,2.541507440207219e-05,2.2326771544178504e-06,1.452147332573175e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6939622001208248,6.837065110935606e-07,-0.11808455653112881,3.589351038613131e-13,442.0,0.0
9,0.0036000000000000008,0.0016768561375932857,0.0016767024748724259,-0.0035998478282496336,3.3446183481310946e-07,2.0377264066872777e-08,1.4199280873436384e-07,-19.998838856599455,-20.00055879990016,-84.15398573592144,-0.0012745490724704713,5.442071371123393e-05,0.00038362386100002695,-0.00015996455384175405,-0.0001599475838154568,0.0006748761636106483,2.609527107349249e-08,-9.697487580601849e-10,-6.8476955533060855e-09,-0.5150709484602344,-0.5150642892242548,1.0301352376844892,-8.497245840251666e-06,-1.287237685771974e-06,-9.037984875347802e-06,0.6316506182267057,0.6316424532185686,-1.2632930714453217,3.896411112383562e-05,3.864086549463878e-06,2.728119594935092e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6939826875527757,1.0422455022977016e-06,-0.11794574042006345,1.6143586467620707e-11,439.0,0.0
